1021480,BLIND CHANNEL  ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1021480,BLIND CHANNEL  ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.6, ,    16.8, ,    12.9, ,    10.0, ,     4.7, ,     5.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.2, 
1959,     3.5, ,     3.7, ,     5.2, ,     9.0, ,    11.6, ,    14.4, ,    16.3, ,    15.1, ,    12.6, ,     9.6, ,     5.3, ,     4.5, ,     9.2, ,     4.2, ,     8.6, ,    15.3, ,     9.2, 
1960,     2.8, ,     4.6, ,     5.0, ,     8.6, ,    10.5, ,    13.2, ,    16.4, ,    14.7, ,    12.7, ,    10.1, ,     6.0, ,     4.6, ,     9.1, ,     4.0, ,     8.0, ,    14.8, ,     9.6, 
1961,     4.8, ,     5.2, ,     6.2, ,     8.2, ,    12.0, ,    15.2, ,    16.8, ,    17.5, ,    12.8, ,     8.5, ,     4.6, ,     3.1, ,     9.6, ,     4.9, ,     8.8, ,    16.5, ,     8.6, 
1962,     3.2, ,     4.7, ,     4.5, ,     8.6, ,    10.8, ,    13.8, ,    15.5, ,    14.6, ,    13.7, ,    10.0, ,     6.8, ,     5.4, ,     9.3, ,     3.7, ,     8.0, ,    14.6, ,    10.2, 
1963,     2.3, ,     7.0, ,     5.8, ,     8.8, ,    12.6, ,    13.9, ,    15.0, ,    16.5, ,    14.6, ,    10.0, ,     5.5, ,     5.0, ,     9.8, ,     4.9, ,     9.1, ,    15.1, ,    10.0, 
1964,     3.9, ,     4.8, ,     5.3, ,     7.8, ,    10.7, ,    13.6, ,    14.6, ,    14.8, ,    12.4, ,     9.4, ,     4.4, ,      .8, ,     8.5, ,     4.6, ,     7.9, ,    14.3, ,     8.7, 
1965,     2.3, ,     3.7, ,     5.6, ,     8.3, ,    10.9, ,    14.1, ,    16.7, ,    16.1, ,    12.8, ,     9.8, ,     6.5, ,     3.1, ,     9.2, ,     2.3, ,     8.3, ,    15.6, ,     9.7, 
1966,     2.8, ,     4.8, ,     5.6, ,     8.8, ,    10.8, ,    13.1, ,    15.8, ,    15.6, ,    13.4, ,     8.6, ,     6.1, ,     5.4, ,     9.2, ,     3.6, ,     8.4, ,    14.8, ,     9.4, 
1967,     3.6, ,     4.8, ,     4.7, ,     7.6, ,    11.5, ,    15.9, ,    16.3, ,    18.4, ,    14.1, ,     9.7, ,     6.2, ,     3.6, ,     9.7, ,     4.6, ,     7.9, ,    16.9, ,    10.0, 
1968,     3.0, ,     5.1, ,     6.4, ,     7.4, ,    12.2, ,    13.4, ,    16.8, ,    15.0, ,    13.1, ,     9.0, ,     6.2, ,      .4, ,     9.0, ,     3.9, ,     8.7, ,    15.1, ,     9.4, 
1969,    -2.9, ,     3.0, ,     5.8, ,     7.5, ,    13.0, ,    16.7, ,    16.0, ,    14.0, ,    12.9, ,     8.9, ,     7.1, ,     5.5, ,     9.0, ,      .2, ,     8.8, ,    15.6, ,     9.6, 
1970,     3.1, ,     5.5, ,     6.3, ,     7.6, ,    10.8, ,    14.6, ,    15.1, ,    15.3, ,    11.5, ,     8.6, ,     4.7, ,     2.1, ,     8.8, ,     4.7, ,     8.2, ,    15.0, ,     8.3, 
1971,     1.4, ,     3.4, ,     3.6, ,     7.4, ,    10.8, ,    12.5, ,    16.5, ,    16.2, ,    12.3, ,     8.3, ,     5.9, ,      .4, ,     8.2, ,     2.3, ,     7.3, ,    15.1, ,     8.8, 
1972,     -.4, ,     2.6, ,     5.5, ,     5.4, ,    12.0, ,    13.0, ,    15.9, ,    16.2, ,    11.4, ,     8.2, ,     6.0, ,     2.2, ,     8.2, ,      .9, ,     7.6, ,    15.0, ,     8.5, 
1973,     2.1, ,     4.1, ,     5.9, ,     8.5, ,    11.3, ,    12.7, ,    14.7, ,    14.5, ,    13.4, ,     8.4, ,     2.5, ,     4.6, ,     8.6, ,     2.8, ,     8.6, ,    14.0, ,     8.1, 
1974,     1.6, ,     3.7, ,     5.2, ,     8.4, ,     9.9, ,    13.0, ,    14.5, ,    16.1, ,    14.6, ,     9.5, ,     5.5, ,     5.0, ,     8.9, ,     3.3, ,     7.8, ,    14.5, ,     9.9, 
1975,     1.8, ,     1.3, ,     4.1, ,     7.2, ,    10.8, ,    12.9, ,    16.2, ,    13.8, ,    13.2, ,     8.5, ,     4.6, ,     3.2, ,     8.1, ,     2.7, ,     7.4, ,    14.3, ,     8.8, 
1976,     3.8, ,     3.3, ,     3.4, ,     7.7, ,    10.2, ,    12.2, ,    14.3, ,    14.3, ,    13.3, ,     9.3, ,     5.8, ,     5.4, ,     8.6, ,     3.4, ,     7.1, ,    13.6, ,     9.5, 
1977,     2.7, ,     6.4, ,     4.9, ,     8.9, ,    10.5, ,    13.6, ,    14.5, ,    17.0, ,    11.9, ,     8.7, ,     4.0, ,     1.2, ,     8.7, ,     4.8, ,     8.1, ,    15.0, ,     8.2, 
1978,     2.2, ,     4.3, ,     6.3, ,     8.2, ,    10.8, ,    15.2, ,    16.7, ,    15.8, ,    12.0, ,     9.5, ,     3.8, ,     1.6, ,     8.9, ,     2.6, ,     8.4, ,    15.9, ,     8.4, 
1979,      .2, ,     2.7, ,     6.2, ,     8.4, ,    11.3, ,    13.7, ,    16.0, ,    16.4, ,    13.7, ,     9.7, ,     5.2, ,     4.9, ,     9.0, ,     1.5, ,     8.6, ,    15.4, ,     9.5, 
1980,     1.2, ,     4.6, ,     4.9, ,     8.9, ,    11.7, ,    13.5, ,    15.3, ,    15.2, ,    12.8, ,     9.8, ,     6.9, ,     4.0, ,     9.1, ,     3.6, ,     8.5, ,    14.7, ,     9.8, 
1981,     5.6, ,     5.2, ,     7.2, ,     7.7, ,    11.2, ,    12.3, ,    15.7, ,    16.6, ,    13.2, ,     9.2, ,     7.1, ,     3.2, ,     9.5, ,     4.9, ,     8.7, ,    14.9, ,     9.8, 
1982,     1.0, ,     3.6, ,     5.2, ,     6.6, ,    11.0, ,    15.9, ,    15.9, ,    14.9, ,    13.5, ,     9.2, ,     4.2, ,     3.8, ,     8.7, ,     2.6, ,     7.6, ,    15.6, ,     9.0, 
1983,     5.4, ,     5.9, ,     6.9, ,     9.3, ,    13.2, ,    13.9, ,    15.3, ,    16.1, ,    12.3, ,     8.9, ,     6.6, ,      .7, ,     9.5, ,     5.0, ,     9.8, ,    15.1, ,     9.3, 
1984,     4.4, ,     5.6, ,     7.3, ,     8.3, ,     9.8, ,    13.3, ,    15.9, ,    15.1, ,    11.8, ,     7.8, ,     4.4, ,     1.0, ,     8.7, ,     3.6, ,     8.5, ,    14.8, ,     8.0, 
1985,     3.6, ,     3.6, ,     4.9, ,     7.5, ,    11.7, ,    13.8, ,    17.5, ,    15.2, ,    12.3, ,     8.3, ,      .0, ,     2.4, ,     8.4, ,     2.7, ,     8.0, ,    15.5, ,     6.9, 
1986,     5.4, ,     3.1, ,     7.0, ,     7.2, ,    10.9, ,    13.8, ,    14.6, ,    16.9, ,    13.2, ,    10.4, ,     5.9, ,     4.5, ,     9.4, ,     3.6, ,     8.4, ,    15.1, ,     9.8, 
1987,     4.5, ,     6.0, ,     7.2, ,     9.2, ,    11.7, ,    14.3, ,    15.9, ,    16.0, ,    13.6, ,    10.2, ,     7.5, ,     3.9, ,    10.0, ,     5.0, ,     9.4, ,    15.4, ,    10.4, 
1988,     3.5, ,     4.9, ,     6.1, ,     8.8, ,    11.1, ,    13.7, ,    15.7, ,    15.5, ,    12.8, ,    10.0, ,     6.4, ,     4.1, ,     9.4, ,     4.1, ,     8.7, ,    15.0, ,     9.7, 
1989,     2.7, ,      .7, ,     5.1, ,     9.6, ,    11.9, ,    14.5, ,    15.6, ,    15.4, ,    14.1, ,     9.5, ,     6.1, ,     6.2, ,     9.3, ,     2.5, ,     8.9, ,    15.2, ,     9.9, 
1990,     3.7, ,     2.1, ,     6.3, ,     9.5, ,    12.1, ,    13.8, ,    16.8, ,    17.6, ,    14.1, ,     8.2, ,     5.4, ,      .9, ,     9.2, ,     4.0, ,     9.3, ,    16.1, ,     9.2, 
1991,     2.1, ,     6.3, ,     4.2, ,     8.4, ,    11.5, ,    13.3, ,    15.4, ,    15.9, ,    13.6, ,     8.3, ,     6.7, ,     5.6, ,     9.3, ,     3.1, ,     8.0, ,    14.9, ,     9.5, 
1992,     5.4, ,     6.2, ,     8.1, ,     9.1, ,    12.3, ,    15.0, ,    16.6, ,    15.8, ,    12.2, ,     9.7, ,     6.2, ,     2.0, ,     9.9, ,     5.7, ,     9.8, ,    15.8, ,     9.4, 
1993,      .8, ,     4.1, ,     6.7, ,     8.5, ,    12.9, ,    13.9, ,    15.0, ,    15.2, ,    13.3, ,     9.9, ,     5.0, ,     4.9, ,     9.2, ,     2.3, ,     9.4, ,    14.7, ,     9.4, 
1994,     6.1, ,     3.0, ,     6.5, ,     9.6, ,    12.2, ,    13.6, ,    16.5, ,    16.4, ,    14.2, ,     9.2, ,     4.6, ,     4.1, ,     9.7, ,     4.7, ,     9.4, ,    15.5, ,     9.3, 
1995,     4.4, ,     5.6, ,     6.3, ,     9.1, ,    13.2, ,    14.7, ,    16.1, ,    14.4, ,    14.5, ,     8.8, ,     6.4, ,     4.6, ,     9.8, ,     4.7, ,     9.5, ,    15.1, ,     9.9, 
1996,     2.3, ,     3.8, ,     6.0, ,     8.6, ,    10.4, ,    13.6, ,    15.6, ,    15.4, ,    12.2, ,     8.5, ,     3.9, ,     1.2, ,     8.5, ,     3.6, ,     8.3, ,    14.9, ,     8.2, 
1997,     3.4, ,     4.9, ,     5.3, ,     8.4, ,    12.9, ,    13.9, ,    16.1, ,    16.9, ,    13.7, ,     9.1, ,     6.9, ,     5.3, ,     9.7, ,     3.2, ,     8.9, ,    15.6, ,     9.9, 
1998,     4.0, ,     6.4, ,     7.0, ,     9.4, ,    12.2, ,    14.7, ,    16.8, ,    17.0, ,    14.3, ,     9.9, ,     7.2, ,     4.0, ,    10.2, ,     5.2, ,     9.5, ,    16.2, ,    10.5, 
1999,     4.5, ,     4.7, ,     5.6, ,     8.2, ,    10.1, ,    13.1, ,    15.7, ,    16.4, ,    13.0, ,     9.1, ,     6.7, ,     4.5, ,     9.3, ,     4.4, ,     8.0, ,    15.1, ,     9.6, 
2000,     3.0, ,     4.8, ,     6.5, ,     8.8, ,    10.9, ,    14.0, ,    16.2, ,    15.5, ,    13.3, ,    10.0, ,     6.0, ,     3.8, ,     9.4, ,     4.1, ,     8.7, ,    15.2, ,     9.8, 
2001,     5.5, ,     3.9, ,     6.4, ,     8.5, ,    10.5, ,    13.2, ,    15.6, ,    15.3, ,    13.1, ,     8.6, ,     7.2, ,     3.7, ,     9.3, ,     4.4, ,     8.5, ,    14.7, ,     9.6, 
2002,     4.7, ,     4.7, ,     4.1, ,     8.6, ,    11.1, ,    14.5, ,    15.8, ,    16.1, ,    13.5, ,     9.3, ,     7.6, ,     5.6, ,     9.6, ,     4.4, ,     7.9, ,    15.5, ,    10.1, 
2003,     6.5, ,     5.3, ,     6.4, ,     8.4, ,    11.2, ,    15.1, ,    16.4, ,    16.3, ,    13.7, ,    10.6, ,     4.5, ,     4.6, ,     9.9, ,     5.8, ,     8.7, ,    15.9, ,     9.6, 
2004,     4.1, ,     5.9, ,     7.0, ,    10.6, ,    13.1, ,    16.1, ,    17.5, ,    17.5, ,    13.2, ,    10.0, ,     7.0, ,     5.3, ,    10.6, ,     4.9, ,    10.2, ,    17.0, ,    10.1, 
2005,     4.0, ,     5.0, ,     7.8, ,     9.9, ,    13.4, ,    14.5, ,    15.6, ,    16.6, ,    13.4, ,     9.9, ,     5.4, ,     5.1, ,    10.1, ,     4.8, ,    10.4, ,    15.6, ,     9.6, 
2006,     5.7, ,     3.6, ,     5.5, ,     8.8, ,    12.6, ,    15.0, ,    16.5, ,    15.6, ,    13.9, ,     9.3, ,     4.6, ,     4.6, ,     9.6, ,     4.8, ,     9.0, ,    15.7, ,     9.3, 
2007,     3.6, ,     5.0, ,     6.1, ,     8.0, ,    11.8, ,    14.1, ,    17.1, ,    15.7, ,    12.8, ,     9.1, ,     5.9, ,     3.4, ,     9.4, ,     4.4, ,     8.6, ,    15.6, ,     9.3, 
2008,     3.1, ,     4.7, ,     5.2, ,     7.0, ,    12.1, ,    13.0, ,    15.4, ,    15.4, ,    13.3, ,     8.7, ,     7.5, ,     1.8, ,     8.9, ,     3.7, ,     8.1, ,    14.6, ,     9.8, 
2009,     2.6, ,     3.4, ,     4.5, ,     8.4, ,    11.3, ,    15.7, ,    16.9, ,    16.1, ,    13.8, ,     9.4, ,     6.4, ,     2.4, ,     9.2, ,     2.6, ,     8.1, ,    16.2, ,     9.9, 
2010,     6.6, ,     6.7, ,     6.9, ,     8.4, ,    11.3, ,    13.9, ,    16.3, ,    16.7, ,    13.5, ,    10.4, ,     5.0, ,     4.4, ,    10.0, ,     5.2, ,     8.9, ,    15.6, ,     9.6, 
2011,     3.7, ,     2.8, ,     5.8, ,     6.9, ,    10.6, ,    13.8, ,    15.0, ,    15.8, ,    14.2, ,     9.2, ,     4.9, ,     4.5, ,     8.9, ,     3.6, ,     7.8, ,    14.9, ,     9.4, 
2012,     3.2, ,     4.5, ,     4.9, ,     8.3, ,    11.1, ,    13.1, ,    16.0, ,    16.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.1, ,     8.1, ,    15.2, , -9999.9,M
