1026270,PORT HARDY     ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1026270,PORT HARDY     ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1944, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.1, ,    12.8, ,    13.9, ,    13.7, ,    12.7, ,    10.0, ,     6.8, ,     3.6, , -9999.9,M, -9999.9,M, -9999.9,M,    13.5, ,     9.8, 
1945,     5.0, ,     4.6, ,     4.3, ,     5.9, ,    10.5, ,    11.7, ,    13.4, ,    13.3, ,    11.0, ,     9.0, ,     3.7, ,     3.3, ,     8.0, ,     4.4, ,     6.9, ,    12.8, ,     7.9, 
1946,     4.1, ,     3.7, ,     4.9, ,     6.1, ,    10.8, ,    12.4, ,    13.7, ,    13.9, ,    11.7, ,     7.2, ,     3.8, ,     2.1, ,     7.9, ,     3.7, ,     7.3, ,    13.3, ,     7.6, 
1947,     1.4, ,     4.1, ,     6.0, ,     7.8, ,    10.2, ,    12.2, ,    13.3, ,    14.0, ,    11.8, ,     8.7, ,     5.2, ,     4.6, ,     8.3, ,     2.5, ,     8.0, ,    13.2, ,     8.6, 
1948,     3.2, ,     2.0, ,     3.8, ,     5.6, ,     9.7, ,    13.3, ,    13.8, ,    13.5, ,    11.1, ,     8.3, ,     4.5, ,     1.1, ,     7.5, ,     3.3, ,     6.4, ,    13.5, ,     8.0, 
1949,      .7, ,     1.4, ,     4.8, ,     7.1, ,    10.3, ,    11.1, ,    12.7, ,    13.3, ,    12.6, ,     8.3, ,     8.6, ,     1.8, ,     7.7, ,     1.1, ,     7.4, ,    12.4, ,     9.8, 
1950,    -4.8, ,     2.6, ,     4.3, ,     5.9, ,     8.2, ,    12.3, ,    13.7, ,    13.9, ,    11.6, ,     6.8, ,     4.1, ,     5.1, ,     7.0, ,     -.1, ,     6.1, ,    13.3, ,     7.5, 
1951,     1.6, ,     2.7, ,     1.9, ,     6.5, ,     9.7, ,    12.7, ,    14.0, ,    14.4, ,    11.9, ,     8.4, ,     5.7, ,     1.8, ,     7.6, ,     3.1, ,     6.0, ,    13.7, ,     8.7, 
1952,     1.4, ,     3.2, ,     4.3, ,     6.3, ,     9.0, ,    10.9, ,    13.4, ,    13.5, ,    12.3, ,     9.8, ,     5.6, ,     4.5, ,     7.9, ,     2.1, ,     6.5, ,    12.6, ,     9.2, 
1953,     2.9, ,     4.1, ,     4.3, ,     7.1, ,    10.2, ,    11.3, ,    13.9, ,    13.9, ,    11.7, ,     9.5, ,     6.9, ,     4.7, ,     8.4, ,     3.8, ,     7.2, ,    13.0, ,     9.4, 
