1032730,ESTEVAN POINT  ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1032730,ESTEVAN POINT  ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1923, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.6, ,     9.0, ,     5.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1924,     5.3, ,     6.6, ,     6.2, ,     7.2, ,    10.5, ,    11.8, ,    13.7, ,    13.6, ,    12.5, ,    10.5, ,     7.3, ,     4.5, ,     9.1, ,     5.9, ,     8.0, ,    13.0, ,    10.1, 
1925,     4.6, ,     6.0, ,     5.6, ,     7.8, ,    10.7, ,    12.1, ,    13.0, ,    13.8, ,    12.7, ,    10.2, ,     7.2, ,     8.0, ,     9.3, ,     5.0, ,     8.0, ,    13.0, ,    10.0, 
1926,     6.7, ,     7.2, ,     8.1, ,     9.6, ,    10.5, ,    13.4, ,    14.0, ,    14.4, ,    11.9, ,    10.8, ,     9.2, ,     5.7, ,    10.1, ,     7.3, ,     9.4, ,    13.9, ,    10.6, 
1927,     5.3, ,     5.8, ,     5.4, ,     6.4, ,     8.8, ,    12.1, ,    13.5, ,    13.8, ,    12.5, ,     9.4, ,     6.4, ,     3.5, ,     8.6, ,     5.6, ,     6.9, ,    13.1, ,     9.4, 
1928,     6.5, ,     5.5, ,     6.7, ,     7.2, ,    10.5, ,    12.5, ,    14.1, ,    13.2, ,    11.5, ,     9.9, ,     8.2, ,     5.3, ,     9.3, ,     5.2, ,     8.1, ,    13.3, ,     9.9, 
1929,     2.4, ,     2.5, ,     5.3, ,     5.6, ,     8.7, ,    11.3, ,    13.1, ,    13.9, ,    12.4, ,    10.0, ,     7.0, ,     5.1, ,     8.1, ,     3.4, ,     6.5, ,    12.8, ,     9.8, 
1930,     1.1, ,     4.2, ,     5.8, ,     8.2, ,     8.8, ,    11.0, ,    12.8, ,    14.5, ,    12.2, ,     9.0, ,     6.8, ,     6.9, ,     8.4, ,     3.5, ,     7.6, ,    12.8, ,     9.3, 
1931,     6.9, ,     5.7, ,     6.1, ,     8.2, ,    10.4, ,    11.4, ,    13.7, ,    13.6, ,    12.2, ,     9.3, ,     5.3, ,     4.6, ,     9.0, ,     6.5, ,     8.2, ,    12.9, ,     8.9, 
1932,     3.3, ,     3.4, ,     5.8, ,     7.0, ,     9.0, ,    10.9, ,    11.5, ,    13.4, ,    11.2, ,     9.6, ,     7.2, ,     4.5, ,     8.1, ,     3.8, ,     7.3, ,    11.9, ,     9.3, 
