1036572,QUATSINO       ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1036572,QUATSINO       ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1895, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.0,a,    16.3,a,    10.7,a,    10.1,a,     7.0,a,     4.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.3,a
1896,     2.6,a,     4.6,a,     3.3,a,     5.6,a,     9.0,a,    11.4,a,    16.1,a,    15.9,a,    12.7,a,     9.8,a,     1.5,a,     5.5,a,     8.2,a,     3.9,a,     6.0,a,    14.5,a,     8.0,a
1897,     4.3,a,     3.9,a,     2.3,a,     8.3,a,    10.4,a,    13.2,a,    14.3,a,    16.6,a,    12.9,a,    10.2,a,     3.6,a,     5.7,a,     8.8,a,     4.6,a,     7.0,a,    14.7,a,     8.9,a
1898,     3.7,a,     4.0,a,     4.7,a,     6.7,a,    10.5,a,    13.2,a,    15.2,a,    17.0,a,    14.1,a,     9.6,a,     5.4,a,     3.5,a,     9.0,a,     4.5,a,     7.3,a,    15.1,a,     9.7,a
1899,     4.0,a,     3.6,a,     3.7,a,     6.2,a,     8.6,a,    11.8,a,    16.5,a,    15.1,a,    14.0,a,     9.0,a,     9.3,a,     6.5,a,     9.0,a,     3.7,a,     6.2,a,    14.5,a,    10.8,a
1900, -9999.9,M, -9999.9,M,     7.1,a,     7.5,a,    10.5,a,    13.9,a,    16.5,a,    15.3,a,    13.7,a,     9.2,a,     5.3,a,     7.1,a, -9999.9,M, -9999.9,M,     8.4,a,    15.2,a,     9.4,a
1901,     3.2,a,     3.2,a,     5.6,a, -9999.9,M, -9999.9,M, -9999.9,M,    13.5,a,    16.4,a,    12.9,a,    12.0,a,     7.8,a,     5.3,a, -9999.9,M,     4.5,a, -9999.9,M, -9999.9,M,    10.9,a
1902,     4.1,a,     5.6,a,     4.5,a,     7.9,a,    11.2,a,    13.1,a,    14.9,a,    16.0,a,    12.7,a,    10.5,a,     6.3,a,     3.6,a,     9.2,a,     5.0,a,     7.9,a,    14.7,a,     9.8,a
1903,     4.3,a,     2.1,a,     3.1,a,     6.2,a, -9999.9,M,    14.3,a,    15.4,a,    15.6,a,    12.0,a,    10.0,a,     5.3,a,     5.9,a, -9999.9,M,     3.3,a, -9999.9,M,    15.1,a,     9.1,a
1904, -9999.9,M,     2.3,a,     3.6,a,     8.4,a,     9.6,a,    12.3,a,    14.0,a,    14.5,a,    12.8,a,    11.0,a,     8.3,a,     5.0,a, -9999.9,M, -9999.9,M,     7.2,a,    13.6,a,    10.7,a
1905, -9999.9,M,     3.9,a,     7.0,a,     7.9,a,     9.9,a,    13.4,a,    15.8,a,    15.1,a,    12.7,a,     8.2,a,     7.3,a,     5.9,a, -9999.9,M, -9999.9,M,     8.3,a,    14.8,a,     9.4,a
1906,     3.7,a,     4.8,a,     5.8,a,     7.9,a,    10.7,a,    12.4,a,    16.6,a,    16.4,a,    12.3,a,    10.5,a,     6.4,a,     3.9,a,     9.3,a,     4.8,a,     8.1,a,    15.1,a,     9.7,a
1907,     -.7,a,     4.1,a,     3.9,a, -9999.9,M, -9999.9,M,    13.8,a,    16.3,a, -9999.9,M, -9999.9,M,    10.6,a, -9999.9,M, -9999.9,M, -9999.9,M,     2.4,a, -9999.9,M, -9999.9,M, -9999.9,M
1908, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.1,a,    12.8,a,    15.6,a,    15.6,a,    12.6,a,     9.9,a,     7.5,a,     3.7,a, -9999.9,M, -9999.9,M, -9999.9,M,    14.7,a,    10.0,a
1909,     -.7,a,     3.2,a,     4.8,a,     6.8,a,     9.2,a,    11.8,a,    14.6,a,    13.5,a, -9999.9,M, -9999.9,M,     5.6,a,     2.2,a, -9999.9,M,     2.1,a,     6.9,a,    13.3,a, -9999.9,M
1910,     2.5,a,     2.5,a,     6.1,a,     6.1,a,    11.2,a,    11.3,a,    14.7,a,    14.1,a,    13.4,a,     9.9,a,     6.1,a,     6.3,a,     8.7,a,     2.4,a,     7.8,a,    13.4,a,     9.8,a
1911, -9999.9,M,     2.7,a,     5.6,a,     5.5,a,     9.0,a,    11.5,a,    15.4,a,    15.5,a,    12.1,a, -9999.9,M,     6.1, ,     4.6, , -9999.9,M, -9999.9,M,     6.7,a,    14.1,a, -9999.9,M
1912,     3.8, ,     5.3, ,     4.6, ,     7.3, ,    11.0, ,    13.4, ,    15.4, ,    14.6, ,    12.0, ,     8.2, ,     6.2, ,     4.5, ,     8.9, ,     4.6, ,     7.6, ,    14.5, ,     8.8, 
1913,      .9, ,     3.7, ,     4.9, ,     6.7, ,     9.7, ,    12.6, ,    14.5, ,    14.7, ,    11.7, ,     7.3, ,     5.5, ,     5.8, ,     8.2, ,     3.0, ,     7.1, ,    13.9, ,     8.2, 
1914,     3.1, ,     4.4, ,     6.1, ,     8.7, ,    11.0, ,    12.6, ,    15.0, ,    15.1, ,    11.6, ,    10.9, ,     6.4, ,     2.1, ,     8.9, ,     4.4, ,     8.6, ,    14.2, ,     9.6, 
1915,     3.6, ,     4.7, ,     8.0, ,     9.5, ,    12.6, ,    14.5, ,    15.6, ,    16.6, ,    13.6, ,     9.9, ,     4.4, ,     3.6, ,     9.7, ,     3.5, ,    10.0, ,    15.6, ,     9.3, 
1916,    -2.9, ,     3.1, ,     4.3, ,     7.2, ,    10.1, ,    13.1, ,    13.7, ,    15.0, ,    13.0, ,     8.4, ,     4.4, ,     2.2, ,     7.6, ,     1.3, ,     7.2, ,    13.9, ,     8.6, 
1917,     2.5, ,     2.6, ,     3.7, ,     6.8, ,    10.4, ,    12.3, ,    14.2, ,    16.0, ,    13.3, ,     9.6, ,     9.0, ,     3.3, ,     8.6, ,     2.4, ,     7.0, ,    14.2, ,    10.6, 
1918,     5.0, ,     2.9, ,     4.0, ,     7.3, ,     9.4, ,    13.3, ,    14.4, ,    14.4, ,    13.8, ,    10.6, ,     6.3, ,     4.0, ,     8.8, ,     3.7, ,     6.9, ,    14.0, ,    10.2, 
1919,     4.5, ,     3.0, ,     4.6, ,     7.8, ,     9.2, ,    11.0, ,    14.1, ,    15.2, ,    12.8, ,     7.9, ,     6.0, ,     2.7, ,     8.2, ,     3.8, ,     7.2, ,    13.4, ,     8.9, 
1920,     3.5, ,     4.6, ,     5.6, ,     6.0, ,     8.9, ,    12.1, ,    15.9, ,    14.3, ,    12.1, ,     8.4, ,     5.5, ,     4.5, ,     8.5, ,     3.6, ,     6.8, ,    14.1, ,     8.7, 
1921,     2.2, ,     3.9, ,     4.4, ,     6.9, ,    10.1, ,    12.9, ,    13.1, ,    14.1, ,    11.9, ,     9.3, ,     7.2, ,     1.5, ,     8.1, ,     3.5, ,     7.1, ,    13.4, ,     9.5, 
1922,     1.2, ,     1.4, ,     4.0, ,     6.8, ,     9.1, ,    13.2, ,    14.3, ,    15.5, ,    12.9, ,     9.3, ,     5.7, ,     1.6, ,     7.9, ,     1.4, ,     6.6, ,    14.3, ,     9.3, 
1923,     2.4, ,     1.9, ,     5.0, ,     9.1, ,    10.5, ,    13.4, ,    15.4, ,    15.8, ,    12.5, ,     9.9, ,     7.4, ,     4.1, ,     9.0, ,     2.0, ,     8.2, ,    14.9, ,     9.9, 
1924,     3.2, ,     5.5, ,     5.4, ,     6.3, ,    11.5, ,    13.4, ,    13.8, ,    14.7, ,    12.7, ,     9.8, ,     5.0, ,     1.4, ,     8.6, ,     4.3, ,     7.7, ,    14.0, ,     9.2, 
1925,     3.1, ,     4.4, ,     4.9, ,     7.5, ,    11.0, ,    12.7, ,    14.4, ,    15.2, ,    12.5, ,     9.7, ,     5.1, ,     6.3, ,     8.9, ,     3.0, ,     7.8, ,    14.1, ,     9.1, 
1926,     4.9, ,     5.4, ,     7.4, ,    10.0, ,    10.4, ,    13.7, ,    14.8, ,    15.4, ,    11.3, ,    10.0, ,     6.1, ,     4.1, ,     9.5, ,     5.5, ,     9.3, ,    14.6, ,     9.1, 
1927,     2.3, ,     3.3, ,     4.4, ,     5.5, ,     8.9, ,    12.6, ,    14.7, ,    15.8, ,    12.5, ,     8.1, ,     3.7, ,     1.4, ,     7.8, ,     3.2, ,     6.3, ,    14.4, ,     8.1, 
1928,     3.7, ,     4.5, ,     5.6, ,     7.2, ,    10.4, ,    13.5, ,    15.1, ,    14.3, ,    12.4, ,     9.0, ,     6.0, ,     4.0, ,     8.8, ,     3.2, ,     7.7, ,    14.3, ,     9.1, 
1929,     1.2, ,     1.2, ,     5.1, ,     6.2, ,     9.8, ,    12.0, ,    12.9, ,    14.4, ,    12.5, ,     9.8, ,     6.3, ,     3.3, ,     7.9, ,     2.1, ,     7.0, ,    13.1, ,     9.5, 
1930,    -2.1, ,     3.5, ,     5.0, ,     8.1, ,     9.3, ,    11.9, ,    14.1, ,    16.0, ,    13.3, ,     9.1, ,     5.8, ,     5.7, ,     8.3, ,     1.6, ,     7.5, ,    14.0, ,     9.4, 
1931,     5.2, ,     4.4, ,     5.5, ,     8.4, ,    10.7, ,    12.8, ,    15.3, ,    15.6, ,    13.1, ,     9.5, ,     4.2, ,     3.5, ,     9.0, ,     5.1, ,     8.2, ,    14.6, ,     8.9, 
1932,     2.1, ,     2.5, ,     6.2, ,     7.7, ,    10.1, ,    13.2, ,    12.8, ,    15.3, ,    12.0, ,    10.2, ,     6.1, ,     1.9, ,     8.3, ,     2.7, ,     8.0, ,    13.8, ,     9.4, 
1933,     2.1, ,     1.4, ,     4.8, ,     6.5, ,     9.0, ,    11.1, ,    13.1, ,    15.9, ,    11.1, ,     8.4, ,     8.1, ,     2.6, ,     7.8, ,     1.8, ,     6.8, ,    13.4, ,     9.2, 
1934,     4.0, ,     4.8, ,     7.2, ,    10.1, ,    11.5, ,    13.1, ,    14.2, ,    15.5, ,    12.9, ,     9.7, ,     6.9, ,     3.3, ,     9.4, ,     3.8, ,     9.6, ,    14.3, ,     9.8, 
1935,      .8, ,     5.2, ,     3.8, ,     6.9, ,    10.1, ,    13.2, ,    15.3, ,    14.6, ,    13.0, ,     9.3, ,     5.1, ,     5.9, ,     8.6, ,     3.1, ,     6.9, ,    14.4, ,     9.1, 
1936,     3.9, ,     -.2, ,     3.7, ,     8.2, ,    11.8, ,    14.4, ,    15.0, ,    16.1, ,    11.9, ,    11.3, ,     7.1, ,     4.5, ,     9.0, ,     3.2, ,     7.9, ,    15.2, ,    10.1, 
1937,     -.3, ,     1.5, ,     6.0, ,     7.0, ,    10.2, ,    14.2, ,    15.3, ,    14.0, ,    13.5, ,    11.7, ,     6.9, , -9999.9,M, -9999.9,M,     1.9, ,     7.7, ,    14.5, ,    10.7, 
1938,     4.4, ,     3.7, ,     5.3, ,     8.3, ,    10.6, ,    13.8, ,    16.1, ,    14.6, ,    14.5, ,    10.3, ,     4.7, ,     4.3, ,     9.2, , -9999.9,M,     8.1, ,    14.8, ,     9.8, 
1939,     4.5, ,     2.7, ,     5.8, ,     7.6, ,    10.3, ,    12.4, ,    14.4, ,    15.3, ,    12.4, ,     9.0, ,     8.6, ,     6.2, ,     9.1, ,     3.8, ,     7.9, ,    14.0, ,    10.0, 
1940,     4.7, ,     5.0, ,     6.6, ,     9.4, ,    11.3, ,    14.1, ,    14.9, ,    15.5, ,    14.6, ,    10.7, ,     5.9, ,     5.1, ,     9.8, ,     5.3, ,     9.1, ,    14.8, ,    10.4, 
1941,     6.0, ,     6.4, ,     8.7, ,     9.7, ,    10.9, ,    13.6, ,    16.7, ,    16.0, ,    13.2, ,    11.1, ,     8.3, ,     3.7, ,    10.4, ,     5.8, ,     9.8, ,    15.4, ,    10.9, 
1942,     5.1, ,     4.8, ,     5.0, ,     7.9, ,    11.4, ,    13.3, ,    16.5, ,    17.8, ,    14.1, ,    10.6, ,     4.5, ,     3.8, ,     9.6, ,     4.5, ,     8.1, ,    15.9, ,     9.7, 
1943,      .1, ,     3.8, ,     4.3, ,     8.3, ,     9.2, ,    13.3, ,    15.0, ,    15.1, ,    14.2, ,     9.9, ,     7.8, ,     4.4, ,     8.8, ,     2.6, ,     7.3, ,    14.5, ,    10.6, 
1944,     4.2, ,     4.9, ,     5.2, ,     7.9, ,    11.0, ,    13.9, ,    15.9, ,    15.4, ,    14.8, ,    11.6, ,     7.3, ,     3.0, ,     9.6, ,     4.5, ,     8.0, ,    15.1, ,    11.2, 
1945,     4.8, ,     4.9, ,     4.7, ,     6.4, ,    11.6, ,    12.5, ,    14.8, ,    15.2, ,    12.4, ,    10.3, ,     3.9, ,     3.4, ,     8.7, ,     4.2, ,     7.6, ,    14.2, ,     8.9, 
1946,     4.3, ,     3.9, ,     5.1, ,     6.3, ,    12.2, ,    13.1, ,    14.3, ,    15.9, ,    13.3, ,     8.6, , -9999.9,M,     2.1, , -9999.9,M,     3.9, ,     7.9, ,    14.4, , -9999.9,M
1947,     1.4, ,     4.0, ,     7.3, ,     8.8, ,    12.2, ,    13.6, ,    15.0, ,    16.0, ,    12.8, ,     9.6, ,     8.1, ,     5.3, ,     9.5, ,     2.5, ,     9.4, ,    14.9, ,    10.2, 
1948,     3.1, , -9999.9,M, -9999.9,M,     6.9, ,    11.6, ,    15.1, , -9999.9,M,    15.4, ,    14.0, ,    10.1, ,     6.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.1, 
1949,     1.3, ,      .7, ,     4.3, ,     5.7, ,    10.2, ,    11.7, ,    12.7, ,    13.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.7, ,    12.6, , -9999.9,M
1950,    -5.6, ,     1.5, ,     3.9, ,     5.6, ,     7.1, ,    12.7, ,    15.7, ,    16.4, ,    14.1, ,     8.9, ,     5.0, ,     5.4, ,     7.6, , -9999.9,M,     5.5, ,    14.9, ,     9.3, 
1951,     2.1, ,     3.7, ,     2.9, ,     9.2, ,    11.6, ,    15.3, ,    16.4, ,    16.8, ,    14.3, ,    10.0, ,     6.1, ,     1.9, ,     9.2, ,     3.7, ,     7.9, ,    16.2, ,    10.1, 
1952,     1.5, ,     3.9, ,     5.5, ,     6.9, ,    10.9, ,    12.1, ,    15.2, ,    15.9, ,    14.1, ,    11.9, ,     6.0, ,     4.3, ,     9.0, ,     2.4, ,     7.8, ,    14.4, ,    10.7, 
1953,     3.1, ,     4.9, ,     5.1, ,     7.8, ,    11.4, ,    12.7, ,    15.3, ,    15.5, ,    13.8, ,    10.3, ,     7.1, ,     5.2, ,     9.4, ,     4.1, ,     8.1, ,    14.5, ,    10.4, 
1954,      .6, ,     4.8, ,     4.5, ,     5.7, ,    10.9, ,    11.6, ,    13.5, ,    15.1, ,    13.8, ,     9.5, ,     8.5, ,     4.6, ,     8.6, ,     3.5, ,     7.0, ,    13.4, ,    10.6, 
1955,     4.3, ,     3.7, ,     3.0, ,     6.3, ,     8.0, ,    11.3, ,    13.3, ,    13.8, ,    12.6, ,     8.6, ,     2.3, ,     1.3, ,     7.4, ,     4.2, ,     5.8, ,    12.8, ,     7.8, 
1956,     2.0, ,     1.4, ,     3.7, ,     8.1, ,    11.8, ,    11.4, ,    15.4, ,    15.9, ,    13.2, ,     8.2, ,     5.4, ,     4.5, ,     8.4, ,     1.6, ,     7.9, ,    14.2, ,     8.9, 
1957,      .6, ,     2.4, ,     5.2, ,     7.9, ,    12.1, ,    13.4, ,    13.8, ,    15.0, ,    15.1, ,     9.5, ,     6.8, ,     4.8, ,     8.9, ,     2.5, ,     8.4, ,    14.1, ,    10.5, 
1958,     5.7, ,     6.7, ,     6.3, ,     8.8, ,    12.9, ,    16.4, ,    17.9, ,    16.0, ,    13.1, ,    10.4, ,     4.6, ,     5.5, ,    10.4, ,     5.7, ,     9.3, ,    16.8, ,     9.4, 
1959,     2.8, ,     4.2, ,     5.4, ,     8.2, ,    10.7, ,    12.8, ,    15.6, ,    14.1, ,    12.8, ,    10.1, ,     5.6, ,     4.8, ,     8.9, ,     4.2, ,     8.1, ,    14.2, ,     9.5, 
