1051351,CAPE ST JAMES  ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1051351,CAPE ST JAMES  ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1944, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1945, -9999.9,M, -9999.9,M,     5.0, ,     5.8, ,     8.8, ,    10.3, ,    12.0, ,    12.7, ,    12.2, ,     9.6, ,     4.8, ,     4.9, , -9999.9,M, -9999.9,M,     6.5, ,    11.7, ,     8.9, 
1946,     5.0, ,     4.4, ,     4.7, ,     5.7, ,     9.2, ,    10.8, ,    12.8, ,    13.9, ,    12.3, ,     9.1, ,     5.0, ,     3.6, ,     8.0, ,     4.8, ,     6.5, ,    12.5, ,     8.8, 
1947,     2.4, ,     5.0, ,     6.0, ,     7.2, ,     9.6, ,    11.1, ,    13.3, ,    13.7, ,    12.7, ,     9.3, ,     7.1, ,     6.0, ,     8.6, ,     3.7, ,     7.6, ,    12.7, ,     9.7, 
1948,     4.5, ,     3.1, ,     4.0, ,     5.2, ,     8.5, ,    12.1, ,    13.2, ,    13.5, ,    11.2, ,     8.9, ,     6.0, ,     2.6, ,     7.7, ,     4.5, ,     5.9, ,    12.9, ,     8.7, 
1949,     2.8, ,     1.7, ,     4.9, ,     5.5, ,     8.4, ,     9.4, ,    12.1, ,    13.1, ,    13.0, ,     9.3, ,     8.4, ,     2.7, ,     7.6, ,     2.4, ,     6.3, ,    11.5, ,    10.2, 
1950,    -2.8, ,     2.9, ,     3.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.2, ,    12.0, ,     8.2, ,     4.5, ,     5.8, , -9999.9,M,      .9, , -9999.9,M, -9999.9,M,     8.2, 
1951, -9999.9,M, -9999.9,M, -9999.9,M,     6.2, ,     8.3, ,     9.9, ,    12.3, ,    14.3, ,    12.6, ,     9.0, ,     6.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.2, ,     9.5, 
1952, -9999.9,M,     3.7, , -9999.9,M, -9999.9,M,     8.4, ,     9.6, ,    12.0, ,    12.8, ,    12.3, ,    11.0, ,     7.2, ,     5.6, , -9999.9,M, -9999.9,M, -9999.9,M,    11.5, ,    10.2, 
1953,     3.5, , -9999.9,M,     4.6, ,     7.0, ,     8.6, ,    10.4, ,    12.7, ,    13.7, ,    12.4, ,     9.9, ,     7.1, ,     6.2, , -9999.9,M, -9999.9,M,     6.7, ,    12.3, ,     9.8, 
1954,     1.5, ,     3.8, ,     4.1, ,     4.4, ,     8.7, ,     9.5, ,    11.0, ,    13.4, ,    13.0, ,     9.3, ,     8.3, ,     5.3, ,     7.7, ,     3.8, ,     5.7, ,    11.3, ,    10.2, 
1955,     5.5, ,     3.7, ,     2.9, ,     5.4, ,     7.3, ,     9.8, ,    12.0, ,    12.5, ,    11.7, ,     7.8, ,     3.1, ,     2.1, ,     7.0, ,     4.8, ,     5.2, ,    11.4, ,     7.5, 
1956,     2.8, ,     2.3, ,     3.6, ,     6.1, ,     9.5, ,     9.8, ,    12.2, ,    14.1, ,    12.6, ,     8.0, ,     6.6, ,     4.8, ,     7.7, ,     2.4, ,     6.4, ,    12.0, ,     9.1, 
1957,     2.0, ,     2.9, ,     4.8, ,     6.6, ,     9.9, ,    11.6, ,    12.4, ,    14.3, ,    15.0, ,    10.0, ,     8.5, ,     5.4, ,     8.6, ,     3.2, ,     7.1, ,    12.8, ,    11.2, 
1958,     6.6, ,     6.7, ,     6.1, ,     8.1, ,    10.0, ,    13.5, ,    14.4, ,    14.9, ,    12.7, ,    10.1, ,     6.3, ,     5.8, ,     9.6, ,     6.2, ,     8.1, ,    14.3, ,     9.7, 
1959,     4.7, ,     4.6, ,     5.0, ,     6.8, ,     9.0, ,    11.4, ,    12.8, ,    13.6, ,    11.8, ,    10.3, ,     7.2, ,     5.9, ,     8.6, ,     5.0, ,     6.9, ,    12.6, ,     9.8, 
1960,     5.3, ,     5.4, ,     4.5, ,     6.9, ,     8.6, ,    10.2, ,    12.4, ,    13.2, ,    12.5, ,    10.3, ,     6.9, ,     6.5, ,     8.6, ,     5.5, ,     6.7, ,    11.9, ,     9.9, 
1961,     6.6, ,     5.6, ,     5.4, ,     7.0, ,     9.3, ,    11.1, ,    13.5, ,    15.0, ,    12.8, ,     9.0, ,     5.7, ,     4.8, ,     8.8, ,     6.2, ,     7.2, ,    13.2, ,     9.2, 
1962,     5.0, ,     4.7, ,     3.6, ,     6.4, ,     8.0, ,    10.3, ,    12.5, ,    13.4, ,    13.1, ,    10.0, ,     7.5, ,     6.5, ,     8.4, ,     4.8, ,     6.0, ,    12.1, ,    10.2, 
