1057050,SANDSPIT       ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1057050,SANDSPIT       ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1945, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.3, ,     3.8, ,     3.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1946,     3.9, ,     3.4, ,     4.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.6, , -9999.9,M, -9999.9,M, -9999.9,M
1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.4, ,    11.9, ,     7.9, ,     4.5, ,     1.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.1, 
1949,     2.2, ,      .6, ,     4.0, ,     5.7, ,     8.8, ,    10.7, ,    12.9, ,    12.9, ,    13.3, ,     9.1, ,     7.2, ,     1.1, ,     7.4, ,     1.3, ,     6.2, ,    12.2, ,     9.9, 
1950,    -4.6, ,     1.6, ,     3.1, ,     4.8, ,     7.9, ,    12.2, ,    12.9, ,    13.7, ,    12.1, ,     7.2, ,     2.8, ,     4.1, ,     6.5, ,     -.6, ,     5.3, ,    12.9, ,     7.4, 
1951,     1.2, ,     2.7, ,     1.5, ,     5.9, ,     8.7, ,    13.2, ,    15.0, ,    15.3, ,    13.4, ,     8.3, ,     6.0, ,     2.6, ,     7.8, ,     2.7, ,     5.4, ,    14.5, ,     9.2, 
1952,      .6, ,     2.9, ,     3.6, ,     5.2, ,     8.2, ,    10.6, ,    14.3, ,    15.7, ,    13.1, ,    10.5, ,     6.5, ,     4.5, ,     8.0, ,     2.0, ,     5.7, ,    13.5, ,    10.0, 
1953,      .4, ,     4.1, ,     4.4, ,     6.1, ,     9.3, ,    11.9, ,    14.4, ,    14.6, ,    12.2, ,     9.4, ,     6.1, ,     5.0, ,     8.2, ,     3.0, ,     6.6, ,    13.6, ,     9.2, 
1954,     -.1, ,     2.2, ,     3.0, ,     4.4, ,     9.0, ,    10.5, ,    11.8, ,    15.2, ,    13.6, ,     8.9, ,     7.8, ,     4.0, ,     7.5, ,     2.4, ,     5.5, ,    12.5, ,    10.1, 
1955,     5.0, ,     3.4, ,     2.3, ,     4.8, ,     6.9, ,    10.9, ,    13.2, ,    13.2, ,    11.9, ,     7.8, ,     2.2, ,      .1, ,     6.8, ,     4.1, ,     4.7, ,    12.4, ,     7.3, 
1956,     1.4, ,     1.4, ,     2.5, ,     5.9, ,     9.9, ,    10.6, ,    13.7, ,    15.0, ,    12.7, ,     6.9, ,     5.6, ,     3.8, ,     7.5, ,     1.0, ,     6.1, ,    13.1, ,     8.4, 
1957,      .6, ,     1.7, ,     4.0, ,     6.0, ,    10.2, ,    11.8, ,    13.6, ,    14.7, ,    15.1, ,     9.8, ,     7.7, ,     3.5, ,     8.2, ,     2.0, ,     6.7, ,    13.4, ,    10.9, 
1958,     5.7, ,     5.8, ,     5.2, ,     7.9, ,    10.9, ,    15.2, ,    17.5, ,    15.5, ,    12.6, ,     9.5, ,     4.6, ,     4.6, ,     9.6, ,     5.0, ,     8.0, ,    16.1, ,     8.9, 
1959,     3.1, ,     3.4, ,     4.5, ,     6.2, ,     9.1, ,    11.9, ,    14.3, ,    13.9, ,    11.8, ,    10.0, ,     5.8, ,     4.7, ,     8.2, ,     3.7, ,     6.6, ,    13.4, ,     9.2, 
1960,     3.7, ,     4.2, ,     3.9, ,     6.6, ,     8.7, ,    10.8, ,    13.4, ,    14.5, ,    12.7, ,    10.2, ,     5.9, ,     5.3, ,     8.3, ,     4.2, ,     6.4, ,    12.9, ,     9.6, 
1961,     4.8, ,     4.6, ,     4.8, ,     7.2, ,     9.6, ,    11.7, ,    15.5, ,    16.3, ,    13.4, ,     9.1, ,     4.5, ,     3.3, ,     8.7, ,     4.9, ,     7.2, ,    14.5, ,     9.0, 
1962,     4.4, ,     3.6, ,     2.6, ,     5.8, ,     7.9, ,    11.0, ,    14.3, ,    14.5, ,    12.9, ,     9.4, ,     5.7, ,     5.3, ,     8.1, ,     3.8, ,     5.4, ,    13.3, ,     9.3, 
1963,     4.1, ,     6.9, ,     4.6, ,     6.7, ,     9.3, ,    11.6, ,    14.5, ,    16.3, ,    14.3, ,     9.0, ,     3.9, ,     4.9, ,     8.8, ,     5.4, ,     6.9, ,    14.1, ,     9.1, 
1964,     3.2, ,     4.7, ,     4.3, ,     5.5, ,     7.8, ,    11.9, ,    12.9, ,    13.5, ,    12.0, ,     8.3, ,     4.4, ,     -.6, ,     7.3, ,     4.3, ,     5.9, ,    12.8, ,     8.2, 
1965,     1.2, ,     3.3, ,     4.6, ,     6.1, ,     7.6, ,    11.0, ,    13.6, ,    14.8, ,    14.6, ,     8.8, ,     5.1, ,     2.1, ,     7.7, ,     1.3, ,     6.1, ,    13.1, ,     9.5, 
1966,     1.2, ,     3.5, ,     4.5, ,     6.1, ,     7.8, ,    10.9, ,    14.7, ,    14.1, ,    12.3, ,     7.8, ,     5.3, ,     4.3, ,     7.7, ,     2.3, ,     6.1, ,    13.2, ,     8.5, 
1967,     2.4, ,     4.4, ,     2.7, ,     6.0, ,     9.3, ,    13.2, ,    13.9, ,    15.9, ,    12.9, ,     8.9, ,     6.4, ,     4.0, ,     8.3, ,     3.7, ,     6.0, ,    14.3, ,     9.4, 
1968,     1.0, ,     3.3, ,     5.1, ,     5.5, ,    10.0, ,    11.2, ,    14.6, ,    15.1, ,    12.2, ,     8.2, ,     6.0, ,      .1, ,     7.7, ,     2.8, ,     6.9, ,    13.6, ,     8.8, 
1969,    -3.4, ,     1.1, ,     3.7, ,     5.6, ,     9.5, ,    14.0, ,    14.0, ,    13.1, ,    12.1, ,     9.5, ,     7.1, ,     6.0, ,     7.7, ,     -.7, ,     6.3, ,    13.7, ,     9.6, 
1970,     2.3, ,     6.0, ,     5.9, ,     5.9, ,     8.4, ,    11.5, ,    12.7, ,    13.9, ,    12.1, ,     9.1, ,     4.8, ,     1.5, ,     7.8, ,     4.8, ,     6.7, ,    12.7, ,     8.7, 
1971,      .1, ,     2.7, ,     2.9, ,     5.2, ,     7.4, ,    10.5, ,    15.0, ,    14.6, ,    11.8, ,     7.9, ,     5.8, ,     1.1, ,     7.1, ,     1.4, ,     5.2, ,    13.4, ,     8.5, 
1972,     -.9, ,      .4, ,     3.4, ,     3.8, ,     8.7, ,    10.7, ,    14.2, ,    15.1, ,    12.3, ,     9.0, ,     6.5, ,     3.0, ,     7.2, ,      .2, ,     5.3, ,    13.3, ,     9.3, 
1973,     2.5, ,     4.0, ,     4.3, ,     6.2, ,     8.0, ,    10.0, ,    12.6, ,    13.6, ,    12.2, ,     7.7, ,     1.9, ,     3.9, ,     7.2, ,     3.2, ,     6.2, ,    12.1, ,     7.3, 
1974,      .9, ,     3.1, ,     3.7, ,     6.1, ,     8.1, ,    10.1, ,    12.8, ,    15.3, ,    14.1, ,     9.7, ,     5.6, ,     4.8, ,     7.9, ,     2.6, ,     6.0, ,    12.7, ,     9.8, 
1975,     1.7, ,      .7, ,     2.7, ,     5.1, ,     7.8, ,    10.3, ,    13.1, ,    12.8, ,    13.1, ,     8.1, ,     4.2, ,     3.8, ,     7.0, ,     2.4, ,     5.2, ,    12.1, ,     8.5, 
1976,     4.4, ,     2.4, ,     3.0, ,     5.7, ,     7.6, ,    10.5, ,    12.5, ,    13.3, ,    12.3, ,     9.2, ,     6.8, ,     5.7, ,     7.8, ,     3.5, ,     5.4, ,    12.1, ,     9.4, 
1977,     4.3, ,     6.3, ,     4.6, ,     6.5, ,     8.4, ,    11.8, ,    13.4, ,    16.3, ,    13.2, ,     8.8, ,     3.9, ,      .7, ,     8.2, ,     5.4, ,     6.5, ,    13.8, ,     8.6, 
1978,     2.5, ,     5.2, ,     5.1, ,     7.0, ,     8.9, ,    13.4, ,    15.1, ,    14.9, ,    12.2, ,     9.9, ,     5.6, ,     3.3, ,     8.6, ,     2.8, ,     7.0, ,    14.5, ,     9.2, 
1979,     1.8, ,     1.7, ,     5.5, ,     6.9, ,     9.3, ,    11.5, ,    14.8, ,    15.9, ,    13.8, ,    10.4,E,     6.6,E,     4.7, ,     8.6,E,     2.3, ,     7.2, ,    14.1, ,    10.3,E
1980,     1.5, ,     5.2, ,     4.9, ,     6.9, ,     9.5, ,    13.0, ,    14.8, ,    15.5, ,    13.9, ,    10.2, ,     6.9, ,     3.0, ,     8.8, ,     3.8, ,     7.1, ,    14.4, ,    10.3, 
1981,     6.9, ,     5.3, ,     6.0, ,     6.4, ,     9.7, ,    11.3, ,    15.4, ,    15.8, ,    13.3, ,     9.1, ,     7.3, ,     3.3, ,     9.2, ,     5.1, ,     7.4, ,    14.2, ,     9.9, 
1982,     1.5, ,     2.0, ,     4.2, ,     4.8, ,     8.2, ,    12.8, ,    14.0, ,    14.0, ,    13.4, ,     9.4, ,     4.7, ,     4.2, ,     7.8, ,     2.3, ,     5.7, ,    13.6, ,     9.2, 
1983,     5.1, ,     6.4, ,     6.3, ,     8.1, ,    10.7, ,    12.5, ,    14.3, ,    14.6, ,    12.4, ,     9.5, ,     6.4, ,     2.5, ,     9.1, ,     5.2, ,     8.4, ,    13.8, ,     9.4, 
1984,     5.2, ,     5.1, ,     6.6, ,     6.6, ,     8.6, ,    11.5, ,    13.4, ,    14.1, ,    12.0, ,     8.4, ,     4.8, ,     2.6, ,     8.2, ,     4.3, ,     7.3, ,    13.0, ,     8.4, 
1985,     6.2, ,     3.7, ,     4.4, ,     5.5, ,     8.6, ,    10.6, ,    14.7, ,    14.9, ,    13.1, ,     7.8, ,      .3, ,     3.4, ,     7.8, ,     4.2, ,     6.2, ,    13.4, ,     7.1, 
1986,     4.5, ,     1.9, ,     6.0, ,     5.6, ,     8.2, ,    11.5, ,    13.7, ,    15.6, ,    13.8, ,    11.8, ,     6.6, ,     5.4, ,     8.7, ,     3.3, ,     6.6, ,    13.6, ,    10.7, 
1987,     5.0, ,     5.6, ,     4.6, ,     6.4, ,     9.1, ,    11.8, ,    14.1, ,    15.6, ,    13.3, ,     9.9, ,     7.5, ,     4.2, ,     8.9, ,     5.3, ,     6.7, ,    13.8, ,    10.2, 
1988,     3.8, ,     4.9, ,     5.6, ,     6.4, ,     8.8, ,    11.2, ,    13.5, ,    14.8, ,    12.9, ,    10.0, ,     6.2, ,     4.1, ,     8.5, ,     4.3, ,     6.9, ,    13.2, ,     9.7, 
