1060841,BELLA COOLA    ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1060841,BELLA COOLA    ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1895, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.4, ,    16.7, , -9999.9,M,     9.9, ,     8.3, ,     3.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.2, 
1896, -9999.9,M, -9999.9,M, -9999.9,M,     5.7, ,     9.5, ,    12.4, ,    16.6, ,    17.2, ,    12.0, ,     7.4, ,    -5.3, ,     -.1, , -9999.9,M, -9999.9,M, -9999.9,M,    15.4, ,     4.7, 
1897,    -1.7, , -9999.9,M,     -.4, ,     8.5, ,    11.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.0, , -9999.9,M, -9999.9,M,     6.6, , -9999.9,M, -9999.9,M
1898, -9999.9,M,      .2, ,     2.8, ,     6.6, ,    12.4, ,    15.5, ,    17.1, ,    19.6, ,    13.2, ,     6.6, ,     -.2, ,    -2.2, , -9999.9,M, -9999.9,M,     7.3, ,    17.4, ,     6.5, 
1899,    -2.4, ,     -.9, ,     1.8, ,     6.7, ,     9.7, , -9999.9,M,    18.2, ,    15.3, ,    12.6, ,     5.4, , -9999.9,M, -9999.9,M, -9999.9,M,    -1.8, ,     6.1, , -9999.9,M, -9999.9,M
1900, -9999.9,M,     -.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1901, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1902, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1903, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.5, ,    16.2, ,    16.1, ,    10.6, ,     7.1, ,      .5, ,     1.3, , -9999.9,M, -9999.9,M, -9999.9,M,    15.9, ,     6.1, 
1904,     -.9, ,    -5.7, ,     -.6, ,     7.6, ,    10.2, ,    12.9, ,    15.8, ,    16.0, ,    11.7, ,     8.3, ,     4.5, ,      .9, ,     6.7, ,    -1.8, ,     5.7, ,    14.9, ,     8.2, 
1905,    -2.3, ,    -1.1, ,     5.6, ,     9.0, ,    12.4, ,    17.2, ,    19.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.8, ,     9.0, , -9999.9,M, -9999.9,M
1906, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.4, ,    18.3, ,    16.2, ,    10.9, ,     8.4, ,     3.2, ,    -2.9, , -9999.9,M, -9999.9,M, -9999.9,M,    16.0, ,     7.5, 
1907,    -9.6, ,    -1.8, ,     2.3, ,     5.8, ,    12.5, ,    14.2, ,    17.2, ,    14.7, ,    13.4, ,     8.6, ,     3.3, ,     -.4, ,     6.7, ,    -4.8, ,     6.9, ,    15.4, ,     8.4, 
