1065010,MCINNES ISLAND ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1065010,MCINNES ISLAND ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1955,     4.7, ,     3.5, ,     2.8, ,     6.3, ,     8.5, ,    11.6, ,    13.6, , -9999.9,M, -9999.9,M, -9999.9,M,     1.9, ,     1.3, , -9999.9,M, -9999.9,M,     5.9, , -9999.9,M, -9999.9,M
1956,     2.0, ,     1.7, ,     3.6, ,     7.1, ,    10.5, ,    11.4, ,    13.5, ,    14.3, ,    12.5, ,     8.1, ,     5.9, ,     4.3, ,     7.9, ,     1.7, ,     7.1, ,    13.1, ,     8.8, 
1957,      .2, ,     2.0, ,     5.1, ,     7.2, ,    11.2, ,    12.8, ,    13.7, ,    15.7, ,    15.0, ,     9.6, ,     7.3, ,     5.4, ,     8.8, ,     2.2, ,     7.8, ,    14.1, ,    10.6, 
1958,     6.5, ,     6.6, ,     6.8, ,     9.3, ,    11.9, ,    14.9, ,    15.0, ,    15.8, ,    13.2, ,    10.4, ,     5.5, ,     5.6, ,    10.1, ,     6.2, ,     9.3, ,    15.2, ,     9.7, 
1959,     3.6, ,     4.2, ,     5.8, ,     8.2, ,    10.6, ,    12.8, ,    14.8, ,    14.3, ,    12.8, ,     9.8, ,     6.1, ,     5.7, ,     9.1, ,     4.5, ,     8.2, ,    14.0, ,     9.6, 
1960,     4.1, ,     5.1, ,     4.5, ,     7.9, ,     9.9, ,    11.6, ,    13.9, ,    13.8, ,    12.3, ,    10.0, ,     6.4, ,     5.7, ,     8.8, ,     5.0, ,     7.4, ,    13.1, ,     9.6, 
1961,     5.8, ,     5.3, ,     6.0, ,     7.6, ,    10.4, ,    12.7, ,    14.6, ,    15.2, ,    12.8, ,     8.7, ,     4.4, ,     3.5, ,     8.9, ,     5.6, ,     8.0, ,    14.2, ,     8.6, 
1962,     3.6, ,     4.5, ,     3.5, ,     7.0, ,     8.8, ,    11.8, ,    13.4, ,    14.0, ,    12.9, ,    10.1, ,     7.5, ,     5.7, ,     8.6, ,     3.9, ,     6.4, ,    13.1, ,    10.2, 
1963,     3.6, ,     7.5, ,     5.3, ,     7.9, ,    10.5, ,    11.8, ,    13.9, ,    15.1, ,    14.6, ,    10.6, ,     5.8, ,     5.7, ,     9.4, ,     5.6, ,     7.9, ,    13.6, ,    10.3, 
1964,     4.4, ,     5.3, ,     4.7, ,     6.7, ,     8.7, ,    12.5, ,    13.5, ,    14.0, ,    12.3, ,     9.5, ,     4.5, ,      .7, ,     8.1, ,     5.1, ,     6.7, ,    13.3, ,     8.8, 
1965,     2.7, ,     3.8, ,     5.4, ,     7.5, ,     8.7, ,    11.5, ,    14.0, ,    14.0, ,    11.6, ,     9.8, ,     5.9, ,     2.8, ,     8.1, ,     2.4, ,     7.2, ,    13.2, ,     9.1, 
1966,     2.1, ,     4.8, ,     5.2, ,     6.5, ,     8.6, ,    11.7, ,    13.5, ,    14.4, ,    12.7, ,     8.8, ,     5.9, ,     5.0, ,     8.3, ,     3.2, ,     6.8, ,    13.2, ,     9.1, 
1967, -9999.9,M,     5.1, ,     3.5, ,     7.7, ,     9.7, ,    12.7, ,    13.6, ,    15.8, ,    14.1, ,     9.9, ,     7.0, ,     3.9, , -9999.9,M, -9999.9,M,     7.0, ,    14.0, ,    10.3, 
1968,     2.5, ,     5.6, ,     6.3, ,     6.2, ,    10.8, ,    12.6, ,    14.8, ,    14.1, ,    12.5, ,     9.2, ,     6.7, ,      .6, ,     8.5, ,     4.0, ,     7.8, ,    13.8, ,     9.5, 
