1077500,SMITHERS       ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1077500,SMITHERS       ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1922, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.1, ,    14.1, ,     9.2, ,     4.8, ,      .5, ,   -11.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.8, 
1923,   -11.1, ,    -6.2, ,     -.4, ,     4.1, ,     7.6, ,    13.2, ,    14.4, ,    14.1, ,     9.3, ,     5.9, ,     2.0, ,    -5.5, ,     4.0, ,    -9.6, ,     3.8, ,    13.9, ,     5.7, 
1924,    -7.7, ,    -3.1, ,    -1.3, ,     2.6, ,     9.0, ,    12.0, ,    13.7, ,    12.6, ,     8.7, ,     5.0, ,    -3.2, ,   -12.5, ,     3.0, ,    -5.4, ,     3.4, ,    12.8, ,     3.5, 
1925,    -8.1, ,    -8.1, ,    -2.3, ,     3.2, ,     8.9, ,    11.4, ,    13.8, ,    12.0, ,     8.1, ,     2.9, ,     -.7, ,     -.9, ,     3.4, ,    -9.6, ,     3.3, ,    12.4, ,     3.4, 
1926,    -1.4, ,    -1.1, ,     3.1, ,     4.9, ,     7.2, ,    11.1, ,    13.1, ,    13.2, ,     6.3, ,     4.0, ,    -1.8, ,    -6.5, ,     4.3, ,    -1.1, ,     5.1, ,    12.5, ,     2.8, 
1927,   -10.4, ,    -6.8, ,    -1.3, ,     1.5, ,     6.3, ,    11.6, ,    14.2, ,    15.8, ,     9.4, ,     2.7, ,    -8.5, ,   -14.8, ,     1.6, ,    -7.9, ,     2.2, ,    13.9, ,     1.2, 
1928,    -7.9, ,    -4.3, ,     -.1, ,     2.5, ,     7.8, ,    13.5, ,    14.1, ,    12.5, ,    10.0, ,     2.6, ,    -1.0, ,    -6.3, ,     3.6, ,    -9.0, ,     3.4, ,    13.4, ,     3.9, 
1929,   -10.2, ,    -8.5, ,      .2, ,      .9, ,     7.3, ,    10.6, ,    11.4, ,    12.0, ,    10.6, ,     5.2, ,      .3, ,    -8.7, ,     2.6, ,    -8.3, ,     2.8, ,    11.3, ,     5.4, 
1930,   -17.4, ,    -4.1, ,    -2.1, ,     4.1, ,     6.5, ,    10.4, ,    12.5, ,    14.7, ,     9.4, ,     2.3, ,     -.8, ,      .7, ,     3.0, ,   -10.1, ,     2.8, ,    12.5, ,     3.6, 
1931,    -2.8, ,    -1.1, ,    -2.0, ,     5.0, ,     7.2, ,    11.3, ,    13.2, ,    12.7, ,     8.6, ,     4.1, ,    -5.7, ,    -6.3, ,     3.7, ,    -1.1, ,     3.4, ,    12.4, ,     2.3, 
