1090660,BARKERVILLE    ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1090660,BARKERVILLE    ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1888, -9999.9,M,    -4.5,a, -9999.9,M,    -1.0,a,     5.8,a,    10.6,a,    10.2,a,    13.3,a,     9.5,a,     1.7,a,    -5.2,a,    -7.0,a, -9999.9,M, -9999.9,M, -9999.9,M,    11.4,a,     2.0,a
1889,    -8.1,a,    -8.9,a,    -1.0,a,     1.0,a,     5.6,a,     8.1,a,    12.8,a,     9.8,a,     4.5,a,     3.5,a,    -3.1,a,   -11.8,a,     1.0,a,    -8.0,a,     1.9,a,    10.2,a,     1.6,a
1890, -9999.9,M, -9999.9,M,    -4.2,a,    -2.7,a,     4.9,a,     7.6,a,     9.8,a,    10.2,a,     5.5,a,      .0,a,     -.9,a,    -5.6,a, -9999.9,M, -9999.9,M,     -.7,a,     9.2,a,     1.5,a
1891,    -5.1,a,   -17.2,a,    -6.6,a,     -.3,a,     4.9,a,     6.3,a,    11.2,a,    12.1,a,     5.1,a,     2.8,a,    -4.1,a,    -8.6,a,      .0,a,    -9.3,a,     -.7,a,     9.9,a,     1.3,a
1892,   -10.7,a, -9999.9,M,    -2.3,a,    -3.4,a, -9999.9,M,     9.8,a,     8.4,a,    10.0,a,     7.9,a,     3.2,a,    -6.9,a,    -7.8,a, -9999.9,M, -9999.9,M, -9999.9,M,     9.4,a,     1.4,a
1893,   -10.3,a,   -13.7,a,    -3.7,a,    -1.1,a,     4.4,a,     5.8,a,    10.6,a,    12.2,a,     7.4,a,     -.5,a,    -8.2,a, -9999.9,M, -9999.9,M,   -10.6,a,     -.1,a,     9.5,a,     -.4,a
1894,   -11.0,a,    -8.8,a,    -4.5,a,     -.2,a,     4.9,a,     8.4,a,    12.4,a,    13.6,a,     4.6,a,      .0,a,    -3.8,a,    -9.1,a,      .5,a, -9999.9,M,      .1,a,    11.5,a,      .3,a
1895,   -11.6,a,    -5.4,a,    -3.7,a,      .4,a,     4.1,a,     8.0,a,    10.9,a,    10.7,a,     1.8,a,     3.2,a,    -3.1,a,    -7.8,a,      .6,a,    -8.7,a,      .3,a,     9.9,a,      .6,a
1896,   -12.6,a,    -5.2,a,    -7.7,a,    -1.2,a,     2.9,a,     7.6,a,    13.9,a,    12.5,a,     6.6,a,     1.8,a,   -17.0,a,    -4.8,a,     -.3,a,    -8.5,a,    -2.0,a,    11.3,a,    -2.9,a
1897,    -8.7,a,    -7.7,a,   -10.0,a,     1.9,a,     8.3,a,    10.4,a,     9.4,a,    14.6,a,     6.4,a,     1.8,a,   -11.1,a,    -6.3,a,      .8,a,    -7.1,a,      .1,a,    11.5,a,    -1.0,a
1898,    -6.9,a,    -5.6,a,    -6.8,a,      .5,a,     6.9,a,    10.5,a, -9999.9,M,    15.3,a,     7.3,a,     -.5,a,    -7.0,a,    -7.9,a, -9999.9,M,    -6.3,a,      .2,a, -9999.9,M,     -.1,a
