1096625,QUESNEL        ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1096625,QUESNEL        ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1899,    -7.4,a,   -10.4,a,    -6.6,a,     2.2,a,     6.5,a,    11.5,a,    15.5,a,    12.6,a,     9.0,a,      .6,a,     2.6,a,    -3.9,a,     2.7,a, -9999.9,M,      .7,a,    13.2,a,     4.1,a
1900,    -5.8,a,    -8.1,a,    -2.8,a,     4.8,a,     9.4,a,    11.4,a,    14.2,a,    12.2,a,     9.1,a,     4.1,a,    -1.8,a,     1.0,a,     4.0,a,    -5.9,a,     3.8,a,    12.6,a,     3.8,a
1901,    -8.2,a,    -8.0,a,      .4,a,     5.3,a,    10.4,a,    11.4,a,    13.8,a,    14.2,a,    11.1,a, -9999.9,M,     2.7,a, -9999.9,M, -9999.9,M,    -5.1,a,     5.4,a,    13.1,a, -9999.9,M
1902, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.6,a,     9.6,a,     8.2,a,    -4.9,a,    -8.6,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.3,a
1903,    -7.6,a,    -4.6,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.0,a,    14.4,a,     8.0,a,     5.6,a,    -3.0,a,    -3.3,a, -9999.9,M,    -6.9,a, -9999.9,M, -9999.9,M,     3.5,a
1904,    -8.2,a,   -14.9,a,    -8.7,a,     6.5,a,     8.1,a,    12.7,a,    15.0,a,    14.5,a,    10.6,a,     5.0,a,     2.4,a,    -6.4,a,     3.1,a,    -8.8,a,     2.0,a,    14.1,a,     6.0,a
1905,   -10.8,a,   -10.6,a,     2.7,a,     5.3,a,    10.1,a,    14.0,a,    17.2,a,    13.9,a,     9.9,a,     1.2,a,    -2.0,a,    -4.7,a,     3.9,a,    -9.3,a,     6.0,a,    15.0,a,     3.0,a
1906,   -10.9,a,    -5.8,a,    -1.4,a,     6.1,a,    11.0,a,    12.0,a,    18.3,a,    15.3,a,    10.1,a,     7.7, ,      .2, ,    -9.9, ,     4.4,a,    -7.1,a,     5.2,a,    15.2,a,     6.0,a
1907,   -23.2, ,    -7.8, ,    -2.7, ,     4.9, ,    12.5, ,    14.1, ,    17.7, ,    14.7, ,    11.9, ,     7.9, ,     1.4, ,    -3.7, ,     4.0, ,   -13.6, ,     4.9, ,    15.5, ,     7.1, 
1908,    -6.4, ,    -7.1, ,    -1.8, ,     4.7, ,    10.5, ,    13.3, ,    16.2, ,    15.0, ,     9.4, ,     4.1, ,     1.3, ,    -7.7, ,     4.3, ,    -5.7, ,     4.5, ,    14.8, ,     4.9, 
1909,   -19.7, ,    -9.6, ,     1.0, ,     3.6, ,     9.1, ,    14.8, ,    15.7, ,    13.6, ,    11.9, ,     5.6, ,    -6.6, ,   -11.5, ,     2.3, ,   -12.3, ,     4.6, ,    14.7, ,     3.6, 
1910,    -8.2, ,   -10.2, ,     2.5, ,     5.7, ,    11.0, ,    12.7, ,    15.4, ,    14.6, ,    10.0, ,     4.4, ,    -1.5, ,    -5.4, ,     4.3, ,   -10.0, ,     6.4, ,    14.2, ,     4.3, 
1911,   -16.0, ,   -10.9, ,      .2, ,     2.8, ,    10.1, ,    12.8, ,    15.9, ,    15.9, ,    12.0, ,     5.4, ,    -6.5, ,    -5.9, ,     3.0, ,   -10.8, ,     4.4, ,    14.9, ,     3.6, 
1912,   -13.2, ,    -3.8, ,    -4.6, ,     6.2, ,    12.8, ,    15.2, ,    16.1, ,    15.6, ,    11.2, ,     4.9, ,     -.1, ,    -5.1, ,     4.6, ,    -7.6, ,     4.8, ,    15.6, ,     5.3, 
1913,   -13.5, ,    -9.3, ,    -4.2, ,     5.5, ,    10.6, ,    15.4, ,    15.5, ,    15.5, ,    10.6, ,     4.3, ,      .2, ,    -1.1, ,     4.1, ,    -9.3, ,     4.0, ,    15.5, ,     5.0, 
1914,    -6.4, ,    -5.5, ,     1.1, ,     6.9, ,    11.2, ,    15.4, ,    16.5, ,    16.5, ,    11.4, ,     8.0, ,      .5, ,   -10.5, ,     5.4, ,    -4.3, ,     6.4, ,    16.1, ,     6.6, 
1915,    -8.0, ,    -1.9, ,     4.4, ,     9.6, ,    12.5, ,    15.5, ,    18.1, ,    19.4, ,    12.0, ,     6.7, ,    -3.4, ,    -4.9, ,     6.7, ,    -6.8, ,     8.8, ,    17.7, ,     5.1, 
1916,   -24.3, ,    -9.2, ,      .9, ,     7.1, ,    11.4, ,    15.2, ,    15.5, ,    16.5, ,    12.2, ,     5.8, ,    -3.4, ,   -10.5, ,     3.1, ,   -12.8, ,     6.5, ,    15.7, ,     4.9, 
1917,   -12.1, ,   -12.4, ,    -2.5, ,     5.2, ,    11.5, ,    14.2, ,    16.8, ,    16.7, ,    11.6, ,     6.1, ,     5.1, ,   -12.9, ,     3.9, ,   -11.7, ,     4.7, ,    15.9, ,     7.6, 
1918,    -5.9, ,    -6.8, ,     -.9, ,     6.5, ,    10.0, ,    14.9, ,    17.9, ,    16.3, ,    13.6, ,     6.9, ,      .9, ,    -4.9, ,     5.7, ,    -8.5, ,     5.2, ,    16.4, ,     7.1, 
1919,    -4.8, ,    -7.8, ,    -4.9, ,     7.1, ,    10.1, ,    12.7, ,    17.4, ,    17.0, ,    12.6, ,     2.3, ,    -4.8, ,   -10.2, ,     3.9, ,    -5.8, ,     4.1, ,    15.7, ,     3.4, 
1920,   -11.9, ,    -6.8, ,     -.8, ,     2.7, ,     8.6, ,    13.4, ,    19.1, ,    17.4, ,    12.3, ,     5.3, ,      .5, ,    -5.1, ,     4.6, ,    -9.6, ,     3.5, ,    16.6, ,     6.0, 
1921,    -8.5, ,    -3.6, ,     -.4, ,     6.4, ,    11.7, ,    14.8, ,    16.6, ,    16.7, ,    11.0, ,     7.7, ,    -3.3, ,   -11.8, ,     4.8, ,    -5.7, ,     5.9, ,    16.0, ,     5.1, 
1922,   -10.2, ,   -15.6, ,     -.2, ,     5.6, ,    10.7, ,    15.5, ,    15.2, ,    17.6, ,    14.1, ,     7.4, ,      .6, ,    -8.7, ,     4.3, ,   -12.5, ,     5.4, ,    16.1, ,     7.4, 
1923,   -10.7, ,    -6.8, ,     -.5, ,     6.2, ,    11.3, ,    16.4, ,    17.9, ,    17.9, ,    12.2, ,     6.9, ,     1.6, ,    -4.3, ,     5.7, ,    -8.7, ,     5.7, ,    17.4, ,     6.9, 
