1108447,VANCOUVER      ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1108447,VANCOUVER      ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1896, -9999.9,M,     4.8, ,     4.0, ,     7.3, ,    10.4, ,    13.9, ,    16.4, ,    15.7, ,    11.6, ,     9.0, ,      .6, ,     5.5, , -9999.9,M, -9999.9,M,     7.2, ,    15.3, ,     7.1, 
1897,     3.0, ,     3.9, ,     3.2, ,     8.9, ,    12.5, ,    15.1, ,    15.0, ,    16.9, ,    11.9, ,     9.0, ,     4.3, ,     4.1, ,     9.0, ,     4.1, ,     8.2, ,    15.7, ,     8.4, 
1898,     2.8, ,     5.6, ,     4.2, ,     8.1, ,    11.7, ,    14.4, ,    15.7, ,    16.4, ,    13.4, ,     9.1, ,     4.8, ,     3.1, ,     9.1, ,     4.2, ,     8.0, ,    15.5, ,     9.1, 
1899,     2.1, ,     1.5, ,     4.5, ,     7.6, ,     9.2, ,    12.9, ,    16.1, ,    14.0, ,    12.5, ,     8.4, ,     9.3, ,     4.9, ,     8.6, ,     2.2, ,     7.1, ,    14.3, ,    10.1, 
1900,     4.7, ,     3.2, ,     7.1, ,     9.0, ,    12.0, ,    14.3, ,    16.2, ,    14.8, ,    11.9, ,     8.8, ,     3.5, ,     5.4, ,     9.2, ,     4.3, ,     9.4, ,    15.1, ,     8.1, 
1901,     1.5, ,     3.6, ,     6.1, ,     7.1, ,    11.6, ,    12.8, ,    14.7, ,    15.7, ,    11.8, ,    10.7, ,     7.3, ,     3.6, ,     8.9, ,     3.5, ,     8.3, ,    14.4, ,     9.9, 
1902,     1.8, ,     5.6, ,     5.7, ,     7.9, ,    12.1, ,    13.6, ,    15.2, ,    15.3, ,    11.5, ,     9.1, ,     5.3, ,     3.4, ,     8.9, ,     3.7, ,     8.6, ,    14.7, ,     8.6, 
1903,     3.3, ,     1.5, ,     3.2, ,     7.0, ,    10.7, ,    14.3, ,    15.0, ,    15.0, ,    11.7, ,     8.7, ,     5.2, ,     3.9, ,     8.3, ,     2.7, ,     7.0, ,    14.8, ,     8.5, 
1904,     2.9, ,     2.4, ,     3.9, ,     8.9, ,    10.9, ,    13.1, ,    15.6, ,    14.5, ,    12.3, ,     9.7, ,     7.7, ,     4.6, ,     8.9, ,     3.1, ,     7.9, ,    14.4, ,     9.9, 
1905,     2.8, ,     2.9, ,     7.4, ,     8.8, ,    11.3, ,    14.4, ,    16.4, ,    15.1, ,    12.7, ,     6.7, ,     5.0, ,     4.1, ,     9.0, ,     3.4, ,     9.2, ,    15.3, ,     8.1, 
1906,     3.9, ,     4.3, ,     5.3, ,     9.5, ,    11.5, ,    13.5, ,    17.5, ,    15.7, ,    12.7, ,     9.7, ,     5.2, ,     3.5, ,     9.4, ,     4.1, ,     8.8, ,    15.6, ,     9.2, 
1907,    -3.1, ,     3.1, ,     4.3, ,     7.3, ,    12.0, ,    12.8, ,    16.3, ,    14.0, ,    12.3, ,    10.1, ,     7.6, ,     4.3, ,     8.4, ,     1.2, ,     7.9, ,    14.4, ,    10.0, 
1908,     3.8, ,     3.7, ,     5.6, ,     8.2, ,    11.1, ,    13.9, ,    16.6, ,    15.7, ,    11.6, ,     9.0, ,     8.3, ,     2.6, ,     9.2, ,     3.9, ,     8.3, ,    15.4, ,     9.6, 
1909,    -1.4, ,     4.0, ,     5.2, ,     7.7, ,    10.6, ,    13.9, ,    15.1, ,    14.1, ,    12.8, ,     9.2, ,     5.6, ,      .8, ,     8.1, ,     1.7, ,     7.8, ,    14.4, ,     9.2, 
1910,     1.9, ,      .8, ,     6.4, ,     7.8, ,    12.1, ,    13.1, ,    15.5, ,    13.8, ,    12.5, ,     9.5, ,     5.8, ,     5.0, ,     8.7, ,     1.2, ,     8.8, ,    14.1, ,     9.3, 
1911,     -.2, ,     2.2, ,     5.0, ,     6.2, ,    10.5, ,    13.2, ,    16.5, ,    15.0, ,    12.2, ,     8.3, ,     4.1, ,     4.4, ,     8.1, ,     2.3, ,     7.2, ,    14.9, ,     8.2, 
