1125079,MERRITT        ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1125079,MERRITT        ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1962, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.1, ,    16.7, ,    15.4, ,    12.6, ,     7.9, ,     2.9, ,     1.0, , -9999.9,M, -9999.9,M, -9999.9,M,    15.4, ,     7.8, 
1963,    -7.4, ,     1.9, ,     3.9, ,     7.3, ,    11.3, ,    14.6, ,    15.7, ,    17.5, ,    15.2, ,     8.7, ,     1.7, ,    -3.8, ,     7.2, ,    -1.5, ,     7.5, ,    15.9, ,     8.5, 
1964,    -2.4, ,      .2, , -9999.9,M,     6.1, ,    10.5, ,    14.5, ,    16.8, ,    15.2, ,    11.2, ,     7.7, ,      .8, ,   -10.2, , -9999.9,M,    -2.0, , -9999.9,M,    15.5, ,     6.6, 
1965,    -5.7, ,      .7, ,     1.1, ,     7.6, ,    10.4, ,    15.1, , -9999.9,M,    17.9, ,    11.1, ,    10.0, ,      .9, ,    -3.9, , -9999.9,M,    -5.1, ,     6.4, , -9999.9,M,     7.3, 
1966,    -7.0, ,     -.6, ,     3.5, ,     6.4, ,    11.9, ,    13.4, ,    16.4, , -9999.9,M,    14.7, ,     7.5, ,     1.1, ,     -.5, , -9999.9,M,    -3.8, ,     7.3, , -9999.9,M,     7.8, 
1967, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1968, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.7, ,     7.3, ,     1.6,E,    -8.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.5,E
1969,   -17.1, ,    -4.2, ,     2.4, ,     8.2, ,    13.2, ,    18.8, ,    17.2, ,    16.0, ,    13.3, ,     7.2, ,     2.9, ,    -2.0, ,     6.3, ,    -9.9, ,     7.9, ,    17.3, ,     7.8, 
1970,    -7.5, ,      .1, ,     2.5, ,     5.8, ,    11.3, ,    17.8, ,    19.3, ,    18.1, ,    11.4, ,     6.5, ,    -2.3, ,    -6.8, ,     6.4, ,    -3.1, ,     6.5, ,    18.4, ,     5.2, 
1971,    -4.8, ,     -.4, ,      .9, ,     7.0, ,    12.7, ,    13.7, ,    18.8, ,    19.6, ,    11.5, ,     6.4, ,     2.4, ,    -9.9, ,     6.5, ,    -4.0, ,     6.9, ,    17.4, ,     6.8, 
