1125766,OLIVER         ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1125766,OLIVER         ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1955,    -1.6, ,    -1.6, ,      .5, ,     8.2, ,    12.9, ,    19.5, ,    21.4, ,    21.8, ,    16.7, ,     9.5, ,    -1.9, ,    -3.4, ,     8.5, , -9999.9,M,     7.2, ,    20.9, ,     8.1, 
1956,    -1.0, ,    -4.5, ,     3.3, ,    11.9, ,    16.8, ,    17.6, ,    23.2, ,    21.8, ,    16.8, ,     9.5, ,     2.5, ,     -.8, ,     9.8, ,    -3.0, ,    10.7, ,    20.9, ,     9.6, 
1957,    -9.1, ,    -2.8, ,     5.2, ,    11.3, ,    18.2, ,    19.4, , -9999.9,M,    19.8, ,    18.9, ,     8.8, ,     3.4, ,     2.3, , -9999.9,M,    -4.2, ,    11.6, , -9999.9,M,    10.4, 
1958,     1.8, ,     4.9, ,     6.2, ,    10.3, ,    19.4, ,    21.8, ,    24.6, ,    24.3, ,    16.0, ,    10.5, ,     1.7, ,      .5, ,    11.8, ,     3.0, ,    12.0, ,    23.6, ,     9.4, 
1959,    -1.8, ,    -1.4, ,     5.7, ,    11.3, ,    13.6, ,    18.6, ,    23.1, ,    19.6, ,    15.4, ,     9.4, ,      .5, ,      .3, ,     9.5, ,     -.9, ,    10.2, ,    20.4, ,     8.4, 
1960,    -3.6, ,     1.4, ,     5.4, ,    10.5, ,    13.4, ,    19.4, ,    25.7, ,    20.8, , -9999.9,M,    11.0, ,     3.4, ,    -1.2, , -9999.9,M,     -.6, ,     9.8, ,    22.0, , -9999.9,M
1961,      .3, ,     3.7, ,     6.2, ,    10.4, ,    15.0, ,    21.7, ,    23.6, ,    23.9, ,    15.3, ,     9.0, ,     1.2, ,    -1.1, ,    10.8, ,      .9, ,    10.5, ,    23.1, ,     8.5, 
1962,    -3.5, ,     1.3, ,     3.6, ,    12.0, ,    14.1, ,    18.6, ,    22.1, ,    20.3, ,    17.0, ,    10.3, ,     5.3, ,     2.6, ,    10.3, ,    -1.1, ,     9.9, ,    20.3, ,    10.9, 
1963,    -3.9, ,     2.7, ,     6.8, ,     9.9, ,    15.7, ,    19.0, ,    21.2, ,    21.9, ,    19.0, ,    11.9, ,     4.5, ,    -1.0, ,    10.6, ,      .5, ,    10.8, ,    20.7, ,    11.8, 
1964,     -.2, ,      .6, ,     5.1, ,     9.8, ,    14.7, ,    18.9, ,    21.9, ,    19.0, ,    14.3, ,     9.6, ,     4.1, ,    -3.5, ,     9.5, ,     -.2, ,     9.9, ,    19.9, ,     9.3, 
