1126150,PENTICTON      ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1126150,PENTICTON      ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1907, -9999.9,M, -9999.9,M, -9999.9,M,     5.6, , -9999.9,M, -9999.9,M,    20.0, ,    17.5, ,    14.9, ,    11.3, ,     5.3, ,     1.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.5, 
1908,     -.1, ,     -.1, ,     4.3, , -9999.9,M,    13.0, ,    17.5, ,    20.4, ,    18.7, ,    14.3, ,     8.8, ,     5.5, , -9999.9,M, -9999.9,M,      .5, , -9999.9,M,    18.9, ,     9.5, 
1909,    -7.8, ,      .9, ,     4.5, ,     8.5, ,    12.3, ,    16.6, ,    18.2, ,    17.7, ,    14.9, ,     8.3, ,     3.5, ,    -3.0, ,     7.9, , -9999.9,M,     8.4, ,    17.5, ,     8.9, 
1910,    -2.0, ,    -3.7, ,     6.4, ,     9.7, ,    14.1, ,    15.6, ,    19.6, ,    16.6, ,    13.9, ,     9.5, , -9999.9,M, -9999.9,M, -9999.9,M,    -2.9, ,    10.1, ,    17.3, , -9999.9,M
1911, -9999.9,M, -9999.9,M,     3.7, ,     7.3, ,    12.3, ,    16.2, ,    19.2, ,    17.9, ,    13.4, ,     8.2, ,     1.0, ,     -.8, , -9999.9,M, -9999.9,M,     7.8, ,    17.8, ,     7.5, 
1912,    -3.0, ,     1.8, ,      .8, ,     8.8, ,    13.2, ,    17.8, ,    18.2, ,    16.8, ,    12.2, ,     7.2, ,     4.3, ,     1.2, ,     8.3, ,     -.7, ,     7.6, ,    17.6, ,     7.9, 
1913,    -5.2, ,    -4.5, ,     1.6, ,     8.9, ,    12.6, ,    16.6, ,    18.6, ,    19.0, ,    13.8, ,     7.3, ,     3.9, ,      .8, ,     7.8, ,    -2.8, ,     7.7, ,    18.1, ,     8.3, 
1914,     1.3, ,     -.8, ,     5.0, ,    10.2, ,    13.7, ,    16.8, ,    21.0, ,    20.0, ,    13.5, ,    10.0, ,     4.7, ,    -3.2, ,     9.4, ,      .4, ,     9.6, ,    19.3, ,     9.4, 
1915,    -2.9, ,     2.6, ,     6.1, ,    11.5, ,    13.6, ,    16.8, ,    18.8, ,    21.3, ,    13.9, ,    10.4, ,     1.9, ,     -.4, ,     9.5, ,    -1.2, ,    10.4, ,    19.0, ,     8.7, 
1916,   -10.8, ,    -3.1, ,     4.5, ,     9.5, ,    12.0, ,    16.1, ,    18.0, ,    19.1, ,    14.6, ,     8.1, ,      .7, ,    -4.4, ,     7.0, ,    -4.8, ,     8.7, ,    17.7, ,     7.8, 
1917,    -4.0, ,    -3.3, ,     1.1, ,     7.7, ,    12.7, ,    15.6, ,    20.7, ,    20.0, ,    14.9, ,     9.6, ,     5.8, ,    -1.6, ,     8.3, ,    -3.9, ,     7.2, ,    18.8, ,    10.1, 
