1126510,PRINCETON      ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1126510,PRINCETON      ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1893, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.3, ,    17.0, ,    12.4, ,     3.1, ,    -4.4, ,    -4.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.7, 
1894, -9999.9,M,    -7.7, ,     -.7, ,     6.4, ,    10.3, , -9999.9,M,    16.3, ,    16.5, ,    10.7, ,     5.9, ,     1.9, ,    -7.8, , -9999.9,M, -9999.9,M,     5.3, , -9999.9,M,     6.2, 
1895, -9999.9,M,     -.1, ,     3.3, ,     8.2, ,    12.7, ,    13.9, ,    15.9, ,    17.5, ,    11.3, ,     7.5, ,     2.7, ,    -4.4, , -9999.9,M, -9999.9,M,     8.1, ,    15.8, ,     7.2, 
1896,    -7.1, ,    -2.1, ,     2.2, , -9999.9,M, -9999.9,M,    12.9, ,    18.4, ,    17.5, ,    11.9, ,     7.1, ,    -5.2, ,    -3.7, , -9999.9,M,    -4.5, , -9999.9,M,    16.3, ,     4.6, 
1897,    -6.7, ,    -5.2, ,    -5.2, ,     7.7, ,    13.1, ,    12.0, ,    16.6, ,    20.0, ,    12.1, ,     8.6, , -9999.9,M,    -5.1, , -9999.9,M,    -5.2, ,     5.2, ,    16.2, , -9999.9,M
1898,    -8.7, ,     -.4, ,     -.4, , -9999.9,M, -9999.9,M, -9999.9,M,    17.6, ,    19.4, ,    12.6, ,     6.0, ,     -.7, ,    -8.9, , -9999.9,M,    -4.7, , -9999.9,M, -9999.9,M,     6.0, 
1899,    -7.3, , -9999.9,M,      .8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1900, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1901,    -7.4, ,    -3.4, ,     4.4, ,     6.1, ,    11.8, ,    12.4, ,    16.7, ,    18.5, ,    11.2, ,     8.9, ,     2.1, ,    -4.1, ,     6.4, , -9999.9,M,     7.4, ,    15.9, ,     7.4, 
1902,    -6.9, ,    -2.4, ,     1.0, ,     6.6, ,    11.1, ,    12.7, ,    15.7, ,    16.0, ,    11.2, ,     7.6, ,    -2.1, ,    -9.1, ,     5.1, ,    -4.5, ,     6.2, ,    14.8, ,     5.6, 
1903,    -8.0, ,    -9.4, ,    -4.0, ,     4.6, ,     9.9, ,    16.7, ,    15.8, ,    16.1, ,    10.5, ,     7.0, ,    -1.0, ,    -3.3, ,     4.6, ,    -8.8, ,     3.5, ,    16.2, ,     5.5, 
