1128582,VERNON         ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1128582,VERNON         ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1900, -9999.9,M, -9999.9,M, -9999.9,M,    10.0,a,    13.3,a,    17.2,a,    19.5,a,    16.6,a,    13.9,a,     8.2,a,    -1.5,a,      .8,a, -9999.9,M, -9999.9,M, -9999.9,M,    17.8,a,     6.9,a
1901,    -5.9,a,    -4.5,a,     4.2,a,     7.2,a,    13.6,a,    15.6,a,    19.8,a,    22.3,a,    12.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.2,a,     8.3,a,    19.2,a, -9999.9,M
1902,    -3.9,a,     -.5,a,     3.5,a,     8.2,a,    13.3,a,    14.6,a,    18.3,a,    18.6,a,    12.8,a,     9.2,a,      .8,a,    -3.0,a,     7.7,a, -9999.9,M,     8.3,a,    17.2,a,     7.6,a
1903,    -3.5,a,    -5.3,a,    -1.9,a,     7.1,a,    12.9,a,    19.6,a,    17.9,a,    18.4,a,    11.3,a,     8.1,a,      .9,a,    -1.1,a,     7.0,a,    -3.9,a,     6.0,a,    18.6,a,     6.8,a
1904,    -3.7,a,    -4.1,a,     -.1,a,     9.1,a,    12.1,a,    16.1,a,    20.8,a,    20.5,a,    15.1,a,     9.4,a,     5.2,a,    -1.2,a,     8.3,a,    -3.0,a,     7.0,a,    19.1,a,     9.9,a
1905,    -2.6,a,    -4.3,a,     6.8,a,     9.6,a,    12.5,a,    16.8,a,    21.8,a,    20.7,a,    14.2,a,     5.2,a,     1.6,a,    -1.7,a,     8.4,a,    -2.7,a,     9.6,a,    19.8,a,     7.0,a
1906,    -2.8,a,      .1,a,     3.0,a,    11.2,a,    13.5,a,    16.0,a,    24.7,a,    20.4,a,    15.0,a,     9.9,a,     1.3,a,    -2.1,a,     9.2,a,    -1.5,a,     9.2,a,    20.4,a,     8.7,a
1907,   -14.0,a,    -3.4,a,      .2,a,     7.1,a,    13.9,a,    16.3,a,    20.6,a,    16.8,a,    14.0,a,     9.6,a,     3.9,a,     -.4,a,     7.1,a,    -6.5,a,     7.1,a,    17.9,a,     9.2,a
1908,    -2.9,a,    -3.0,a,     2.6,a,     8.9,a,    13.0,a,    17.8,a,    21.8,a,    19.7,a,    14.0,a,     7.6,a,     5.1,a,    -3.9,a,     8.4,a,    -2.1,a,     8.2,a,    19.8,a,     8.9,a
1909,   -11.9,a,    -2.2,a,     4.4,a,     7.2,a,    12.6,a,    17.2,a,    19.0,a,    18.3,a,    16.1,a,     8.6,a,     1.8,a,    -5.2,a,     7.2,a,    -6.0,a,     8.1,a,    18.2,a,     8.8,a
