1143900,KASLO          ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1143900,KASLO          ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1912, -9999.9,M, -9999.9,M,     -.5, , -9999.9,M,    11.5, ,    15.8, ,    14.8, , -9999.9,M,     9.5, ,     4.6, ,     1.1, ,    -1.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.1, 
1913,    -5.8, ,    -6.4, ,    -1.5, ,     5.6, ,    10.1, ,    14.3, ,    15.7, ,    15.8, ,    10.9, ,     5.1, ,     1.7, ,    -2.9, ,     5.2, ,    -4.6, ,     4.7, ,    15.3, ,     5.9, 
1914,     -.4, ,    -2.4, ,     2.3, ,     7.3, ,    11.5, ,    13.3, ,    18.1, ,    16.6, ,    11.1, ,     7.5, ,     2.8, ,    -7.3, ,     6.7, ,    -1.9, ,     7.0, ,    16.0, ,     7.1, 
1915,    -3.6, ,      .7, ,     3.9, ,     9.6, ,    11.1, ,    13.7, ,    17.8, ,    17.9, ,    11.5, ,     7.4, ,      .7, ,    -3.0, ,     7.3, ,    -3.4, ,     8.2, ,    16.5, ,     6.5, 
1916,   -10.7, ,    -3.8, ,     3.5, ,     7.9, ,     8.6, ,    12.8, ,    15.2, ,    15.7, ,    11.5, ,     6.1, ,     -.4, ,    -7.4, ,     4.9, ,    -5.8, ,     6.7, ,    14.6, ,     5.7, 
1917,    -4.7, ,    -3.4, ,    -2.7, ,     4.1, ,    10.8, ,    13.4, ,    18.3, ,    15.2, ,    11.5, ,     6.5, ,     2.9, ,    -2.7, ,     5.8, ,    -5.2, ,     4.1, ,    15.6, ,     7.0, 
1918,    -4.8, ,    -3.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.5, ,    15.6, ,    14.2, ,     8.7, ,     2.1, ,    -1.3, , -9999.9,M,    -3.6, , -9999.9,M, -9999.9,M,     8.3, 
1919,     -.9, ,    -2.5, ,     1.0, ,     7.3, ,    11.1, ,    14.2, ,    17.8, ,    17.8, ,    12.2, ,     5.2, ,     -.5, ,    -4.8, ,     6.5, ,    -1.6, ,     6.5, ,    16.6, ,     5.6, 
1920,    -4.4, ,    -2.0, ,     1.3, ,     5.5, ,     9.1, ,    13.0, ,    19.2, ,    17.1, ,    11.4, ,     6.0, ,     1.8, ,     -.2, ,     6.5, ,    -3.7, ,     5.3, ,    16.4, ,     6.4, 
1921,    -2.1, ,    -1.5, ,     1.2, ,     6.2, ,    11.4, ,    14.6, ,    17.2, ,    16.6, ,     9.6, ,     7.4, ,      .7, ,    -4.7, ,     6.4, ,    -1.3, ,     6.3, ,    16.1, ,     5.9, 
1922,    -6.1, ,    -5.3, ,      .1, ,     5.4, ,    10.2, ,    16.8, ,    18.2, ,    18.1, ,    13.4, ,     8.4, ,     1.0, ,    -5.3, ,     6.2, ,    -5.4, ,     5.2, ,    17.7, ,     7.6, 
1923,    -1.9, ,    -4.9, ,     1.0, ,     6.9, ,    10.5, ,    14.9, ,    18.1, ,    17.9, ,    14.8, ,     8.3, ,     2.5, ,    -1.3, ,     7.2, ,    -4.0, ,     6.1, ,    17.0, ,     8.5, 
1924,    -5.0, ,     2.5, ,     2.5, ,     6.1, ,    13.5, ,    14.4, ,    19.4, ,    16.4, ,    13.3, ,     7.4, ,      .2, ,    -6.0, ,     7.1, ,    -1.3, ,     7.4, ,    16.7, ,     7.0, 
1925,    -2.0, ,     1.8, ,     2.8, ,     8.3, ,    12.7, ,    15.7, ,    20.1, ,    17.0, ,    12.9, ,     5.8, ,     1.9, ,     1.4, ,     8.2, ,    -2.1, ,     7.9, ,    17.6, ,     6.9, 
1926,    -2.0, ,     1.7, ,     4.7, ,     9.1, ,    11.2, ,    16.1, ,    20.7, ,    16.7, ,     9.3, ,     7.8, ,     3.1, ,    -2.5, ,     8.0, ,      .4, ,     8.3, ,    17.8, ,     6.7, 
1927,    -4.1, ,    -1.5, ,     1.8, ,     5.6, ,     9.4, ,    14.3, ,    17.1, ,    17.2, ,    11.9, ,     7.3, ,     1.0, ,    -6.3, ,     6.1, ,    -2.7, ,     5.6, ,    16.2, ,     6.7, 
1928,    -3.0, ,    -1.2, ,     3.0, ,     5.5, ,    12.7, ,    14.1, ,    18.5, ,    16.7, ,    13.3, ,     5.7, ,     1.7, ,    -2.6, ,     7.0, ,    -3.5, ,     7.1, ,    16.4, ,     6.9, 
1929,    -8.3, ,    -6.1, ,     2.8, ,     5.4, ,    10.9, ,    13.2, ,    17.8, ,    18.3, ,    11.4, ,     7.2, ,      .4, ,    -1.3, ,     6.0, ,    -5.7, ,     6.4, ,    16.4, ,     6.3, 
1930,   -11.3, ,     -.2, ,     1.2, ,     8.8, ,    10.0, ,    13.2, ,    17.7, ,    18.4, ,    13.4, ,     5.5, ,      .5, ,     -.7, ,     6.4, ,    -4.3, ,     6.7, ,    16.4, ,     6.5, 
1931,     -.4, ,    -1.1, ,     2.8, ,     7.6, ,    11.9, ,    13.4, ,    18.4, ,    18.2, ,    11.7, ,     6.8, ,     -.2, ,    -1.5, ,     7.3, ,     -.7, ,     7.4, ,    16.7, ,     6.1, 
1932,    -4.7, ,    -3.5, ,      .8, ,     6.7, ,    10.7, ,    15.3, ,    16.8, ,    17.4, ,    12.3, ,     6.4, ,     2.4, ,    -4.4, ,     6.4, ,    -3.2, ,     6.1, ,    16.5, ,     7.0, 
1933,    -1.9, ,    -5.9, ,     1.8, ,     6.5, ,    10.4, ,    14.5, ,    18.1, ,    18.3, ,    10.9, ,     6.8, ,     3.4, ,     -.9, ,     6.8, ,    -4.1, ,     6.2, ,    17.0, ,     7.0, 
1934,     -.5, ,     -.7, ,     3.3, ,    10.4, ,    12.6, ,    15.2, ,    18.6, ,    18.7, ,    11.3, ,     8.3, ,     4.3, ,    -1.0, ,     8.4, ,     -.7, ,     8.8, ,    17.5, ,     8.0, 
1935,    -4.5, ,     -.4, ,      .7, ,     4.8, ,    10.6, ,    14.1, ,    17.4, ,    16.4, ,    14.3, ,     6.8, ,      .2, ,     -.3, ,     6.7, ,    -2.0, ,     5.4, ,    16.0, ,     7.1, 
1936,    -1.2, ,    -9.9, ,      .4, ,     7.2, ,    14.2, ,    16.1, ,    19.4, ,    18.8, ,    13.0, ,     8.5, ,      .8, ,     -.8, ,     7.2, ,    -3.8, ,     7.3, ,    18.1, ,     7.4, 
1937,   -11.2, ,    -3.4, ,     2.2, ,     6.2, ,    12.1, ,    15.6, ,    19.7, ,    16.3, ,    14.6, ,     8.9, ,     2.5, ,    -1.5, ,     6.8, ,    -5.1, ,     6.8, ,    17.2, ,     8.7, 
1938,    -2.5, ,    -1.2, ,     2.8, ,     7.5, ,    11.7, ,    16.6, ,    20.4, ,    16.9, ,    16.1, ,     8.9, ,      .0, ,    -2.6, ,     7.9, ,    -1.7, ,     7.3, ,    18.0, ,     8.3, 
1939,     -.1, ,    -4.1, ,     2.1, ,     8.4, ,    12.0, ,    13.1, ,    18.8, , -9999.9,M,    12.7, ,     6.8, ,     2.9, ,      .5, , -9999.9,M,    -2.3, ,     7.5, , -9999.9,M,     7.5, 
1940,    -3.5, ,      .0, ,     4.3, ,     7.7, ,    12.5, ,    16.0, ,    18.8, ,    17.9, ,    15.2, ,     8.5, ,     -.2, ,     -.4, ,     8.1, ,    -1.0, ,     8.2, ,    17.6, ,     7.8, 
1941,     -.8, ,      .4, ,     5.1, ,     9.3, ,    11.4, ,    15.5, ,    20.0, ,    17.6, ,    10.7, ,     7.0, ,     3.1, ,    -1.1, ,     8.2, ,     -.3, ,     8.6, ,    17.7, ,     6.9, 
1942,    -4.6, ,    -1.7, ,     2.3, ,     7.8, ,     9.9, ,    13.0, ,    17.2, ,    17.1, ,    13.1, ,     7.7, ,      .3, ,    -1.5, ,     6.7, ,    -2.5, ,     6.7, ,    15.8, ,     7.0, 
1943,    -8.7, ,     -.7, ,    -1.4, ,     6.9, ,     9.7, ,    12.3, ,    16.6, ,    16.6, ,    13.1, ,     7.1, ,     2.3, ,    -1.5, ,     6.0, ,    -3.6, ,     5.1, ,    15.2, ,     7.5, 
1944,    -2.7, ,    -1.5, ,      .6, ,     7.3, ,    11.3, ,    15.3, ,    18.1, ,    16.4, ,    13.4, ,     8.3, ,     2.3, ,    -2.4, ,     7.2, ,    -1.9, ,     6.4, ,    16.6, ,     8.0, 
1945,    -1.8, ,    -1.0, ,     1.7, ,     4.5, ,    11.7, ,    14.9, ,    19.4, ,    18.8, ,    12.1, ,     7.2, ,     1.1, ,    -1.6, ,     7.3, ,    -1.7, ,     6.0, ,    17.7, ,     6.8, 
