1148705,WARFIELD       ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1148705,WARFIELD       ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1928, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.4, ,    22.4, ,    20.3, ,    17.1, ,     7.8, ,     3.0, ,    -2.6, , -9999.9,M, -9999.9,M, -9999.9,M,    20.0, ,     9.3, 
1929,    -8.9, ,    -6.2, ,     4.9, ,     7.7, ,    14.6, ,    17.1, ,    21.9, ,    22.1, ,    14.5, ,     9.1, ,      .2, ,    -1.1, ,     8.0, ,    -5.9, ,     9.1, ,    20.4, ,     7.9, 
1930,   -11.2, ,     -.6, ,     3.4, ,    12.0, ,    13.3, ,    16.5, ,    22.1, ,    22.4, ,    16.6, ,     7.2, ,     1.0, ,    -1.8, ,     8.4, ,    -4.3, ,     9.6, ,    20.3, ,     8.3, 
1931,      .4, ,      .4, ,     5.1, ,    10.2, ,    16.1, ,    17.3, ,    22.5, ,    21.8, ,    14.2, ,     8.6, ,      .3, ,    -1.9, ,     9.6, ,     -.3, ,    10.5, ,    20.5, ,     7.7, 
1932,    -4.5, ,    -3.5, ,     2.6, ,     9.9, ,    14.4, ,    19.6, ,    20.5, ,    21.2, , -9999.9,M,     8.8, ,     3.1, ,    -4.1, , -9999.9,M,    -3.3, ,     9.0, ,    20.4, , -9999.9,M
1933,    -2.2, ,    -6.5, ,     2.7, ,     9.4, ,    12.7, ,    18.3, ,    22.0, ,    21.9, ,    12.9, ,     8.7, ,     3.8, ,      .3, ,     8.7, ,    -4.3, ,     8.3, ,    20.7, ,     8.5, 
1934,      .3, ,      .6, ,     5.4, ,    13.5, ,    15.8, ,    18.5, ,    21.5, ,    21.9, ,    13.2, ,     9.2, ,     4.5, ,    -1.2, ,    10.3, ,      .4, ,    11.6, ,    20.6, ,     9.0, 
1935,    -4.1, ,     -.4, ,     1.8, ,     7.1, ,    13.4, ,    17.1, ,    20.8, ,    19.7, ,    17.7, ,     7.6, ,     -.1, ,     -.1, ,     8.4, ,    -1.9, ,     7.4, ,    19.2, ,     8.4, 
1936,    -1.5, ,   -10.0, ,     2.1, ,    10.0, ,    16.9, ,    18.7, ,    22.3, ,    21.1, ,    15.0, ,    10.7, ,     -.1, ,    -1.6, ,     8.6, ,    -3.9, ,     9.7, ,    20.7, ,     8.5, 
1937,   -12.7, ,    -5.0, ,     4.1, ,     7.6, ,    14.0, ,    17.5, ,    21.8, ,    18.6, ,    16.4, ,    10.2, ,     2.5, ,     -.7, ,     7.9, ,    -6.4, ,     8.6, ,    19.3, ,     9.7, 
1938,    -2.1, ,     -.9, ,     3.9, ,     9.6, ,    14.3, ,    19.7, ,    23.0, ,    19.7, ,    19.6, ,     9.8, ,      .3, ,    -2.6, ,     9.5, ,    -1.2, ,     9.3, ,    20.8, ,     9.9, 
1939,    -1.2, ,    -3.8, ,     3.4, ,    10.8, ,    15.0, ,    14.9, ,    21.9, ,    22.1, ,    15.7, ,     7.8, ,     2.9, ,     1.2, ,     9.2, ,    -2.5, ,     9.7, ,    19.6, ,     8.8, 
1940,    -3.0, ,     -.2, ,     5.4, ,     9.8, ,    15.4, ,    19.8, ,    22.4, ,    21.4, ,    18.0, ,    10.0, ,      .0, ,     -.4, ,     9.9, ,     -.7, ,    10.2, ,    21.2, ,     9.3, 
1941,     -.7, ,     1.5, ,     7.4, ,    12.0, ,    13.7, ,    17.4, ,    23.4, ,    19.5, ,    12.4, ,     8.2, ,     3.5, ,      .0, ,     9.9, ,      .1, ,    11.0, ,    20.1, ,     8.0, 
1942,    -4.1, ,     -.6, ,     4.5, ,    10.9, ,    12.2, ,    15.1, ,    21.4, ,    22.0, ,    17.3, ,    10.5, ,     1.4, ,     -.6, ,     9.2, ,    -1.6, ,     9.2, ,    19.5, ,     9.7, 
1943,    -8.0, ,      .6, ,     1.3, ,    10.8, ,    13.1, ,    16.0, ,    21.9, ,    20.3, ,    17.7, ,     9.4, ,     3.3, ,    -1.5, ,     8.7, ,    -2.7, ,     8.4, ,    19.4, ,    10.1, 
1944,    -2.4, ,     -.7, ,     2.8, ,    10.7, ,    14.9, ,    18.2, ,    21.9, ,    20.4, ,    17.1, ,    11.5, ,     3.2, ,    -2.4, ,     9.6, ,    -1.5, ,     9.5, ,    20.2, ,    10.6, 
1945,    -1.2, ,     -.2, ,     2.5, ,     7.5, ,    15.3, ,    17.6, ,    22.3, ,    22.8, ,    14.2, ,     9.9, ,     1.5, ,     -.8, ,     9.3, ,    -1.3, ,     8.4, ,    20.9, ,     8.5, 
1946,    -2.7, ,     -.9, ,     4.4, ,     9.0, ,    15.1, ,    15.6, ,    20.9, ,    20.6, ,    14.5, ,     6.6, ,     -.2, ,    -2.3, ,     8.4, ,    -1.5, ,     9.5, ,    19.0, ,     7.0, 
1947,    -5.0, ,     -.1, ,     5.4, ,     9.8, ,    15.3, ,    15.4, ,    20.3, ,    18.1, ,    15.6, ,     9.1, ,      .8, ,     -.9, ,     8.7, ,    -2.5, ,    10.2, ,    17.9, ,     8.5, 
1948,    -4.0, ,    -3.2, ,     2.0, ,     7.3, ,    12.8, ,    19.0, ,    18.6, ,    17.8, ,    14.6, ,     7.5, ,     1.1, ,    -6.1, ,     7.3, ,    -2.7, ,     7.4, ,    18.5, ,     7.7, 
1949,   -11.5, ,    -5.5, ,     2.3, ,    10.5, ,    15.8, ,    16.6, ,    20.0, ,    19.9, ,    15.8, ,     7.6, ,     4.4, ,    -2.7, ,     7.8, ,    -7.7, ,     9.5, ,    18.8, ,     9.3, 
1950,   -13.4, ,    -1.7, ,     1.8, ,     7.3, ,    12.3, ,    17.2, ,    20.8, ,    20.4, ,    17.2, ,     7.0, ,     1.5, ,      .5, ,     7.6, ,    -5.9, ,     7.1, ,    19.5, ,     8.6, 
1951,    -3.5, ,    -2.3, ,      .3, ,     9.1, ,    13.7, ,    16.3, ,    21.7, ,    20.1, ,    15.1, ,     7.4, ,     1.5, ,    -5.8, ,     7.8, ,    -1.8, ,     7.7, ,    19.4, ,     8.0, 
