1162265,DARFIELD       ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1162265,DARFIELD       ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1914,    -2.3, ,    -4.4, ,     2.8, ,     8.7, ,    11.6, ,    15.0, ,    19.0, ,    17.4, ,    11.5, ,     8.4, ,     2.4, ,    -6.8, ,     6.9, , -9999.9,M,     7.7, ,    17.1, ,     7.4, 
1915,    -5.4, ,     1.2, ,     4.8, ,    10.4, ,    13.1, ,    14.4, ,    17.7, ,    19.2, ,    11.6, ,     7.7, ,     -.6, ,    -3.2, ,     7.6, ,    -3.7, ,     9.4, ,    17.1, ,     6.2, 
1916,   -22.2, ,    -6.8, ,     2.1, ,     7.3, ,    10.7, ,    14.7, ,    15.7, ,    17.2, ,    11.7, ,     5.4, ,    -1.8, ,    -9.1, ,     3.7, ,   -10.7, ,     6.7, ,    15.9, ,     5.1, 
1917,    -9.8, ,    -9.2, ,    -2.2, ,     5.4, ,    11.1, ,    13.1, ,    17.3, ,    17.0, ,    12.3, ,     6.6, ,     3.7, ,    -7.6, ,     4.8, ,    -9.4, ,     4.8, ,    15.8, ,     7.5, 
1918,    -5.9, ,    -6.9, ,     1.1, ,     6.5, ,    10.4, ,    14.5, ,    17.8, ,    15.5, ,    14.0, ,     7.4, ,     1.9, ,    -2.6, ,     6.1, ,    -6.8, ,     6.0, ,    15.9, ,     7.8, 
1919,    -3.4, ,    -5.0, ,    -2.1, ,     7.7, ,    10.7, ,    13.1, ,    17.3, ,    17.3, ,    12.1, ,     3.4, ,    -3.2, ,    -9.1, ,     4.9, ,    -3.7, ,     5.4, ,    15.9, ,     4.1, 
1920,    -9.4, ,    -5.7, ,      .1, ,     4.8, ,     9.3, ,    13.3, ,    18.8, ,    17.2, ,    11.1, ,     5.3, ,     1.3, ,     -.8, ,     5.4, ,    -8.1, ,     4.7, ,    16.4, ,     5.9, 
1921,    -5.9, ,    -2.6, ,     1.4, ,     6.0, ,    11.3, ,    14.9, ,    16.1, ,    16.4, ,    10.0, ,     7.7, ,    -2.0, ,    -9.5, ,     5.3, ,    -3.1, ,     6.2, ,    15.8, ,     5.2, 
1922,    -9.7, ,   -12.0, ,      .1, ,     6.0, ,    10.4, ,    15.5, ,    17.1, ,    16.5, ,    12.9, ,     7.4, ,     -.1, ,    -9.3, ,     4.6, ,   -10.4, ,     5.5, ,    16.4, ,     6.7, 
