1163780,KAMLOOPS       ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1163780,KAMLOOPS       ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1890,   -12.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.4, ,     8.3, ,     4.9, ,     1.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.5, 
1891,     1.0, ,    -8.2, ,     1.5, ,    10.8, , -9999.9,M, -9999.9,M,    22.0, ,    21.3, , -9999.9,M,    11.1, ,     2.0, ,    -5.7, , -9999.9,M,    -1.8, , -9999.9,M, -9999.9,M, -9999.9,M
1892,    -5.8, ,    -1.9, ,     6.9, ,     8.6, , -9999.9,M,    19.8, ,    19.7, ,    20.4, ,    15.8, ,     9.0, ,      .6, ,     -.8, , -9999.9,M,    -4.5, , -9999.9,M,    20.0, ,     8.5, 
1893,    -6.7, ,    -9.1, ,     3.2, ,     8.1, ,    13.8, ,    15.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.5, ,     8.4, , -9999.9,M, -9999.9,M
1894, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1895,     2.2, ,     4.9, , -9999.9,M, -9999.9,M, -9999.9,M,    17.0, ,    19.7, ,    19.4, ,    10.6, ,     7.4, ,     2.9, ,    -1.2, , -9999.9,M, -9999.9,M, -9999.9,M,    18.7, ,     7.0, 
1896,    -4.5, ,     2.1, ,     2.1, ,     8.8, , -9999.9,M,    18.2, , -9999.9,M,    19.7, ,    14.1, ,     8.7, ,    -9.2, ,      .9, , -9999.9,M,    -1.2, , -9999.9,M, -9999.9,M,     4.5, 
1897,    -3.0, ,    -1.7, ,    -2.0, ,    10.9, ,    16.8, ,    18.8, ,    19.4, ,    21.5, ,    14.9, ,     9.0, ,    -3.3, ,    -3.8, ,     8.1, ,    -1.3, ,     8.6, ,    19.9, ,     6.9, 
1898,    -5.2, ,      .8, ,     2.0, ,    10.2, ,    14.8, ,    18.0, ,    21.2, ,    24.4, ,    15.9, ,     7.5, ,      .4, ,    -4.0, ,     8.8, ,    -2.7, ,     9.0, ,    21.2, ,     7.9, 
1899,    -3.9, ,    -5.6, ,     1.2, ,     8.2, ,    12.0, ,    16.9, ,    20.7, ,    17.1, ,    14.6, ,     7.6, ,     7.8, ,      .1, ,     8.1, ,    -4.5, ,     7.1, ,    18.2, ,    10.0, 
