1182289,DAWSON CREEK   ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1182289,DAWSON CREEK   ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1952, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1953,   -22.8, ,    -5.5, ,    -6.6, ,      .7, ,    10.6, ,    12.6, ,    14.4, ,    14.6, ,     9.5, ,     6.3, ,    -2.6, ,    -7.3, ,     2.0, , -9999.9,M,     1.6, ,    13.9, ,     4.4, 
1954,   -25.3, ,    -8.3, ,    -7.4, ,    -5.6, ,     8.6, ,    12.1, ,    14.1, ,    13.8, ,     8.7, ,     5.1, ,     -.8, ,    -7.3, ,      .6, ,   -13.6, ,    -1.5, ,    13.3, ,     4.3, 
1955,    -8.9, ,   -13.8, ,   -11.1, ,     2.0, ,     8.2, ,    13.6, ,    14.8, ,    13.4, ,     8.3, ,     2.8, ,   -17.0, ,   -20.9, ,     -.7, ,   -10.0, ,     -.3, ,    13.9, ,    -2.0, 
1956,   -23.3, ,   -15.7, ,    -7.4, ,     2.3, ,    10.3, ,    12.3, ,    15.1, ,    14.6, ,     8.0, ,      .8, ,      .7, ,   -12.1, ,      .5, ,   -20.0, ,     1.7, ,    14.0, ,     3.2, 
1957,   -17.5, ,   -14.7, ,    -6.9, ,     3.7, ,     9.3, ,    12.4, ,    13.3, ,    12.9, ,    12.0, ,      .6, ,    -2.0, ,   -11.8, ,      .9, ,   -14.8, ,     2.0, ,    12.9, ,     3.5, 
1958,    -8.8, ,   -15.5, ,    -7.5, ,     4.2, ,    10.8, ,    13.9, ,    16.8, ,    15.1, ,     9.1, ,     6.0, ,    -6.3, ,   -13.3, ,     2.0, ,   -12.0, ,     2.5, ,    15.3, ,     2.9, 
1959,   -24.2, ,   -11.5, ,     -.9, ,     2.5, ,     7.6, ,    11.8, ,    16.2, ,    12.1, ,     8.4, ,     2.2, ,    -6.1, ,    -2.6, ,     1.3, ,   -16.3, ,     3.1, ,    13.4, ,     1.5, 
1960,   -13.8, ,   -10.6, ,   -10.1, ,     4.6, ,     7.4, ,    12.0, ,    16.2, ,    13.7, ,     9.8, ,     4.1, ,    -6.6, ,    -7.0, ,     1.6, ,    -9.0, ,      .6, ,    14.0, ,     2.4, 
1961,   -11.6, ,   -10.8, ,    -6.0, ,     1.9, ,     9.5, ,    14.8, ,    15.9, ,    16.0, ,     6.7, ,     2.0, ,    -8.0, ,   -20.1, ,      .9, ,    -9.8, ,     1.8, ,    15.6, ,      .2, 
1962,   -13.7, ,   -15.1, ,    -9.8, ,     4.8, ,     8.0, ,    12.9, ,    15.0, ,    14.3, ,     9.7, ,     4.6, ,    -2.6, ,   -10.4, ,     1.5, ,   -16.3, ,     1.0, ,    14.1, ,     3.9, 
