1183090,GERMANSEN      ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1183090,GERMANSEN      ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.2, ,     -.9, ,    -8.6, ,   -19.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.1, 
1952,   -18.4, ,   -11.2, ,    -4.4, ,     1.3, ,     7.3, ,    10.6, ,    14.4, ,    13.7, ,     9.6, , -9999.9,M,    -5.4, ,   -10.1, , -9999.9,M,   -16.2, ,     1.4, ,    12.9, , -9999.9,M
1953,   -20.3, ,    -6.0, ,    -3.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.7, ,     7.7, ,     3.5, ,    -2.2, ,    -8.3, , -9999.9,M,   -12.1, , -9999.9,M, -9999.9,M,     3.0, 
1954,   -22.8, ,    -7.8, ,    -5.7, ,    -5.5, ,     6.9, ,    10.2, ,    11.8, ,    13.3, ,     8.2, , -9999.9,M,    -1.4, ,    -8.8, , -9999.9,M,   -13.0, ,    -1.4, ,    11.8, , -9999.9,M
1955,   -12.3, ,   -10.0, ,    -9.1, ,     1.7, ,     5.4, ,    11.1, ,    14.3, , -9999.9,M,     7.6, ,      .8, ,   -15.9, ,   -19.5, , -9999.9,M,   -10.4, ,     -.7, , -9999.9,M,    -2.5, 
1956,   -18.6, ,   -15.2, ,    -5.9, ,     1.8, ,     8.2, ,     9.8, ,    13.7, ,    13.3, , -9999.9,M, -9999.9,M,    -5.9, ,   -13.1, , -9999.9,M,   -17.8, ,     1.4, ,    12.3, , -9999.9,M
1957,   -26.7, ,   -14.5, ,    -4.1, ,     2.1, ,     9.3, ,    11.3, ,    11.6, ,    12.3, ,    10.9, ,      .6, ,    -3.7, ,   -11.8, ,     -.2, ,   -18.1, ,     2.4, ,    11.7, ,     2.6, 
1958,    -7.4, ,   -10.5, ,    -4.6, ,     2.9, ,     9.2, ,    15.5, ,    16.3, ,    12.1, ,     7.0, ,     3.3, ,    -8.5, ,   -12.9, ,     1.9, ,    -9.9, ,     2.5, ,    14.6, ,      .6, 
1959,   -19.1, ,   -12.7, , -9999.9,M,     2.3, ,     7.2, ,    10.7, ,    13.9, ,    10.0, , -9999.9,M,     1.2, ,    -9.4, ,    -6.3, , -9999.9,M,   -14.9, , -9999.9,M,    11.5, , -9999.9,M
1960,   -18.6, ,    -7.7, ,    -5.3, ,     3.2, ,     6.6, ,    10.5, ,    14.1, ,    11.9, ,     8.1, , -9999.9,M,    -6.0, ,   -11.5, , -9999.9,M,   -10.9, ,     1.5, ,    12.2, , -9999.9,M
