1192340,DEASE LAKE     ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1192340,DEASE LAKE     ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1944, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.1, ,    -7.0, ,   -10.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1945,   -13.3, ,    -9.9, ,    -3.9, ,    -2.9, ,     7.5, ,     9.5, ,    11.3, ,    12.0, ,     6.6, ,     1.1, ,   -10.9, ,   -18.8, ,    -1.0, ,   -11.3, ,      .2, ,    10.9, ,    -1.1, 
1946, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1947,   -17.7, ,   -15.1, ,    -3.8, ,      .9, ,     7.1, ,    10.9, ,    12.9, ,    10.1, ,     8.7, ,     3.0, ,    -4.4, ,   -10.2, ,      .2, , -9999.9,M,     1.4, ,    11.3, ,     2.4, 
1948,   -10.5, ,   -18.7, ,   -10.1, ,    -4.7, ,     9.4, ,    13.4, ,    13.3, ,    11.5, ,     6.9, ,     2.1, ,    -7.3, ,   -19.7, ,    -1.2, ,   -13.1, ,    -1.8, ,    12.7, ,      .6, 
1949,   -15.3, ,   -20.2, ,    -4.6, ,     2.4, ,     6.1, ,     8.7, ,    11.9, ,    10.8, ,     8.8, ,     1.1, ,    -1.8, ,   -19.1, ,     -.9, ,   -18.4, ,     1.3, ,    10.5, ,     2.7, 
1950,   -28.0, ,   -17.7, ,    -7.1, ,    -1.5, ,     5.5, ,    13.9, ,    12.1, ,    11.1, ,     9.0, ,    -1.3, ,   -16.2, ,   -15.1, ,    -2.9, ,   -21.6, ,    -1.0, ,    12.4, ,    -2.8, 
1951,   -20.8, ,   -15.0, ,   -10.4, ,     1.0, ,     6.8, ,    10.3, ,    15.5, ,    11.9, ,     8.6, ,    -2.4, ,    -9.8, ,   -19.7, ,    -2.0, ,   -17.0, ,     -.9, ,    12.6, ,    -1.2, 
1952,   -23.7, ,   -12.3, ,    -7.2, ,     -.1, ,     6.5, ,    10.0, ,    12.9, ,    11.9, ,     7.7, ,     3.9, ,    -3.1, ,   -13.8, ,     -.6, ,   -18.6, ,     -.3, ,    11.6, ,     2.8, 
1953,   -24.0, ,    -7.4, ,    -7.9, ,      .6, ,     7.6, ,    11.5, ,    12.9, ,    12.3, ,     7.1, ,     3.3, ,    -7.9, ,   -11.3, ,     -.3, ,   -15.1, ,      .1, ,    12.2, ,      .8, 
1954,   -23.1, ,   -12.7, ,    -8.0, ,    -7.0, ,     6.9, ,    10.9, ,    11.6, ,    13.5, ,     8.3, ,     1.4, ,    -3.9, ,   -12.3, ,    -1.2, ,   -15.7, ,    -2.7, ,    12.0, ,     1.9, 
1955,   -12.9, ,   -13.0, ,   -10.4, ,      .1, ,     5.0, ,     9.8, ,    13.1, ,     9.9, ,     6.3, ,      .3, ,   -18.0, ,   -24.1, ,    -2.8, ,   -12.7, ,    -1.8, ,    10.9, ,    -3.8, 
1956,   -21.1, ,   -15.9, ,    -8.3, ,     1.0, ,     6.8, ,     9.1, ,    13.3, ,    12.6, ,     7.0, ,    -1.0, ,    -3.4, ,   -17.3, ,    -1.4, ,   -20.4, ,     -.2, ,    11.7, ,      .9, 
1957,   -21.7, ,   -13.7, ,    -5.9, ,     1.2, ,     8.0, ,    11.7, ,    12.1, ,    13.5, ,    10.3, ,     1.3, ,    -4.1, ,   -15.5, ,     -.2, ,   -17.6, ,     1.1, ,    12.4, ,     2.5, 
1958,   -12.7, ,   -16.7, ,    -7.0, ,     2.3, ,     8.1, ,    14.6, ,    15.2, ,    11.3, ,     6.2, ,     1.8, ,    -6.9, ,   -14.9, ,      .1, ,   -15.0, ,     1.1, ,    13.7, ,      .4, 
1959,   -24.4, ,   -11.7, ,    -4.1, ,      .9, ,     5.6, ,    11.0, ,    11.9, ,     9.5, ,     7.1, ,     -.7, ,    -7.1, ,    -7.9, ,     -.8, ,   -17.0, ,      .8, ,    10.8, ,     -.2, 
1960,   -16.4, ,   -10.2, ,    -8.8, ,     2.4, ,     6.6, ,     9.5, ,    12.0, ,    11.8, ,     7.4, ,     2.3, ,    -8.1, ,    -9.3, ,     -.1, ,   -11.5, ,      .1, ,    11.1, ,      .5, 
1961,   -15.4, ,   -12.6, ,    -5.7, ,     1.6, ,     5.8, ,    10.8, ,    14.0, ,    12.0, ,     6.5, ,     -.2, ,   -11.4, ,   -17.6, ,    -1.0, ,   -12.4, ,      .6, ,    12.3, ,    -1.7, 
1962,   -16.4, ,   -15.9, ,    -9.1, ,      .5, ,     4.8, ,     8.8, ,    13.0, ,    11.5, ,     6.5, ,     2.3, ,    -5.4, ,   -13.0, ,    -1.0, ,   -16.6, ,    -1.3, ,    11.1, ,     1.1, 
1963,   -13.2, ,    -9.8, ,    -8.1, ,     -.5, ,     6.4, ,     8.8, ,    12.2, ,    14.1, ,     9.3, ,     3.0, ,   -12.8, ,   -13.0, ,     -.3, ,   -12.0, ,     -.7, ,    11.7, ,     -.2, 
1964,   -15.8, ,    -4.9, ,   -10.3, ,     -.6, ,     4.8, ,    11.1, ,    11.7, ,    10.7, ,     6.2, ,     2.2, ,    -9.0, ,   -22.0, ,    -1.3, ,   -11.2, ,    -2.0, ,    11.2, ,     -.2, 
1965,   -17.1, ,   -15.6, ,    -7.2, ,     -.3, ,     4.7, ,     8.6, ,    13.8, ,    12.6, ,     7.7, ,     2.3, ,   -11.5, ,   -15.3, ,    -1.4, ,   -18.2, ,     -.9, ,    11.7, ,     -.5, 
1966,   -29.0, ,   -12.5, ,    -6.0, ,     -.2, ,     5.0, ,    10.5, ,    13.6, ,    10.5, ,     6.8, ,     -.6, ,   -13.9, ,   -15.3, ,    -2.6, ,   -18.9, ,     -.4, ,    11.5, ,    -2.6, 
1967,   -19.9, ,   -12.4, ,   -12.4, ,    -1.1, ,     5.7, ,    12.7, ,    11.1, ,    12.0, ,     7.5, ,     1.5, ,    -7.6, ,   -15.4, ,    -1.5, ,   -15.9, ,    -2.6, ,    11.9, ,      .5, 
