1192940,FORT NELSON    ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1192940,FORT NELSON    ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1937, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.7, ,   -15.1, ,   -23.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1938,   -21.5, ,   -20.4, ,    -6.0, , -9999.9,M,    10.1, ,    13.9, ,    17.2, ,    14.3, ,    13.9, ,     3.5, ,   -12.4, ,   -19.2, , -9999.9,M,   -21.7, , -9999.9,M,    15.1, ,     1.7, 
1939,   -21.4, ,   -21.0, ,   -11.3, ,     3.2, ,     9.9, ,    13.4, ,    17.1, ,    15.4, ,     8.1, ,    -2.9, ,   -11.9, ,   -18.1, ,    -1.6, ,   -20.5, ,      .6, ,    15.3, ,    -2.2, 
1940,   -24.4, ,   -16.2, ,    -6.6, ,     4.1, ,     9.5, ,    13.2, ,    16.2, ,    15.0, ,    11.2, ,     1.3, ,   -15.9, , -9999.9,M, -9999.9,M,   -19.6, ,     2.3, ,    14.8, ,    -1.1, 
1941,   -24.8, ,   -15.3, ,    -7.4, ,     4.7, ,     9.1, , -9999.9,M,    18.4, ,    14.7, ,     5.7, ,     1.3, ,   -15.0, ,   -24.0, , -9999.9,M, -9999.9,M,     2.1, , -9999.9,M,    -2.7, 
1942,   -14.7, , -9999.9,M,    -4.9, ,     1.4, ,    11.4, ,    15.8, ,    17.5, ,    15.9, ,     9.5, ,     3.6, ,   -16.3, ,   -25.4, , -9999.9,M, -9999.9,M,     2.6, ,    16.4, ,    -1.1, 
1943,   -24.7, ,   -12.3, ,   -13.4, ,     4.2, ,     8.2, ,    13.2, ,    15.7, ,    14.2, ,    10.4, ,     4.1, ,    -5.6, ,   -12.1, ,      .2, ,   -20.8, ,     -.3, ,    14.4, ,     3.0, 
1944,   -15.2, ,   -14.1, ,    -8.2, ,     4.9, ,    12.0, ,    14.1, ,    16.7, ,    15.0, ,     9.3, ,     2.9, ,   -11.9, ,   -14.4, ,      .9, ,   -13.8, ,     2.9, ,    15.3, ,      .1, 
1945,   -18.5, ,   -13.8, ,    -5.9, ,    -3.3, ,    10.2, ,    14.9, ,    16.4, ,    17.1, ,     8.7, ,     3.4, ,   -17.9, ,   -24.1, ,    -1.1, ,   -15.6, ,      .3, ,    16.1, ,    -1.9, 
1946,   -21.8, ,   -21.2, ,    -6.1, ,     3.5, ,    10.9, ,    15.2, ,    15.8, ,    15.3, ,     9.5, ,     1.5, ,   -12.9, ,   -25.4, ,    -1.3, ,   -22.4, ,     2.8, ,    15.4, ,     -.6, 
1947,   -24.1, ,   -20.9, ,    -6.0, ,     -.2, ,     9.9, ,    13.9, ,    17.0, ,    11.7, ,     8.9, ,     2.8, ,    -9.5, ,   -15.7, ,    -1.0, ,   -23.5, ,     1.2, ,    14.2, ,      .7, 
