1200560,ATLIN          ,BC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1200560,ATLIN          ,BC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1905, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.4, ,     5.9, ,     1.5, ,     -.7, ,    -6.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.2, 
1906,   -16.6, ,   -17.4, ,    -5.9, ,     2.1, ,     7.3, ,     9.6, ,    12.0, ,    10.8, ,     6.1, ,     3.3, ,    -4.8, ,   -17.8, ,     -.9, ,   -13.5, ,     1.2, ,    10.8, ,     1.5, 
1907,   -23.0, ,   -18.5, ,   -12.1, ,     -.3, ,     8.0, ,    10.2, ,    12.8, ,    11.1, ,     7.4, ,     3.7, , -9999.9,M, -9999.9,M, -9999.9,M,   -19.8, ,    -1.5, ,    11.4, , -9999.9,M
1908,    -8.7, ,   -11.8, ,    -9.9, ,      .0, ,     5.9, ,    10.6, ,    11.8, ,    11.3, ,     5.2, ,    -1.5, ,    -3.7, ,    -7.5, ,      .1, , -9999.9,M,    -1.3, ,    11.2, ,      .0, 
1909,   -28.1, ,   -19.3, ,    -4.6, , -9999.9,M,     6.1, ,    10.1, ,    11.5, ,     9.9, ,     6.6, ,      .4, ,   -14.7, ,   -13.1, , -9999.9,M,   -18.3, , -9999.9,M,    10.5, ,    -2.6, 
1910,   -11.5, ,   -19.6, ,    -6.1, ,    -1.6, ,     5.8, ,     8.6, ,    11.4, ,     9.8, ,     8.0, ,     2.5, ,    -7.8, ,   -13.5, ,    -1.2, ,   -14.7, ,     -.6, ,     9.9, ,      .9, 
1911,   -22.6, ,   -12.1, ,    -9.7, ,    -3.2, ,     5.1, ,     9.3, ,    11.7, ,    12.2, ,     7.9, ,     2.8, ,    -7.6, ,    -7.0, ,    -1.1, ,   -16.1, ,    -2.6, ,    11.1, ,     1.0, 
1912,   -18.1, ,    -7.6, ,    -6.4, ,     1.1, ,     7.8, ,     8.8, ,    12.0, ,     9.7, ,     8.1, ,     3.2, ,    -4.0, ,    -5.6, ,      .8, ,   -10.9, ,      .8, ,    10.2, ,     2.4, 
1913,   -18.4, ,    -9.3, ,    -7.0, ,     -.2, ,     5.2, ,    11.2, ,    11.3, ,     9.8, ,     6.7, ,      .3, ,    -4.6, ,    -6.4, ,     -.1, ,   -11.1, ,     -.7, ,    10.8, ,      .8, 
1914,   -20.9, ,   -10.9, ,    -5.9, ,     -.1, ,     5.9, ,    10.1, ,    10.1, ,    10.7, ,     5.6, ,     3.9, ,    -4.6, ,   -12.1, ,     -.7, ,   -12.7, ,      .0, ,    10.3, ,     1.6, 
1915,    -9.4, ,   -13.8, ,     -.6, ,     3.3, ,     8.4, ,    11.9, ,    15.6, ,    12.4, ,     8.8, ,      .0, ,    -3.8, ,    -6.9, ,     2.2, ,   -11.8, ,     3.7, ,    13.3, ,     1.7, 
1916,   -22.1, ,   -11.0, ,   -11.6, ,     1.7, ,     5.7, ,    10.6, ,    12.0, ,    11.8, ,     8.1, ,     3.7, ,    -4.2, ,   -13.8, ,     -.8, ,   -13.3, ,    -1.4, ,    11.5, ,     2.5, 
1917,   -16.7, ,   -13.3, ,    -6.8, ,      .0, ,     6.1, ,     9.8, ,    10.5, ,    11.5, ,     8.3, ,     1.7, ,    -4.0, ,   -29.0, ,    -1.8, ,   -14.6, ,     -.2, ,    10.6, ,     2.0, 
1918,   -16.5, ,   -16.8, ,   -14.1, ,    -1.4, ,     5.1, ,    10.3, ,    14.4, ,    11.6, ,     9.2, ,     1.0, ,    -2.9, ,    -8.6, ,     -.7, ,   -20.8, ,    -3.5, ,    12.1, ,     2.4, 
1919,   -10.6, ,   -16.1, ,   -13.5, ,     2.0, ,     4.9, ,     9.0, ,    11.5, ,    12.4, ,     8.9, ,    -1.0, ,    -9.5, ,   -11.8, ,    -1.2, ,   -11.8, ,    -2.2, ,    11.0, ,     -.5, 
1920,   -22.0, ,    -5.7, ,    -9.1, ,    -3.7, ,     4.3, ,     9.7, ,    13.9, ,    10.5, ,     6.3, ,      .1, ,    -4.0, ,   -11.8, ,    -1.0, ,   -13.2, ,    -2.8, ,    11.4, ,      .8, 
1921,   -18.4, ,   -13.6, ,    -9.5, ,     1.1, ,     5.5, ,    10.9, ,    11.1, ,    10.8, ,     7.2, ,     3.4, ,    -9.4, ,    -5.8, ,     -.6, ,   -14.6, ,    -1.0, ,    10.9, ,      .4, 
1922,    -9.8, ,   -18.4, ,    -9.3, ,      .9, ,     5.8, ,    10.5, ,    12.0, ,    11.4, ,     6.5, ,     3.4, ,    -2.5, ,   -16.1, ,     -.5, ,   -11.3, ,     -.9, ,    11.3, ,     2.5, 
1923,   -19.3, ,    -7.8, ,    -7.4, ,     1.0, ,     6.4, ,    12.3, ,    15.0, ,    14.2, ,     7.9, ,     3.9, ,    -1.1, ,    -8.1, ,     1.4, ,   -14.4, ,      .0, ,    13.8, ,     3.6, 
1924,   -13.1, ,   -12.7, ,    -3.4, ,    -1.1, ,     6.5, ,    11.2, ,    11.6, ,    11.5, ,     6.3, ,     2.3, ,    -3.4, ,   -17.1, ,     -.1, ,   -11.3, ,      .7, ,    11.4, ,     1.7, 
1925,   -23.4, ,   -18.4, ,    -7.6, ,     -.8, ,     6.9, ,    10.2, ,    12.2, ,    11.4, ,     8.2, ,     4.2, ,     -.9, ,    -4.2, ,     -.2, ,   -19.6, ,     -.5, ,    11.3, ,     3.8, 
1926,    -2.8, ,    -7.4, ,      .0, ,     2.7, ,     6.6, ,    12.0, ,    12.5, ,    12.9, ,     7.4, ,     3.6, ,    -5.7, ,    -8.5, ,     2.8, ,    -4.8, ,     3.1, ,    12.5, ,     1.8, 
1927,   -15.8, ,   -11.0, ,    -4.6, ,    -4.3, ,     5.7, ,    11.6, ,    14.8, ,    13.9, ,     8.1, ,     1.6, ,   -13.3, ,   -17.1, ,     -.9, ,   -11.8, ,    -1.1, ,    13.4, ,    -1.2, 
1928,   -15.5, ,    -8.9, ,    -7.5, ,    -2.3, ,     4.9, ,    11.1, ,    12.4, ,    10.3, ,     7.6, ,     1.6, ,    -1.2, ,    -5.0, ,      .6, ,   -13.8, ,    -1.6, ,    11.3, ,     2.7, 
1929,   -10.3, ,    -8.6, ,    -4.2, ,    -1.4, ,     5.5, ,    11.0, ,    11.9, ,    12.2, ,    10.2, ,     4.9, ,     -.4, ,   -11.6, ,     1.6, ,    -8.0, ,      .0, ,    11.7, ,     4.9, 
1930,   -22.3, ,   -15.0, ,    -6.8, ,      .7, ,     5.8, ,    10.1, ,    12.5, ,    12.5, ,     8.9, ,     -.3, ,    -3.2, ,    -1.3, ,      .1, ,   -16.3, ,     -.1, ,    11.7, ,     1.8, 
1931,    -4.9, ,    -4.5, ,    -8.3, ,     2.0, ,     5.3, ,    11.1, ,    12.4, ,    11.7, ,     7.7, ,     2.3, ,    -5.3, ,   -10.4, ,     1.6, ,    -3.6, ,     -.3, ,    11.7, ,     1.6, 
1932,   -17.0, ,   -16.9, ,    -9.6, ,     1.4, ,     5.5, ,     8.3, ,    11.3, ,    13.2, ,     7.5, ,     3.0, ,    -9.4, ,   -18.2, ,    -1.7, ,   -14.8, ,     -.9, ,    10.9, ,      .4, 
1933,   -20.8, ,   -15.6, ,    -8.8, ,     -.3, ,     6.7, ,     9.7, ,    11.1, ,    12.2, ,     6.9, , -9999.9,M,    -1.7, ,   -26.9, , -9999.9,M,   -18.2, ,     -.8, ,    11.0, , -9999.9,M
1934,   -18.3, ,    -4.6, ,    -5.1, ,     3.0, ,     6.8, ,    10.5, ,    13.3, ,    12.4, ,     7.6, ,     3.1, ,    -4.9, ,   -12.3, ,     1.0, ,   -16.6, ,     1.6, ,    12.1, ,     1.9, 
1935,   -20.3, ,    -4.7, ,   -11.2, ,      .5, ,     4.9, ,     9.6, ,    12.0, ,    10.3, ,     8.0, ,     -.4, ,    -6.6, ,    -9.6, ,     -.6, ,   -12.4, ,    -1.9, ,    10.6, ,      .3, 
1936,   -19.9, ,   -28.9, ,    -5.6, ,     1.7, ,     7.0, ,    14.2, ,    12.8, ,    13.2, ,     6.8, ,     6.4, ,     1.9, ,   -12.0, ,     -.2, ,   -19.5, ,     1.0, ,    13.4, ,     5.0, 
1937,   -11.0, ,   -12.6, ,    -4.7, ,      .3, ,     5.5, ,     9.8, ,     8.5, ,     9.1, ,     9.0, ,     4.2, ,    -6.1, ,   -14.2, ,     -.2, ,   -11.9, ,      .4, ,     9.1, ,     2.4, 
1938,   -14.4, ,   -17.1, ,    -5.8, ,     1.4, ,     5.8, ,     8.8, ,    10.6, ,    11.9, ,    10.8, ,     5.0, ,    -2.0, ,    -8.4, ,      .6, ,   -15.2, ,      .5, ,    10.4, ,     4.6, 
1939,    -9.5, ,   -13.8, ,    -9.0, ,     -.6, ,     5.9, ,    10.5, ,    12.7, ,    11.2, ,     7.6, , -9999.9,M,    -3.2, ,    -2.9, , -9999.9,M,   -10.6, ,    -1.2, ,    11.5, , -9999.9,M
1940,   -11.8, ,   -13.8, ,    -6.3, ,     1.8, ,     6.1, ,     9.8, ,    14.0, ,    11.7, ,     9.4, ,     3.6, ,    -7.4, ,    -6.6, ,      .9, ,    -9.5, ,      .5, ,    11.8, ,     1.9, 
1941,   -16.7, ,   -11.8, ,    -1.7, ,     4.0, ,     7.1, ,    12.0, ,    13.1, ,    14.2, ,     7.7, ,     2.2, ,    -5.1, ,   -12.6, ,     1.0, ,   -11.7, ,     3.1, ,    13.1, ,     1.6, 
1942,    -4.9, ,    -8.0, ,    -5.6, ,     1.8, ,     8.8, ,    11.3, ,    12.8, ,    12.5, ,     9.6, ,     3.9, ,    -9.8, ,   -17.8, ,     1.2, ,    -8.5, ,     1.7, ,    12.2, ,     1.2, 
1943,   -18.6, ,   -10.9, ,    -9.1, ,     2.0, ,     5.2, ,    10.8, ,    10.9, ,    11.6, ,     7.8, ,     3.0, ,     -.1, ,     -.9, ,     1.0, ,   -15.8, ,     -.6, ,    11.1, ,     3.6, 
1944,    -4.4, ,    -7.9, ,    -5.0, ,      .8, ,     7.0, ,    11.9, ,    12.9, ,    11.3, ,     8.3, ,     4.0, ,    -5.6, ,    -6.4, ,     2.2, ,    -4.4, ,      .9, ,    12.0, ,     2.2, 
1945,    -7.9, ,    -9.5, ,    -3.5, ,    -1.9, ,     7.5, ,     9.6, ,    11.0, ,    12.0, ,     7.1, ,     2.4, ,   -10.8, ,   -10.3, ,      .5, ,    -7.9, ,      .7, ,    10.9, ,     -.4, 
1946,   -10.9, ,    -9.0, ,    -3.3, ,     1.6, , -9999.9,M,    13.2, ,    12.0, ,    10.6, ,     8.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.1, , -9999.9,M,    11.9, , -9999.9,M
1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1949, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
