2100182,BURWASH        ,YT, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2100182,BURWASH        ,YT, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1966, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.1, ,   -17.4, ,   -23.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1967,   -25.1, ,   -20.1, ,   -15.4, ,    -5.2, ,     4.5, ,    11.8, ,    10.9, ,    10.9, ,     6.4, ,    -3.5, ,   -10.0, ,   -19.2, ,    -4.5, ,   -22.7, ,    -5.4, ,    11.2, ,    -2.4, 
1968,   -22.5, ,   -14.6, ,    -6.9, ,    -2.4, ,     5.9, ,    10.8, ,    12.4, ,    10.8, ,     4.4, ,    -5.3, ,   -13.1, ,   -25.9, ,    -3.9, ,   -18.8, ,    -1.1, ,    11.3, ,    -4.7, 
1969,   -33.2, ,   -20.9, ,   -10.0, ,      .2, ,     5.5, ,    12.6, ,    11.1, ,     6.6, ,     5.8, ,      .6, ,   -13.7, ,   -12.1, ,    -4.0, ,   -26.7, ,    -1.4, ,    10.1, ,    -2.4, 
1970,   -24.3, ,   -10.1, ,    -5.5, ,    -1.6, ,     4.7, ,     8.9, ,    11.2, ,     9.6, ,     3.0, ,    -6.3, ,   -12.3, ,   -24.8, ,    -4.0, ,   -15.5, ,     -.8, ,     9.9, ,    -5.2, 
1971,   -31.7, ,   -13.9, ,   -16.6, ,    -2.9, ,     3.8, ,    10.5, ,    13.1, ,    10.9, ,     4.8, ,    -3.9, ,   -16.4, ,   -23.4, ,    -5.5, ,   -23.5, ,    -5.2, ,    11.5, ,    -5.2, 
1972,   -30.1, ,   -26.5, ,   -18.3, ,    -8.1, ,     4.4, ,     9.4, ,    12.5, ,    11.1, ,     2.3, ,    -3.6, ,   -14.0, ,   -22.2, ,    -6.9, ,   -26.7, ,    -7.3, ,    11.0, ,    -5.1, 
1973,   -29.9, ,   -21.2, ,   -11.3, ,     -.5, ,     4.1, ,     9.2, ,    11.9, ,     8.7, ,     4.5, ,    -3.3, ,   -20.9, ,   -22.1, ,    -5.9, ,   -24.4, ,    -2.6, ,     9.9, ,    -6.6, 
1974,   -28.7, ,   -21.5, ,   -15.8, ,    -1.8, ,     4.8, ,     9.3, ,    12.0, ,    10.4, ,     5.6, ,    -2.2, ,    -9.7, ,   -17.8, ,    -4.6, ,   -24.1, ,    -4.3, ,    10.6, ,    -2.1, 
1975,   -24.6, ,   -19.6, ,   -13.3, ,    -2.6, ,     5.3, ,     9.7, ,    12.7, ,    10.1, ,     6.2, ,    -4.2, ,   -19.8, ,   -25.2, ,    -5.4, ,   -20.7, ,    -3.5, ,    10.8, ,    -5.9, 
1976,   -20.0, ,   -22.3, ,   -11.9, ,     -.8, ,     4.2, ,    10.3, ,    12.4, ,    11.1, ,     6.1, ,    -2.1, ,    -2.8, ,   -15.7, ,    -2.6, ,   -22.5, ,    -2.8, ,    11.3, ,      .4, 
1977,   -12.5, ,    -6.7, ,   -10.6, ,     -.6, ,     5.3, ,    10.1, ,    11.1, ,    13.2, ,     5.1, ,    -1.6, ,   -19.5, ,   -29.6, ,    -3.0, ,   -11.6, ,    -2.0, ,    11.5, ,    -5.3, 
1978,   -22.0, ,   -12.9, ,    -9.8, ,    -1.6, ,     5.4, ,    10.0, ,    13.0, ,    11.5, ,     6.0, ,     -.1, ,   -13.3, ,   -18.5, ,    -2.7, ,   -21.5, ,    -2.0, ,    11.5, ,    -2.5, 
1979,   -22.6, ,   -31.4, ,    -8.4, ,    -1.1, ,     5.6, ,    10.2, ,    12.9, ,    12.8, ,     6.3, ,      .9,E,    -6.2, ,   -25.2, ,    -3.9,E,   -24.2, ,    -1.3, ,    12.0, ,      .3,E
1980,   -21.5, ,   -10.7, ,   -10.4, ,     1.6, ,     6.5, ,    11.5, ,    13.5, ,     9.7, ,     4.1, ,      .9, ,    -8.6, ,   -33.6, ,    -3.1, ,   -19.1, ,     -.8, ,    11.6, ,    -1.2, 
1981,    -5.5, ,   -13.7, ,    -4.7, ,    -4.1, ,     7.1, ,     8.9, ,    12.6, ,    11.5, ,     4.6, ,    -2.5, ,   -10.5, ,   -20.5, ,    -1.4, ,   -17.6, ,     -.6, ,    11.0, ,    -2.8, 
1982,   -32.1, ,   -23.7, ,   -14.5, ,    -5.4, ,     3.5, ,    10.5, ,    13.3, ,    10.0, ,     6.1, ,    -6.2, ,   -14.9, ,   -18.0, ,    -6.0, ,   -25.4, ,    -5.5, ,    11.3, ,    -5.0, 
1983,   -25.0, ,   -16.8, ,   -12.7, ,      .2, ,     6.1, ,    11.6, ,    12.4, ,    10.0, ,     1.7, ,    -2.6, ,   -12.4, ,   -25.5, ,    -4.4, ,   -19.9, ,    -2.1, ,    11.3, ,    -4.4, 
1984,   -18.5, ,   -15.8, ,    -4.2, ,      .0, ,     4.6, ,     9.6, ,    11.1, ,     9.9, ,     4.7, ,    -4.1, ,   -17.7, ,   -19.7, ,    -3.3, ,   -19.9, ,      .1, ,    10.2, ,    -5.7, 
1985,    -8.5, ,   -22.8, ,   -10.8, ,    -4.4, ,     4.4, ,     9.0, ,    13.0, ,     9.6, ,     4.4, ,    -7.3, ,   -20.1, ,   -11.4, ,    -3.7, ,   -17.0, ,    -3.6, ,    10.5, ,    -7.7, 
1986,   -15.7, ,   -15.0, ,   -15.0, ,    -8.5, ,     3.8, ,     9.8, ,    13.0, ,     9.5, ,     4.4, ,     -.9, ,   -14.5, ,    -9.6, ,    -3.2, ,   -14.0, ,    -6.6, ,    10.8, ,    -3.7, 
1987,   -12.7, ,   -11.7, ,   -14.2, ,    -1.0, ,     5.1, ,    10.3, ,    14.0, , -9999.9,M, -9999.9,M, -9999.9,M,    -9.9, ,   -16.5, , -9999.9,M,   -11.3, ,    -3.4, , -9999.9,M, -9999.9,M
1988,   -21.0, ,   -15.1, ,    -6.8, ,      .1, ,     5.5, ,    10.9, ,    12.0, ,    11.1, ,     4.5, ,    -2.7, ,   -14.6, ,   -14.9, ,    -2.6, ,   -17.5, ,     -.4, ,    11.3, ,    -4.3, 
1989,   -27.8, ,   -19.2, ,   -16.7, ,     -.2, ,     6.5, ,    11.4, ,    14.9, ,    12.4, ,     6.8, ,    -3.8, ,   -19.9, ,   -11.6, ,    -3.9, ,   -20.6, ,    -3.5, ,    12.9, ,    -5.6, 
1990,   -22.7, ,   -26.1, ,    -8.1, ,     1.1, ,     7.3, ,    11.5, ,    13.5,E,    12.3, ,     6.4, ,    -5.5,E,   -24.0, ,   -20.7, ,    -4.6,E,   -20.1, ,      .1, ,    12.4,E,    -7.7,E
1991,   -23.5, ,   -16.3, ,   -10.5,E,     -.4, ,     7.3,E,    11.2, ,    11.8,E,     9.3, ,     7.4, ,    -5.1, ,   -15.6, ,   -17.7, ,    -3.5,E,   -20.2, ,    -1.2,E,    10.8,E,    -4.4, 
1992,   -16.4, ,   -17.9, ,    -7.6, ,    -2.2, ,     3.9,E,    10.9, ,    13.1, ,    10.7, ,     -.6, ,    -5.9, ,    -9.8, ,   -22.6,E,    -3.7,E,   -17.3, ,    -2.0,E,    11.6, ,    -5.4, 
1993,   -21.0,E,   -15.1, ,   -10.4, ,      .9, ,     7.2, ,    11.0, ,    13.7, ,    11.1, ,     5.9, ,     -.4, ,   -12.3, ,   -16.4, ,    -2.2,E,   -19.6,E,     -.8, ,    11.9, ,    -2.3, 
1994,   -20.9, ,   -23.9, ,    -8.3, ,     2.1, ,     5.9, ,    11.5, ,    13.1, ,    13.4, ,     5.2, ,    -3.4, ,   -16.9, ,   -19.7, ,    -3.5, ,   -20.4, ,     -.1, ,    12.7, ,    -5.0, 
1995,   -20.1, ,   -15.6, ,   -14.4, ,      .9, ,     7.7, ,    12.6, ,    13.0, ,    10.3, ,     9.4, ,    -1.7, ,   -17.7, ,   -21.2, ,    -3.1, ,   -18.5, ,    -1.9, ,    12.0, ,    -3.3, 
1996,   -31.9, ,   -13.9, ,   -11.7,E,    -2.2, ,     5.0, ,    10.1, ,    11.9, ,     9.5, ,     3.7, ,    -8.3, ,   -17.4, ,   -24.8, ,    -5.8,E,   -22.3, ,    -3.0,E,    10.5, ,    -7.3, 
1997,   -24.2, ,    -9.4, ,   -14.6, ,     -.6, ,     5.9, ,    11.9, ,    13.6, ,    11.9, ,     6.9, ,    -7.2, ,    -8.2, ,   -14.3, ,    -2.4, ,   -19.5, ,    -3.1, ,    12.5, ,    -2.8, 
1998,   -24.1, ,   -12.3, ,   -11.0, ,      .7, ,     6.9, ,    12.2, ,    13.8, ,     9.8, ,     4.8, ,    -3.4, ,   -13.7, ,   -21.6, ,    -3.2, ,   -16.9, ,    -1.1, ,    11.9, ,    -4.1, 
1999,   -25.9, ,   -24.7, ,   -11.3, ,    -2.0, ,     3.9, ,    11.3, ,    13.3, ,    11.9, ,     5.4, ,    -2.9, ,   -15.7,E,   -16.4, ,    -4.4,E,   -24.1, ,    -3.1, ,    12.2, ,    -4.4,E
2000,   -19.5, ,   -10.5, ,    -6.1, ,    -1.3, ,     3.7, ,    11.5, ,    12.5, ,     9.2, ,     4.0, ,    -2.3, ,    -9.5, ,   -18.3, ,    -2.2, ,   -15.5, ,    -1.2, ,    11.1, ,    -2.6, 
2001,    -9.1, ,   -13.9, ,   -10.0, ,     -.6, ,     4.3, ,    11.6, ,    13.2, ,    12.3, , -9999.9,M,    -3.8, ,   -14.3, ,   -22.0, , -9999.9,M,   -13.8, ,    -2.1, ,    12.4, , -9999.9,M
2002, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.3, , -9999.9,M,    12.9, ,    10.5, , -9999.9,M,     2.3, ,    -3.8, ,   -17.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
2003,   -18.1, ,   -11.6, ,   -14.2, ,    -3.1, ,     4.4, ,    10.5, ,    13.5, ,    10.9, ,     3.5, ,      .0, ,   -14.4, ,   -18.1, ,    -3.1, ,   -15.6, ,    -4.3, ,    11.6, ,    -3.6, 
