2100682,KOMAKUK BEACH  ,YT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2100682,KOMAKUK BEACH  ,YT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.1, ,     8.5, ,     2.4, ,    -8.7, ,   -18.6, ,   -22.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.3, 
1959,   -27.3, ,   -20.3, ,   -30.3, ,   -18.6, ,    -7.5, ,     1.7, ,     6.2, ,     4.5, ,      .0, ,   -10.4, ,   -23.5, , -9999.9,M, -9999.9,M,   -23.5, ,   -18.8, ,     4.1, ,   -11.3, 
1960, -9999.9,M,   -24.0, ,   -25.1, ,   -19.5, ,    -4.2, ,     2.5, ,     5.4, ,     4.2, ,     -.3, ,    -8.8, ,   -22.3, ,   -17.6, , -9999.9,M, -9999.9,M,   -16.3, ,     4.0, ,   -10.5, 
1961, -9999.9,M, -9999.9,M, -9999.9,M,   -22.3, ,    -3.8, ,     3.8, ,     6.8, ,     5.9, ,     1.6, ,   -10.6, ,   -19.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.5, ,    -9.3, 
1962,   -17.0, ,   -22.0, ,   -26.8, ,   -17.5, ,    -7.9, , -9999.9,M,     7.4, ,     8.2, ,      .5, ,    -6.9, ,   -17.1, ,   -20.3, , -9999.9,M, -9999.9,M,   -17.4, , -9999.9,M,    -7.8, 
1963, -9999.9,M,   -24.4, ,   -25.5, ,   -13.4, ,    -2.2, ,     3.0, ,     7.5, , -9999.9,M,      .3, ,    -9.2, ,   -19.7, ,   -18.5, , -9999.9,M, -9999.9,M,   -13.7, , -9999.9,M,    -9.5, 
1964, -9999.9,M, -9999.9,M, -9999.9,M,   -22.6, ,    -5.9, ,     1.8, ,     5.4, ,     5.1, ,     -.1, ,    -8.8, ,   -16.7, ,   -28.3, , -9999.9,M, -9999.9,M, -9999.9,M,     4.1, ,    -8.5, 
1965, -9999.9,M, -9999.9,M,   -20.0, ,   -13.8, ,    -6.2, ,     1.9, ,     5.4, ,     5.6, ,     1.8, ,   -11.0, ,   -13.4, ,   -24.0, , -9999.9,M, -9999.9,M,   -13.3, ,     4.3, ,    -7.5, 
1966, -9999.9,M,   -29.8, ,   -28.0, ,   -21.4, ,    -6.6, ,     3.3, , -9999.9,M,     5.3, ,     2.6, ,    -7.5, ,   -15.5, ,   -22.8, , -9999.9,M, -9999.9,M,   -18.7, , -9999.9,M,    -6.8, 
1967,   -22.3, , -9999.9,M,   -22.5, ,   -14.5, ,    -3.6, ,     3.9, ,     6.1, ,     4.1, ,     -.8, ,   -10.4, ,   -18.5, ,   -21.8, , -9999.9,M, -9999.9,M,   -13.5, ,     4.7, ,    -9.9, 
1968,   -22.2,E,   -31.6,E,   -22.1, ,   -19.1, ,    -3.8, ,     3.5, ,    10.1, ,     6.5, ,      .5, ,    -8.0, ,   -19.9, ,   -23.7,E,   -10.8,E,   -25.2,E,   -15.0, ,     6.7, ,    -9.1, 
1969,   -25.1, ,   -30.3,E,   -24.0,E,   -13.7, ,    -4.6, ,     3.0, ,     6.3, ,     2.0, ,      .8, ,    -4.5, ,   -23.5, ,   -21.0, ,   -11.2,E,   -26.4,E,   -14.1,E,     3.8, ,    -9.1, 
1970,   -27.7, ,   -28.7,E,   -26.9,E,   -17.2, ,    -6.5, ,     2.9, ,     7.2, ,     7.8, ,    -2.9, ,   -15.1, ,   -16.5, ,   -25.1, ,   -12.4,E,   -25.8,E,   -16.9,E,     6.0, ,   -11.5, 
1971,   -31.3,E,   -32.8,E,   -27.3,E,   -20.7, ,    -5.7, ,     6.9, ,     9.0, ,     3.5, ,      .3, ,   -10.7, ,   -19.4, ,   -24.4, ,   -12.7,E,   -29.7,E,   -17.9,E,     6.5, ,    -9.9, 
1972,   -25.5, ,   -27.7,E,   -27.3, ,   -19.9, ,    -7.2, ,     3.4, ,     8.1, ,     7.9, ,     -.6, ,    -5.8, ,   -17.6, ,   -19.9, ,   -11.0,E,   -25.9,E,   -18.1, ,     6.5, ,    -8.0, 
1973,   -23.4,E,   -25.7, ,   -30.6,E,   -17.3, ,    -4.5, ,     3.1, ,     7.6, ,     6.1, ,     2.7, ,    -9.4, ,   -17.6, ,   -22.0, ,   -10.9,E,   -23.0,E,   -17.5,E,     5.6, ,    -8.1, 
1974,   -22.9, ,   -33.1, ,   -29.4, ,   -22.4, ,    -7.8, ,      .8, ,     5.9, ,     4.9, ,      .4, ,   -14.2, ,   -23.5, ,   -32.8, ,   -14.5, ,   -26.0, ,   -19.9, ,     3.9, ,   -12.4, 
1975,   -32.6, ,   -27.9, ,   -22.7, ,   -18.6, ,    -5.6, ,     3.5, ,     7.9, ,     4.8, ,    -2.6, ,   -11.3, ,   -24.0, ,   -28.5, ,   -13.1, ,   -31.1, ,   -15.6, ,     5.4, ,   -12.6, 
1976,   -27.7, ,   -30.0, ,   -27.0, ,   -15.0, ,    -5.3, ,     3.0, ,     7.0, ,     7.3, ,     2.6, ,   -10.1, ,   -13.8, ,   -29.3, ,   -11.5, ,   -28.7, ,   -15.8, ,     5.8, ,    -7.1, 
1977,   -23.6, ,   -25.7, ,   -30.8, ,   -18.3, ,    -4.9, ,     3.4, ,     6.6, ,     9.0, ,     3.2, ,    -5.4, ,   -20.0, ,   -21.3, ,   -10.7, ,   -26.2, ,   -18.0, ,     6.3, ,    -7.4, 
1978,   -19.3, ,   -24.4, ,   -22.3, ,   -17.1, ,    -8.6, ,     1.9, ,     8.8, ,     5.8, ,     3.6, ,   -13.7, ,   -13.5, ,   -21.8, ,   -10.1, ,   -21.7, ,   -16.0, ,     5.5, ,    -7.9, 
1979,   -16.8, ,   -27.7, ,   -28.9, ,   -17.0, ,    -2.8, ,     4.0, ,     9.9, ,     9.1, ,     2.7, ,    -6.1, ,   -11.2, ,   -24.9, ,    -9.1, ,   -22.1, ,   -16.2, ,     7.7, ,    -4.9, 
1980,   -26.3, ,   -21.5, ,   -24.2, ,   -19.6, ,    -6.9, ,     5.7, ,     5.8, ,     5.8, ,    -2.9, ,    -6.8, ,   -18.6, ,   -25.5, ,   -11.3, ,   -24.2, ,   -16.9, ,     5.8, ,    -9.4, 
1981,   -14.3, ,   -24.7, ,   -23.2, ,   -16.5, ,    -2.1, ,     4.0, ,     7.5, ,     3.7, ,    -1.2, ,    -7.9, ,   -18.8, ,   -21.1, ,    -9.6, ,   -21.5, ,   -13.9, ,     5.1, ,    -9.3, 
1982,   -27.6, ,   -22.0, ,   -26.3, ,   -17.2, ,    -7.2, ,     4.4, ,     9.4, ,     5.0, ,     1.5, ,   -13.8, ,   -25.4, ,   -24.5, ,   -12.0, ,   -23.6, ,   -16.9, ,     6.3, ,   -12.6, 
1983,   -28.0, ,   -28.2, ,   -27.2, ,   -18.7, ,    -9.9, ,     5.0, ,     6.6, ,     7.0, ,    -2.0, ,   -14.2, ,   -16.2, ,   -18.2, ,   -12.0, ,   -26.9, ,   -18.6, ,     6.2, ,   -10.8, 
1984,   -22.8, , -9999.9,M,   -26.9, ,   -19.8, ,    -5.0, ,     4.5, ,     6.7, ,     4.9, ,     1.5, ,    -9.0, ,   -24.9, ,   -25.5, , -9999.9,M, -9999.9,M,   -17.2, ,     5.4, ,   -10.8, 
1985,   -21.6, , -9999.9,M,   -22.8, ,   -23.3, ,    -4.1, ,     4.1, ,     4.7, ,     6.1, ,      .4, ,   -11.5, ,   -16.9, ,   -19.7, , -9999.9,M, -9999.9,M,   -16.7, ,     5.0, ,    -9.3, 
1986, -9999.9,M,   -21.9, ,   -26.6, ,   -20.9, ,    -7.2, ,     3.1, ,     7.3, ,     5.2, ,     3.7, ,    -9.2, ,   -20.8, ,   -20.3, , -9999.9,M, -9999.9,M,   -18.2, ,     5.2, ,    -8.8, 
1987,   -21.4, , -9999.9,M,   -23.5, ,   -21.2, ,    -6.8, ,     4.4, ,     9.6, ,     8.1, ,      .9, ,    -5.4, ,   -20.2, ,   -22.6, , -9999.9,M, -9999.9,M,   -17.2, ,     7.4, ,    -8.2, 
1988,   -22.8, ,   -23.4, ,   -21.1, ,   -14.7, ,    -5.6, ,     4.1, ,     9.3, ,     5.7, ,      .4, ,   -12.6, ,   -27.8, ,   -21.0, ,   -10.8, ,   -22.9, ,   -13.8, ,     6.4, ,   -13.3, 
1989, -9999.9,M,   -11.1, ,   -22.2, ,   -12.4, ,    -6.3, ,     4.5, ,    10.6, ,    10.0, ,     2.1, ,    -8.5, ,   -26.4, ,   -23.8, , -9999.9,M, -9999.9,M,   -13.6, ,     8.4, ,   -10.9, 
1990,   -30.9, , -9999.9,M,   -20.4, ,   -10.2, ,    -3.4, ,     5.8, ,    10.7, ,     6.4, ,      .8, ,    -8.5, ,   -23.1, ,   -25.4, , -9999.9,M, -9999.9,M,   -11.3, ,     7.6, ,   -10.3, 
1991,   -22.0, ,   -26.7, ,   -25.7, ,   -16.3, ,    -1.2, ,     4.7, ,     4.7, ,     3.4, ,     1.5, ,    -8.2, ,   -22.4, ,   -27.2, ,   -11.3, ,   -24.7, ,   -14.4, ,     4.3, ,    -9.7, 
1992,   -25.5, ,   -27.9, ,   -20.2, ,   -17.1, ,    -5.8, ,     4.7, ,     8.2, ,     8.5, ,    -3.1, ,   -11.4, ,   -16.6, ,   -23.6, ,   -10.8, ,   -26.9, ,   -14.4, ,     7.1, ,   -10.4, 
1993,   -18.9,E,   -20.5,E,   -21.4, ,   -14.8, ,    -4.2, ,     4.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -21.0,E,   -13.5, , -9999.9,M, -9999.9,M
1994, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1995,   -25.7,E,   -25.8, ,   -26.2, ,   -13.1,E,     -.9,E,     4.2, ,     9.9,E,     5.6, ,     4.3,E,    -7.8, ,   -18.5, ,   -24.9, ,    -9.9,E, -9999.9,M,   -13.4,E,     6.6,E,    -7.3,E
1996,   -22.1, ,   -24.4, ,   -20.5,E,   -19.0,E,    -4.5,E,     5.2, ,     8.7, ,     2.9,E,    -3.3,E,   -15.7, ,   -17.3,E,   -21.2, ,   -10.9,E,   -23.8, ,   -14.7,E,     5.6,E,   -12.1,E
1997,   -24.6,E,   -26.6, ,   -25.5,E,   -15.4, ,    -4.4,E,     3.4, ,     7.9, ,     8.5, ,     2.7,E,   -10.7,E,   -10.1,E, -9999.9,M, -9999.9,M,   -24.1,E,   -15.1,E,     6.6, ,    -6.0,E
1998, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.1, ,    10.9, ,     9.9, ,     3.7,E,    -6.1, ,   -14.8, ,   -17.0, , -9999.9,M, -9999.9,M, -9999.9,M,     9.0, ,    -5.7,E
1999,   -26.5, ,   -26.5, ,   -26.3, ,   -18.5, ,    -4.8,E,     3.5,E,     6.2, ,     7.4, ,     1.4, ,   -11.1, ,   -20.8, ,   -25.9, ,   -11.8,E,   -23.3, ,   -16.5,E,     5.7,E,   -10.2, 
2000,   -22.4, ,   -25.2, ,   -27.4,E, -9999.9,M,    -8.9, ,     4.2,E,     7.4, ,     4.8, ,     -.5, ,    -9.7, ,   -17.0,E,   -22.4, , -9999.9,M,   -24.5, , -9999.9,M,     5.5,E,    -9.1,E
2001,   -21.2, ,   -19.4, ,   -27.8, ,   -16.2, ,    -8.7, ,     3.3, , -9999.9,M,     5.7,E,     1.5, ,   -11.1, ,   -17.7, ,   -22.4, , -9999.9,M,   -21.0, ,   -17.6, , -9999.9,M,    -9.1, 
2002,   -25.6, ,   -28.9, ,   -19.0, ,   -15.0, ,    -3.7, ,     3.2, ,     5.8, ,     3.6, ,     3.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -25.6, ,   -12.6, ,     4.2, , -9999.9,M
2003, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.0, ,   -16.9,E,   -23.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
2004,   -24.6,E,   -31.3, , -9999.9,M,   -19.6, ,    -5.8,E,     5.9, , -9999.9,M,     8.1, ,      .4,E,    -8.9, ,   -19.8,E,   -24.9, , -9999.9,M,   -26.6,E, -9999.9,M, -9999.9,M,    -9.4,E
2005,   -21.5,E,   -25.6, ,   -23.1,E,   -16.7, ,    -4.0, ,     2.8, ,     5.6, ,     7.3, ,     1.9, ,    -8.3, ,   -22.6, ,   -20.2, ,   -10.4,E,   -24.0,E,   -14.6,E,     5.2, ,    -9.7, 
2006,   -25.0, ,   -17.6, ,   -27.2, ,   -19.1, ,    -3.0, ,     5.4, ,     8.0, ,     6.6, , -9999.9,M,    -5.3, ,   -18.4, ,   -19.5,E, -9999.9,M,   -20.9, ,   -16.4, ,     6.7, , -9999.9,M
2007,   -26.1, ,   -25.2, ,   -28.0,E,   -12.9, ,    -7.4, ,     5.1, ,     8.7, ,     7.4, ,     2.6, ,    -9.1,E,   -13.3,E,   -20.0, ,    -9.9,E,   -23.6,E,   -16.1,E,     7.1, ,    -6.6,E
2008,   -25.5, ,   -24.9, ,   -28.2, ,   -13.4, ,    -2.4, ,     6.6, ,     9.8, ,     4.7,E,      .3, ,    -9.7, ,   -16.2, ,   -18.3, ,    -9.8,E,   -23.5, ,   -14.7, ,     7.0,E,    -8.5, 
2009,   -22.9, ,   -24.7, ,   -28.4,E,   -15.7,E,    -4.7, ,     3.2, ,     7.6, ,     5.7, ,     1.2, ,    -5.2, ,   -20.0, ,   -18.1,E,   -10.2,E,   -22.0, ,   -16.3,E,     5.5, ,    -8.0, 
2010,   -24.5,E,   -23.3, ,   -24.1, , -9999.9,M,    -5.1,E,     3.7,E,     9.0, ,     8.8, ,     2.5, ,    -7.5, ,   -10.8, ,   -24.5, , -9999.9,M,   -22.0,E, -9999.9,M,     7.2,E,    -5.3, 
2011,   -24.4, ,   -21.6, ,   -22.2, ,   -18.7, ,    -4.9, ,     3.2, ,     9.0, ,     7.6,E,     1.8, ,    -6.9,E,   -20.9, ,   -23.9, ,   -10.2,E,   -23.5, ,   -15.3, ,     6.6,E,    -8.7,E
