2100700,MAYO           ,YT, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2100700,MAYO           ,YT, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1924, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1925, -9999.9,M,   -28.6, ,   -15.0, ,    -2.4, ,     8.6, ,    14.1, ,    14.6, , -9999.9,M,     6.8, ,     -.9, ,    -9.8, ,   -15.8, , -9999.9,M, -9999.9,M,    -2.9, , -9999.9,M,    -1.3, 
1926,   -10.6, ,   -17.8, ,    -3.8, ,     2.2, ,     8.6, ,    13.8, ,    14.7, ,    12.3, ,     6.2, , -9999.9,M,   -13.7, , -9999.9,M, -9999.9,M,   -14.7, ,     2.3, ,    13.6, , -9999.9,M
1927, -9999.9,M, -9999.9,M,    -7.5, ,    -5.4, ,     7.2, ,    13.9, ,    16.7, ,    13.6, ,     5.6, ,    -3.5, ,   -25.5, , -9999.9,M, -9999.9,M, -9999.9,M,    -1.9, ,    14.7, ,    -7.8, 
1928, -9999.9,M, -9999.9,M, -9999.9,M,    -4.8, ,     7.1, ,    14.3, ,    14.9, ,    11.1, ,     4.7, ,    -3.8, ,    -8.2, ,   -15.4, , -9999.9,M, -9999.9,M, -9999.9,M,    13.4, ,    -2.4, 
1929,   -22.8, ,   -17.7, ,   -12.8, ,    -3.0, ,     6.2, ,    13.8, ,    13.6, ,    11.5, ,     8.3, ,     2.2, ,   -11.1, ,   -26.4, ,    -3.2, ,   -18.6, ,    -3.2, ,    13.0, ,     -.2, 
1930,   -36.1, ,   -23.0, ,   -12.7, ,    -1.5, ,     8.1, ,    12.4, ,    15.5, ,    13.1, ,     6.8, ,    -5.3, ,   -16.1, ,   -15.8, ,    -4.6, ,   -28.5, ,    -2.0, ,    13.7, ,    -4.9, 
1931,   -16.8, ,   -11.5, ,   -14.2, ,    -1.2, ,     5.3, ,    12.7, ,    14.1, ,    11.2, ,     6.0, ,    -1.1, ,   -16.6, ,   -23.3, ,    -3.0, ,   -14.7, ,    -3.4, ,    12.7, ,    -3.9, 
1932,   -27.9, ,   -32.7, ,   -13.2, ,     2.1, ,     7.7, ,    11.4, ,    13.8, ,    12.7, ,     5.0, ,    -2.9, ,   -23.3, ,   -29.4, ,    -6.4, ,   -28.0, ,    -1.1, ,    12.6, ,    -7.1, 
1933,   -33.4, ,   -24.6, ,   -12.9, ,    -1.9, ,     8.6, ,    10.3, ,    13.2, ,    11.6, ,     4.7, ,    -4.6, ,   -12.6, ,   -42.4, ,    -7.0, ,   -29.1, ,    -2.1, ,    11.7, ,    -4.2, 
1934,   -30.0, ,   -12.0, ,   -13.0, ,     1.1, ,     7.8, ,    12.3, ,    15.2, ,    12.4, ,     5.0, ,      .2, ,   -13.9, ,   -22.6, ,    -3.1, ,   -28.1, ,    -1.4, ,    13.3, ,    -2.9, 
1935,   -31.3, ,   -11.7, ,   -16.6, ,    -1.6, ,     6.2, ,    11.9, ,    14.9, ,     9.8, ,     5.1, ,    -7.0, ,   -19.5, ,   -20.5, ,    -5.0, ,   -21.9, ,    -4.0, ,    12.2, ,    -7.1, 
1936,   -27.8, ,   -35.7, ,   -11.7, ,    -2.3, ,     8.1, , -9999.9,M,    16.1, ,    14.3, ,     5.1, ,     -.3, ,   -10.1, ,   -28.9, , -9999.9,M,   -28.0, ,    -2.0, , -9999.9,M,    -1.8, 
1937,   -22.1, ,   -21.9, ,    -7.9, ,     1.0, ,     7.8, ,    14.8, ,    13.1, ,    11.1, ,     8.3, ,     1.3, ,   -10.6, ,   -25.3, ,    -2.5, ,   -24.3, ,      .3, ,    13.0, ,     -.3, 
