2100880,PELLY RANCH    ,YT, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2100880,PELLY RANCH    ,YT, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1955,   -21.3, ,   -24.5, ,   -15.8, ,    -1.4, ,     6.3, ,    11.9, ,    16.2, ,    10.8, , -9999.9,M, -9999.9,M, -9999.9,M,   -32.1, , -9999.9,M, -9999.9,M,    -3.6, ,    13.0, , -9999.9,M
1956, -9999.9,M, -9999.9,M, -9999.9,M,    -1.1, ,     8.3, ,    12.2, ,    15.0, ,    12.6, ,     5.5, ,    -6.3, ,   -12.3, ,   -32.2, , -9999.9,M, -9999.9,M, -9999.9,M,    13.3, ,    -4.4, 
1957,   -28.6, ,   -22.2, ,    -9.6, ,    -1.0, ,     8.0, ,    13.9, ,    13.9, ,    14.8, ,     8.1, ,    -3.2, ,   -11.1, ,   -27.9, ,    -3.7, ,   -27.7, ,     -.9, ,    14.2, ,    -2.1, 
1958,   -18.3, ,   -25.2, ,   -12.4, ,     2.0, ,     8.5, ,    15.6, ,    16.4, ,    12.7, ,     5.4, ,    -7.1, ,   -14.4, ,   -24.2, ,    -3.4, ,   -23.8, ,     -.6, ,    14.9, ,    -5.4, 
1959,   -38.3, ,   -21.0, ,   -16.8, ,    -2.4, ,     6.7, ,    13.4, ,    13.5, ,    10.0, ,     6.5, ,    -6.2, ,   -15.8, ,   -22.9, ,    -6.1, ,   -27.8, ,    -4.2, ,    12.3, ,    -5.2, 
1960,   -25.7, ,   -16.9, ,   -14.3, ,     1.0, ,     9.3, ,    12.3, ,    14.1, ,    12.1, ,     7.4, ,    -1.5, ,   -15.6, ,   -17.9, ,    -3.0, ,   -21.8, ,    -1.3, ,    12.8, ,    -3.2, 
1961,   -22.6, ,   -21.4, ,   -13.9, ,    -2.2, ,     7.6, ,    13.0, ,    15.1, ,    12.3, ,     6.6, ,    -5.0, ,   -22.2, ,   -34.0, ,    -5.6, ,   -20.6, ,    -2.8, ,    13.5, ,    -6.9, 
1962,   -27.2, ,   -19.3, ,   -16.0, ,     -.2, ,     6.9, ,    12.1, ,    15.3, ,    13.4, ,     5.2, ,      .6, ,   -11.4, ,   -24.0, ,    -3.7, ,   -26.8, ,    -3.1, ,    13.6, ,    -1.9, 
1963,   -20.9, ,   -16.0, ,   -14.3, ,    -1.2, , -9999.9,M,    10.8, ,    14.6, ,    13.4, ,     7.3, ,      .8, ,   -23.1, ,   -17.8, , -9999.9,M,   -20.3, , -9999.9,M,    12.9, ,    -5.0, 
1964,   -28.2, ,   -16.5, ,   -20.8, ,    -2.0, ,     3.5, ,    13.8, ,    13.7, ,    12.1, ,     7.0, ,      .5, ,   -17.5, ,   -38.8, ,    -6.1, ,   -20.8, ,    -6.4, ,    13.2, ,    -3.3, 
