2100950,SHINGLE POINT  ,YT, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2100950,SHINGLE POINT  ,YT, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1957, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.6, ,    10.1, ,    12.1, ,     2.5, ,    -7.4, ,   -23.3, ,   -30.6, , -9999.9,M, -9999.9,M, -9999.9,M,     8.6, ,    -9.4, 
1958,   -27.5, ,   -31.8, ,   -23.0, ,   -15.6, ,    -4.1, ,    10.4, ,    14.6, ,    12.3, ,     4.6, ,    -8.7, ,   -19.3, ,   -25.0, ,    -9.4, ,   -30.0, ,   -14.2, ,    12.4, ,    -7.8, 
1959,   -28.4, ,   -19.9, ,   -28.7, ,   -16.2, ,    -5.5, ,     3.7, , -9999.9,M,     4.9, ,      .5, ,   -10.0, , -9999.9,M, -9999.9,M, -9999.9,M,   -24.4, ,   -16.8, , -9999.9,M, -9999.9,M
1960, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.8, ,     6.0, ,     9.0, , -9999.9,M,     1.1, , -9999.9,M, -9999.9,M,   -19.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1961, -9999.9,M,   -28.7, ,   -29.6, ,   -21.2, , -9999.9,M,     5.1, ,    11.3, ,     8.1, ,     2.9, ,   -11.1, ,   -18.7, ,   -25.3, , -9999.9,M, -9999.9,M, -9999.9,M,     8.2, ,    -9.0, 
1962,   -19.7, ,   -21.4, ,   -25.4, ,   -17.3, ,    -7.3, ,     5.9, ,    11.9, ,    11.9, ,      .8, ,    -5.4, ,   -20.0, ,   -20.7, ,    -8.9, ,   -22.1, ,   -16.7, ,     9.9, ,    -8.2, 
1963, -9999.9,M, -9999.9,M, -9999.9,M,   -10.9, ,    -1.3, ,     4.9, ,    10.9, , -9999.9,M,     2.0, ,    -9.0, , -9999.9,M,   -20.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1964, -9999.9,M, -9999.9,M, -9999.9,M,   -20.5, ,    -5.0, ,     3.1, ,     8.8, ,     8.2, ,     1.7, ,    -7.2, ,   -18.4, ,   -26.7, , -9999.9,M, -9999.9,M, -9999.9,M,     6.7, ,    -8.0, 
1965, -9999.9,M, -9999.9,M,   -16.5, ,   -12.5, ,    -5.6, ,     3.1, ,     9.9, ,     9.2, ,     2.6, ,   -10.4, ,   -14.6, , -9999.9,M, -9999.9,M, -9999.9,M,   -11.5, ,     7.4, ,    -7.5, 
1966, -9999.9,M,   -26.6, ,   -26.1, ,   -20.1, ,    -4.8, ,     5.4, ,    11.7, ,     7.1, ,     3.8, ,    -7.6, ,   -19.6, ,   -23.0, , -9999.9,M, -9999.9,M,   -17.0, ,     8.1, ,    -7.8, 
1967,   -22.3, , -9999.9,M,   -21.4, ,   -13.7, ,    -1.9, ,     5.8, ,     9.4, ,     6.9, ,      .2, ,    -9.9, ,   -16.1,E,   -21.0,E, -9999.9,M, -9999.9,M,   -12.3, ,     7.4, ,    -8.6,E
1968,   -23.4, ,   -30.3,E,   -22.0, ,   -17.6, ,    -2.1,E,     5.3, ,    13.0, ,     9.0, ,     1.1, ,    -7.3, ,   -20.2,E,   -25.0,E,   -10.0,E,   -24.9,E,   -13.9,E,     9.1, ,    -8.8,E
1969,   -27.1,E,   -30.3,E,   -23.4,E,   -12.9, ,    -4.7, ,     4.7, ,     9.1, ,     3.5, ,     1.7, ,    -3.6, ,   -23.9, ,   -20.2, ,   -10.6,E,   -27.5,E,   -13.7,E,     5.8, ,    -8.6, 
1970,   -29.0, ,   -27.4, ,   -25.4,E,   -17.0, ,    -6.6, ,     4.9, ,    10.9, ,     9.7, ,    -1.6, ,   -13.8, ,   -15.7, ,   -24.2, ,   -11.3,E,   -25.5, ,   -16.3,E,     8.5, ,   -10.4, 
1971,   -31.8,E,   -32.3,E,   -26.5, ,   -20.4, ,    -3.9, ,     8.3, ,    11.6, ,     5.3, ,     2.3, ,    -7.8, ,   -20.7, ,   -25.4,E,   -11.8,E,   -29.4,E,   -16.9, ,     8.4, ,    -8.7, 
1972,   -25.9,E,   -28.3,E,   -26.7, ,   -18.3, ,    -6.4, ,     5.2, ,    11.6, ,    10.1, ,     -.4, ,    -5.8, ,   -19.0, ,   -20.8, ,   -10.4,E,   -26.5,E,   -17.1, ,     9.0, ,    -8.4, 
1973,   -23.2, ,   -24.0, ,   -30.2, ,   -16.4, ,    -4.5, ,     4.4, ,    10.9, ,     8.9, ,     4.8, ,    -8.0, ,   -18.2, ,   -22.3, ,    -9.8, ,   -22.7, ,   -17.0, ,     8.1, ,    -7.1, 
1974,   -23.7, ,   -32.8, ,   -28.1, ,   -21.9, ,    -6.3, ,     2.1, ,     8.9, ,     8.1, ,     1.7, ,   -14.6, ,   -22.2, ,   -30.4, ,   -13.3, ,   -26.3, ,   -18.8, ,     6.4, ,   -11.7, 
1975,   -32.1, ,   -27.0, ,   -21.0, ,   -16.6, ,    -5.3, ,     5.7, ,    11.4, ,     7.4, ,     -.5, ,   -10.4, ,   -23.3, ,   -27.7, ,   -11.6, ,   -29.8, ,   -14.3, ,     8.2, ,   -11.4, 
1976,   -28.4, ,   -29.6, ,   -26.2, ,   -12.7, ,    -3.9, ,     4.4, ,    11.2, ,    10.7, ,     4.5, ,    -9.0, ,   -13.6, ,   -28.6, ,   -10.1, ,   -28.6, ,   -14.3, ,     8.8, ,    -6.0, 
1977,   -24.9, ,   -25.2, ,   -30.0, ,   -16.7, ,    -3.5, ,     5.3, ,    10.2, ,    11.2, ,     4.1, ,    -5.8, ,   -20.6, ,   -21.6, ,    -9.8, ,   -26.2, ,   -16.7, ,     8.9, ,    -7.4, 
1978,   -19.7, ,   -22.4, ,   -21.0, ,   -16.1, ,    -8.7, ,     3.2, ,    11.9, ,     7.5, ,     5.3, ,   -13.5, ,   -13.5, ,   -22.3, ,    -9.1, ,   -21.2, ,   -15.3, ,     7.5, ,    -7.2, 
1979,   -18.3, ,   -25.9, , -9999.9,M,   -15.2, ,    -1.7, ,     6.0, ,    14.6, ,    13.2, ,     4.1, ,    -5.4, ,    -8.7, ,   -25.6, , -9999.9,M,   -22.2, , -9999.9,M,    11.3, ,    -3.3, 
1980,   -25.7, ,   -19.5, ,   -23.6, ,   -19.4, ,    -5.6, ,     9.1, ,    10.0, ,     8.1, ,    -1.4, ,    -5.4, ,   -19.9, ,   -26.1, ,   -10.0, ,   -23.6, ,   -16.2, ,     9.1, ,    -8.9, 
1981,   -13.3, ,   -24.7, ,   -22.6, ,   -14.5, ,     -.4, ,     5.9, ,    10.8, ,     6.8, ,      .5, ,    -7.5, ,   -19.1, ,   -20.8, ,    -8.2, ,   -21.4, ,   -12.5, ,     7.8, ,    -8.7, 
1982, -9999.9,M,   -21.2, ,   -24.3, ,   -15.8, ,    -6.9, ,     5.6, ,    12.4, ,     7.7, ,     4.0, ,   -11.6, ,   -26.2, ,   -25.8, , -9999.9,M, -9999.9,M,   -15.7, ,     8.6, ,   -11.3, 
1983,   -30.1, ,   -28.8, ,   -28.0, ,   -17.5, ,    -9.6, ,     7.4, ,    11.4, ,     9.5, ,     -.5, ,   -12.6, ,   -14.3, ,   -20.1, ,   -11.1, ,   -28.2, ,   -18.4, ,     9.4, ,    -9.1, 
1984,   -22.8, , -9999.9,M,   -26.6, ,   -18.0, ,    -3.1, ,     7.4, ,    10.0, ,     7.5, ,     3.4, ,    -8.5, ,   -24.9, ,   -24.3, , -9999.9,M, -9999.9,M,   -15.9, ,     8.3, ,   -10.0, 
