2100LRP,DAWSON         ,YT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2100LRP,DAWSON         ,YT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1901,   -28.2,a,   -29.3,a,   -12.1,a,    -5.3,a,     5.6,a,    13.1,a,    15.5,a,    11.4,a,     6.8,a,    -2.5,a,   -16.8,a,   -22.8,a,    -5.4,a, -9999.9,M,    -3.9,a,    13.3,a,    -4.2,a
1902,   -27.4,a,   -22.8,a,   -22.6,a,    -3.5,a,     7.0,a,    13.6,a,    15.8,a,    12.2,a,     5.2,a,    -1.7,a,   -22.1,a,   -31.1,a,    -6.5,a,   -24.3,a,    -6.4,a,    13.9,a,    -6.2,a
1903,   -33.3,a,   -23.5,a,   -14.8,a,    -5.1,a,     5.6,a,    14.1,a,    15.0,a,    13.1,a,     5.0,a,    -6.5,a,   -20.5,a,   -18.3,a,    -5.8,a,   -29.3,a,    -4.8,a,    14.1,a,    -7.3,a
1904,   -30.6,a,   -32.6,a,   -20.1,a,      .6,a,     6.5,a,    11.7,a,    13.4,a,    11.1,a,     2.0,a,    -2.3,a,   -18.6,a,   -18.0,a,    -6.4,a,   -27.2,a,    -4.3,a,    12.1,a,    -6.3,a
1905,   -31.4,a,   -21.7,a,   -11.5,a,      .1,a,     8.8,a,    14.4,a,    14.4,a,    12.2,a,     3.4,a,    -5.0,a,   -12.5,a,   -24.9,a,    -4.5,a,   -23.7,a,     -.9,a,    13.7,a,    -4.7,a
1906,   -37.4,a,   -24.0,a,   -11.6,a,    -2.7,a,     7.8,a,    14.6,a,    14.7,a,    11.4,a,     5.5,a,    -1.5,a,   -17.6,a,   -31.1,a,    -6.0,a,   -28.8,a,    -2.2,a,    13.6,a,    -4.5,a
1907,   -31.5,a,   -33.3,a,   -20.0,a,    -1.5,a,    10.0,a,    13.2,a,    14.1,a,    11.6,a,     5.0,a,    -4.0,a,   -18.4,a,   -21.8,a,    -6.4,a,   -32.0,a,    -3.8,a,    13.0,a,    -5.8,a
1908,   -26.5,a,   -23.8,a,   -17.7,a,    -2.0,a,     8.0,a,    13.7,a,    14.1,a,    11.2,a,     2.9,a,    -9.2,a,   -18.3,a,   -23.3,a,    -5.9,a,   -24.0,a,    -3.9,a,    13.0,a,    -8.2,a
1909,   -42.4,a,   -32.4,a,   -11.5,a,    -6.1,a,     7.1,a,    12.7,a,    15.0,a,    11.1,a,     3.6,a,    -4.8,a,   -23.6,a,   -26.0,a,    -8.1,a,   -32.7,a,    -3.5,a,    12.9,a,    -8.3,a
1910,   -30.2,a,   -31.7,a,   -15.2,a,    -4.1,a,     6.7,a,    13.1,a,    15.2,a,     9.8,a,     6.0,a,    -4.2,a,   -17.6,a,   -28.1,a,    -6.7,a,   -29.3,a,    -4.2,a,    12.7,a,    -5.3,a
1911,   -38.0,a,   -21.9,a,   -16.3,a,    -5.3,a,     7.0,a,    12.8,a,    14.8,a,    11.0,a,     5.4,a,    -1.8,a,   -21.1,a,   -22.5,a,    -6.3,a,   -29.3,a,    -4.9,a,    12.9,a,    -5.8,a
1912,   -28.2,a,   -15.9,a,   -11.5,a,    -1.3,a,     8.5,a,    10.8,a,    13.2,a,    10.5,a, -9999.9,M,    -2.2,a,   -17.5,a,   -25.3,a, -9999.9,M,   -22.2,a,    -1.4,a,    11.5,a, -9999.9,M
1913,   -36.3,a,   -22.5,a, -9999.9,M, -9999.9,M,     6.6,a, -9999.9,M,    13.7,a,    10.5,a,     4.7,a,    -5.8,a,   -16.4,a,   -23.0,a, -9999.9,M,   -28.0,a, -9999.9,M, -9999.9,M,    -5.8,a
1914,   -31.3,a,   -19.1,a,   -13.7,a,    -3.7,a,     7.2,a,    13.1,a,    12.3,a,    12.0,a,     3.6,a,     -.2,a,   -14.4,a,   -24.4,a,    -4.9,a,   -24.5,a,    -3.4,a,    12.5,a,    -3.7,a
1915,   -18.9,a,   -25.0,a,   -10.1,a,     2.7,a,     7.9,a,    14.3,a,    16.2,a,    12.4,a,     6.6,a,    -6.8,a,   -13.7,a,   -21.9,a,    -3.0,a,   -22.8,a,      .2,a,    14.3,a,    -4.6,a
1916,   -34.0,a,   -26.5,a,   -20.0,a,     1.7,a,     8.7,a,    13.9,a,    14.6,a,    11.7,a,     6.1,a,    -1.7,a,   -14.9,a,   -29.2,a,    -5.8,a,   -27.5,a,    -3.2,a,    13.4,a,    -3.5,a
1917,   -32.5,a,   -25.6,a,   -14.9,a,    -1.3,a,     5.4,a,    11.0,a,    12.9,a,    12.5,a,     6.9,a,    -4.2,a,   -21.0,a,   -46.8,a,    -8.1,a,   -29.1,a,    -3.6,a,    12.1,a,    -6.1,a
1918,   -26.1,a,   -27.8,a,   -21.6,a,    -3.0,a,     6.3,a,    11.6,a,    15.2,a,    11.0,a,     6.9,a,    -5.5,a,   -16.3,a,   -24.3,a,    -6.1,a,   -33.6,a,    -6.1,a,    12.6,a,    -5.0,a
1919,   -27.8,a,   -25.6,a,   -21.9,a,    -1.2,a,     5.7,a,    10.5,a,    14.8,a,    13.0,a,     6.1,a,    -8.0,a,   -23.7,a,   -27.6,a,    -7.1,a,   -25.9,a,    -5.8,a,    12.8,a,    -8.5,a
1920,   -34.6,a,   -18.2,a,   -18.3,a,    -6.2,a,     4.6,a,    13.4,a,    15.5,a,    11.1,a,     4.6,a,    -7.7,a,   -15.8,a,   -27.0,a,    -6.6,a,   -26.8,a,    -6.6,a,    13.3,a,    -6.3,a
1921,   -32.7,a,   -26.9,a,   -17.3,a,    -2.2,a,     6.7,a,    14.0,a,    15.2,a,    12.6,a,     3.3,a,    -4.0,a,   -23.6,a,   -23.3,a,    -6.5,a,   -28.9,a,    -4.3,a,    13.9,a,    -8.1,a
1922,   -23.3,a,   -30.4,a,   -20.9,a,    -2.4,a,     5.4,a,    11.4,a,    12.0,a,    10.3,a,     2.1,a,    -1.9,a,   -14.7,a,   -27.5,a,    -6.7,a,   -25.7,a,    -6.0,a,    11.2,a,    -4.8,a
1923,   -32.7,a,   -21.1,a,   -19.3,a,    -1.8,a,     7.0,a,    14.7,a,    15.6,a,    14.0,a,     5.7,a,     -.1,a,   -11.0,a,   -28.4,a,    -4.8,a,   -27.1,a,    -4.7,a,    14.8,a,    -1.8,a
1924,   -23.4,a,   -23.6,a,   -10.9,a,    -8.5,a,     7.6,a,    12.4,a,    13.1,a,    11.0,a,     3.8,a,    -6.2,a,   -16.6,a,   -30.5,a,    -6.0,a,   -25.1,a,    -3.9,a,    12.2,a,    -6.3,a
