2101102,TESLIN         ,YT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2101102,TESLIN         ,YT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1943, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.4, ,    -2.6, ,    -4.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1944,    -9.0, ,   -10.6, ,    -6.6, ,      .1, ,     6.9, ,    12.4, ,    14.6, ,    11.7, ,     7.7, ,     3.0, ,    -8.2, ,   -10.6, ,     1.0, ,    -7.9, ,      .1, ,    12.9, ,      .8, 
1945,   -11.7, ,   -11.8, ,    -4.9, ,    -3.8, ,     6.7, ,    10.0, ,    11.0, ,    11.5, ,     5.8, ,     1.3, ,   -15.7, ,   -16.5, ,    -1.5, ,   -11.4, ,     -.7, ,    10.8, ,    -2.9, 
1946,   -15.3, ,   -12.5, ,    -5.7, ,     -.2, ,     8.7, ,    14.3, ,    12.8, ,    10.5, ,     7.1, ,      .1, ,   -12.3, ,   -22.5, ,    -1.3, ,   -14.8, ,      .9, ,    12.5, ,    -1.7, 
1947,   -22.0, ,   -17.5, ,    -3.3, ,     -.6, ,     6.6, ,    10.5, ,    13.7, ,    10.0, ,     7.1, ,     2.2, ,    -4.2, ,    -9.9, ,     -.6, ,   -20.7, ,      .9, ,    11.4, ,     1.7, 
1948,   -12.3, ,   -19.6, ,   -12.6, ,    -5.2, ,     7.5, ,    12.5, ,    13.7, ,    10.7, ,     5.8, ,     2.0, ,    -9.3, ,   -23.1, ,    -2.5, ,   -13.9, ,    -3.4, ,    12.3, ,     -.5, 
1949,   -16.5, , -9999.9,M,    -5.3, ,     1.3, ,     5.3, ,     8.8, ,    12.9, ,    11.4, ,     8.5, ,      .6, ,    -3.1, ,   -21.5, , -9999.9,M, -9999.9,M,      .4, ,    11.0, ,     2.0, 
1950,   -26.9, ,   -18.5, ,    -6.9, ,    -2.4, ,     5.2, ,    13.6, ,    12.2, ,    12.1, ,     8.2, ,    -1.8, ,   -17.3, ,   -14.9, ,    -3.1, ,   -22.3, ,    -1.4, ,    12.6, ,    -3.6, 
1951,   -23.7, ,   -18.3, ,   -11.9, ,      .4, ,     6.5, ,    11.2, ,    15.9, ,    13.0, ,     9.3, ,    -3.3, ,   -10.3, ,   -22.5, ,    -2.8, ,   -19.0, ,    -1.7, ,    13.4, ,    -1.4, 
1952,   -26.2, ,   -13.3, ,    -8.6, ,    -1.1, ,     4.7, ,     9.7, ,    13.0, ,    11.1, ,     6.5, ,     3.5, ,    -1.6, ,   -12.1, ,    -1.2, ,   -20.7, ,    -1.7, ,    11.3, ,     2.8, 
1953,   -25.4, ,    -7.5, ,    -8.9, ,     1.4, ,     7.9, ,    12.9, ,    13.6, ,    12.0, ,     6.8, ,     1.6, ,    -9.0, ,   -11.7, ,     -.5, ,   -15.0, ,      .1, ,    12.8, ,     -.2, 
1954,   -23.3, ,   -15.2, ,    -7.4, ,    -6.2, ,     6.8, ,    12.0, ,    12.5, ,    13.1, ,     7.7, ,     1.6, ,    -3.5, ,   -15.4, ,    -1.4, ,   -16.7, ,    -2.3, ,    12.5, ,     1.9, 
1955,   -13.2, ,   -13.8, ,   -10.8, ,    -1.7, ,     3.7, ,     9.8, ,    14.3, ,    10.3, ,     6.6, ,     -.5, ,   -18.2, ,   -24.6, ,    -3.2, ,   -14.1, ,    -2.9, ,    11.5, ,    -4.0, 
1956,   -22.0, ,   -18.2, ,    -9.8, ,     -.3, ,     6.0, ,     9.6, ,    13.8, ,    12.4, ,     6.8, ,    -2.4, ,    -2.2, ,   -20.5, ,    -2.2, ,   -21.6, ,    -1.4, ,    11.9, ,      .7, 
1957,   -24.7, ,   -14.8, ,    -6.1, ,     -.5, ,     7.1, ,    13.0, ,    13.1, ,    14.3, ,    10.6, ,     1.0, ,    -3.0, ,   -14.6, ,     -.4, ,   -20.0, ,      .2, ,    13.5, ,     2.9, 
1958,   -12.5, ,   -16.7, ,    -7.3, ,     2.1, ,     7.8, ,    15.2, ,    15.7, ,    10.7, ,     5.8, ,     -.2, ,    -8.6, ,   -16.6, ,     -.4, ,   -14.6, ,      .9, ,    13.9, ,    -1.0, 
1959,   -26.6, ,   -13.8, ,    -7.4, ,    -1.1, ,     5.3, ,    12.5, ,    12.9, ,     9.8, ,     6.3, ,    -1.5, ,    -7.2, ,    -8.3, ,    -1.6, ,   -19.0, ,    -1.1, ,    11.7, ,     -.8, 
1960,   -19.0, ,   -12.0, ,    -9.9, ,     1.7, ,     6.9, ,    10.1, ,    12.9, ,    11.7, ,     6.7, ,      .4, ,    -7.9, ,    -9.1, ,     -.6, ,   -13.1, ,     -.4, ,    11.6, ,     -.3, 
1961,   -16.4, ,   -12.8, ,    -7.4, ,     -.2, ,     5.5, ,    10.6, ,    13.7, ,    11.5, ,     5.8, ,    -1.5, ,   -12.5, ,   -22.9, ,    -2.2, ,   -12.8, ,     -.7, ,    11.9, ,    -2.7, 
1962,   -17.8, ,   -16.7, ,   -10.6, ,     -.5, ,     4.5, ,     9.9, ,    14.0, ,    12.3, ,     5.9, ,     1.9, ,    -7.1, ,   -14.5, ,    -1.6, ,   -19.1, ,    -2.2, ,    12.1, ,      .2, 
1963,   -15.4, ,    -9.3, ,    -9.6, ,    -2.6, ,     6.2, ,     9.1, ,    13.1, ,    14.2, ,     9.2, ,     2.1, ,   -15.9, ,   -12.2, ,     -.9, ,   -13.1, ,    -2.0, ,    12.1, ,    -1.5, 
1964,   -18.0, ,    -6.2, ,   -12.8, ,    -1.8, ,     4.3, ,    12.6, ,    12.7, ,    11.6, ,     6.4, ,     1.4, ,    -9.7, ,   -24.5, ,    -2.0, ,   -12.1, ,    -3.4, ,    12.3, ,     -.6, 
