2101300,WHITEHORSE     ,YT, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2101300,WHITEHORSE     ,YT, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1942, -9999.9,M, -9999.9,M, -9999.9,M,     1.0, ,     9.5, ,    12.4, ,    13.4, ,    13.5, ,    10.0, ,     3.3, ,   -14.7, ,   -24.1, , -9999.9,M, -9999.9,M, -9999.9,M,    13.1, ,     -.5, 
1943,   -21.3, ,   -11.7, ,   -10.0, ,     1.5, ,     6.6, ,    12.3, ,    13.3, ,    11.8, ,     8.4, ,      .9, ,    -3.2, ,    -3.9, ,      .4, ,   -19.0, ,     -.6, ,    12.5, ,     2.0, 
1944,    -8.3, ,    -9.5, ,    -6.2, ,      .5, ,     7.4, ,    13.4, ,    14.5, ,    12.3, ,     8.8, ,     2.9, ,    -7.2, ,   -10.7, ,     1.5, ,    -7.2, ,      .6, ,    13.4, ,     1.5, 
1945,   -10.6, ,   -10.1, ,    -4.3, ,    -3.1, ,     7.6, ,    10.5, ,    12.1, ,    12.7, ,     6.4, ,     1.8, ,   -15.3, ,   -14.4, ,     -.6, ,   -10.5, ,      .1, ,    11.8, ,    -2.4, 
1946,   -14.1, ,   -10.1, ,    -5.5, ,      .3, ,     9.3, ,    15.7, ,    13.4, ,    11.6, ,     7.3, ,      .9, ,   -11.3, ,   -22.9, ,     -.5, ,   -12.9, ,     1.4, ,    13.6, ,    -1.0, 
1947,   -22.6, ,   -16.3, ,    -1.7, ,      .5, ,     8.2, ,    11.5, ,    15.2, ,    10.7, ,     7.7, ,     2.7, ,    -2.9, ,    -8.0, ,      .4, ,   -20.6, ,     2.3, ,    12.5, ,     2.5, 
1948,   -10.0, ,   -19.8, ,   -11.9, ,    -4.9, ,     7.8, ,    13.6, ,    14.4, ,    11.6, ,     6.3, ,     2.1, ,   -11.6, ,   -23.4, ,    -2.2, ,   -12.6, ,    -3.0, ,    13.2, ,    -1.1, 
1949,   -14.2, ,   -20.9, ,    -4.0, ,     1.9, ,     6.6, ,     9.3, ,    13.2, ,    11.5, ,     8.9, ,      .4, ,    -2.9, ,   -19.1, ,     -.8, ,   -19.5, ,     1.5, ,    11.3, ,     2.1, 
1950,   -22.1, ,   -20.5, ,    -6.9, ,    -3.0, ,     6.2, ,    14.9, ,    12.9, ,    12.8, ,     8.6, ,    -1.7, ,   -17.3, ,   -14.9, ,    -2.6, ,   -20.6, ,    -1.2, ,    13.5, ,    -3.5, 
1951,   -23.2, ,   -18.6, ,   -12.8, ,     1.8, ,     7.8, ,    11.8, ,    16.6, ,    13.8, ,    10.3, ,    -3.4, ,    -9.5, ,   -20.1, ,    -2.1, ,   -18.9, ,    -1.1, ,    14.1, ,     -.9, 
1952,   -26.5, ,   -11.2, ,    -7.8, ,     -.7, ,     5.8, ,    11.6, ,    14.6, ,    12.6, ,     7.2, ,     3.6, ,     -.9, ,    -9.1, ,     -.1, ,   -19.3, ,     -.9, ,    12.9, ,     3.3, 
1953,   -25.5, ,    -7.4, ,    -8.8, ,     2.4, ,     9.5, ,    13.5, ,    14.8, ,    12.7, ,     6.9, ,      .7, ,    -9.4, ,    -9.8, ,      .0, ,   -14.0, ,     1.0, ,    13.7, ,     -.6, 
1954,   -20.3, ,   -15.9, ,    -6.3, ,    -4.9, ,     7.4, ,    12.9, ,    13.1, ,    13.9, ,     7.8, ,     2.6, ,    -3.3, ,   -15.8, ,     -.7, ,   -15.3, ,    -1.3, ,    13.3, ,     2.4, 
1955,   -10.2, ,   -12.7, ,    -9.9, ,     -.7, ,     4.9, ,    10.8, ,    15.8, ,    11.0, ,     7.2, ,     -.7, ,   -18.6, ,   -22.9, ,    -2.2, ,   -12.9, ,    -1.9, ,    12.5, ,    -4.0, 
1956,   -22.2, ,   -17.6, ,    -9.7, ,      .9, ,     7.4, ,    10.5, ,    14.9, ,    13.1, ,     6.8, ,    -2.8, ,    -3.2, ,   -21.2, ,    -1.9, ,   -20.9, ,     -.5, ,    12.8, ,      .3, 
1957,   -20.0, ,   -13.9, ,    -4.8, ,      .3, ,     7.8, ,    13.8, ,    13.5, ,    15.4, ,    11.2, ,     1.4, ,    -3.0, ,   -15.2, ,      .5, ,   -18.4, ,     1.1, ,    14.2, ,     3.2, 
1958,   -11.4, ,   -16.5, ,    -6.4, ,     3.4, ,     8.6, ,    16.0, ,    16.7, ,    11.7, ,     6.0, ,    -1.7, ,    -8.0, ,   -15.5, ,      .2, ,   -14.4, ,     1.9, ,    14.8, ,    -1.2, 
1959,   -27.9, ,   -10.6, ,   -10.6, ,     -.6, ,     6.6, ,    13.7, ,    13.3, ,    10.8, ,     7.3, ,    -1.2, ,    -7.1, ,    -7.6, ,    -1.2, ,   -18.0, ,    -1.5, ,    12.6, ,     -.3, 
1960,   -16.1, ,   -10.4, ,    -9.7, ,     2.1, ,     7.9, ,    11.2, ,    13.4, ,    12.1, ,     7.7, ,     1.3, ,    -8.0, ,    -8.3, ,      .3, ,   -11.4, ,      .1, ,    12.2, ,      .3, 
1961,   -13.3, ,   -12.0, ,    -8.3, ,     -.4, ,     6.5, ,    11.1, ,    15.1, ,    12.4,a,     6.9,a,    -1.2,a,   -12.3,a,   -24.4,a,    -1.7,a,   -11.2, ,     -.7, ,    12.9,a,    -2.2,a
1962,   -16.1,a,   -13.2,a,   -10.2,a,      .5,a,     5.9, ,    10.8,a,    14.5, ,    13.3,a,     6.5,a,     2.9,a,    -5.7,a,   -13.6,a,     -.4,a,   -17.9,a,    -1.3,a,    12.9,a,     1.2,a
