2201450,FORT GOOD HOPE ,NT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2201450,FORT GOOD HOPE ,NT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1944, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.2, ,     5.5, ,    -2.1, ,   -19.4, ,   -21.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.3, 
1945,   -26.9, ,   -24.6, ,   -22.2, ,   -12.2, ,     2.9, ,    13.6, ,    15.3, ,    12.5, ,     3.9, ,    -2.1, ,   -22.7, ,   -28.4, ,    -7.6, ,   -24.4, ,   -10.5, ,    13.8, ,    -7.0, 
1946,   -29.5, ,   -32.3, ,   -20.1, ,    -9.4, ,     6.0, ,    14.8, ,    15.9, ,    13.9, ,     4.0, ,    -3.6, ,   -19.1, ,   -35.0, ,    -7.9, ,   -30.1, ,    -7.8, ,    14.9, ,    -6.2, 
1947,   -31.7, ,   -33.2, ,   -15.0, ,    -9.7, ,     4.0, ,    10.5, ,    15.0, ,     9.1, ,     4.7, ,    -4.7, ,   -15.6, ,   -22.6, ,    -7.4, ,   -33.3, ,    -6.9, ,    11.5, ,    -5.2, 
1948,   -25.5, ,   -27.2, ,   -23.2, ,   -11.5, ,     4.8, ,    13.3, ,    17.8, ,    12.3, ,     3.7, ,    -7.2, ,   -21.4, ,   -34.6, ,    -8.2, ,   -25.1, ,   -10.0, ,    14.5, ,    -8.3, 
1949,   -28.0, ,   -31.6, ,   -16.1, ,   -10.5, ,      .7, ,    10.5, ,    13.9, ,    14.6, ,     8.5, ,    -5.2, ,   -13.2, ,   -25.5, ,    -6.8, ,   -31.4, ,    -8.6, ,    13.0, ,    -3.3, 
1950,   -24.9, ,   -30.5, ,   -18.2, ,    -9.3, ,     4.7, ,    15.1, ,    16.2, ,    11.3, ,     7.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -27.0, ,    -7.6, ,    14.2, , -9999.9,M
1951, -9999.9,M, -9999.9,M, -9999.9,M,   -11.4, ,     5.8, ,    11.1, ,    17.0, ,    14.8, ,     5.8, ,    -7.6, ,   -16.6, ,   -27.7, , -9999.9,M, -9999.9,M, -9999.9,M,    14.3, ,    -6.1, 
1952,   -36.7, ,   -29.8, ,   -21.5, ,    -8.4, ,     2.9, ,    13.2, ,    15.4, ,    11.4, ,     3.6, ,    -3.8, ,   -13.3, ,   -23.3, ,    -7.5, ,   -31.4, ,    -9.0, ,    13.3, ,    -4.5, 
1953,   -34.8, ,   -22.9, ,   -21.7, ,    -5.4, ,     5.2, ,    12.8, ,    15.8, ,    13.5, ,     6.0, ,    -4.9, ,   -18.8, ,   -27.1, ,    -6.9, ,   -27.0, ,    -7.3, ,    14.0, ,    -5.9, 
1954,   -35.3, ,   -27.5, ,   -15.7, ,   -15.3, ,     3.3, ,    13.0, ,    16.6, ,    15.7, ,     5.3, ,    -4.3, ,   -17.3, ,   -28.5, ,    -7.5, ,   -30.0, ,    -9.2, ,    15.1, ,    -5.4, 
1955,   -27.9, ,   -31.2, ,   -25.3, ,    -9.0, ,     4.0, ,    14.7, ,    16.8, ,    11.0, ,     5.4, ,    -4.4, ,   -25.5, ,   -29.3, ,    -8.4, ,   -29.2, ,   -10.1, ,    14.2, ,    -8.2, 
1956,   -33.2, ,   -32.6, ,   -18.3, ,    -8.8, ,     4.4, ,    13.1, ,    16.0, ,    10.8, ,     4.5, ,    -9.9, ,   -20.3, ,   -29.7, ,    -8.7, ,   -31.7, ,    -7.6, ,    13.3, ,    -8.6, 
1957,   -19.7, ,   -30.2, ,   -17.7, ,    -8.3, ,     2.6, ,    10.7, ,    14.7, ,    16.1, ,     6.7, ,    -5.3, ,   -22.9, ,   -31.0, ,    -7.0, ,   -26.5, ,    -7.8, ,    13.8, ,    -7.2, 
1958,   -29.0, ,   -33.9, ,   -18.9, ,    -9.0, ,     5.5, , -9999.9,M,    16.9, ,    14.5, ,     6.1, ,    -6.7, ,   -21.1, ,   -28.8, , -9999.9,M,   -31.3, ,    -7.5, , -9999.9,M,    -7.2, 
1959,   -33.3, ,   -23.1, ,   -25.1, ,   -10.1, ,     1.1, ,    11.9, ,    14.4, ,     9.4, ,     3.6, ,    -7.8, ,   -22.6, ,   -26.5, ,    -9.0, ,   -28.4, ,   -11.4, ,    11.9, ,    -8.9, 
1960,   -31.4, ,   -24.0, ,   -23.4, ,   -11.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -23.6, ,   -22.2, , -9999.9,M,   -27.3, , -9999.9,M, -9999.9,M, -9999.9,M
1961, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.1, ,    15.6, , -9999.9,M,    13.0, ,     5.7, ,    -8.2, ,   -21.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.9, 
1962,   -21.3, ,   -24.5, ,   -23.4, ,    -9.9, ,     1.3, ,    13.5, ,    16.3, ,    14.6, ,     4.9, ,    -1.9, ,   -19.6, ,   -22.6, ,    -6.1, , -9999.9,M,   -10.7, ,    14.8, ,    -5.5, 
1963,   -28.1, ,   -24.2, ,   -22.6, ,    -5.5, ,     5.7, ,    13.3, ,    15.7, ,    14.1, ,     3.9, ,    -5.1, ,   -25.8, ,   -23.3, ,    -6.8, ,   -25.0, ,    -7.5, ,    14.4, ,    -9.0, 
1964,   -31.2, ,   -24.6, ,   -27.7, ,   -12.9, ,     1.4, ,    12.8, ,    15.5, ,    13.2, ,     5.1, ,    -3.4, ,   -18.7, ,   -30.4, ,    -8.4, ,   -26.4, ,   -13.1, ,    13.8, ,    -5.7, 
1965,   -32.8, ,   -36.9, ,   -14.3, ,    -5.8, ,     5.0, ,    11.8, ,    17.3, ,    12.6, ,     3.8, ,    -9.3, ,   -17.9, ,   -27.2, ,    -7.8, ,   -33.4, ,    -5.0, ,    13.9, ,    -7.8, 
1966,   -41.4, ,   -29.6, ,   -23.2, ,   -12.6, ,     4.9, ,    15.2, ,    16.8, ,    13.2, ,     7.2, ,    -4.8, ,   -24.0, ,   -27.0, ,    -8.8, ,   -32.7, ,   -10.3, ,    15.1, ,    -7.2, 
