2201903,FORT RELIANCE  ,NT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2201903,FORT RELIANCE  ,NT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.2, ,   -24.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1949,   -27.9, ,   -32.4, ,   -17.3, ,    -5.5, ,     -.4, ,     5.8, ,    11.4, ,    14.0, ,     8.1, ,    -3.8, ,   -11.4, ,   -25.1, ,    -7.0, ,   -28.4, ,    -7.7, ,    10.4, ,    -2.4, 
1950,   -36.3, ,   -27.9, ,   -22.3, ,   -11.4, ,     1.6, ,     6.2, ,    11.7, ,     9.3, ,     7.8, ,    -6.1, ,   -18.1, ,   -25.7, ,    -9.3, ,   -29.8, ,   -10.7, ,     9.1, ,    -5.5, 
1951,   -29.0, , -9999.9,M,   -25.0, ,   -11.7, ,     2.4, ,     7.2, ,    12.4, ,    14.9, ,     6.6, ,    -3.6, ,   -18.6, ,   -28.5, , -9999.9,M, -9999.9,M,   -11.4, ,    11.5, ,    -5.2, 
1952, -9999.9,M,   -26.6, ,   -17.0, ,    -3.4, ,     7.2, ,     9.8, ,    12.2, ,    11.1, ,     4.7, ,    -2.5, ,   -12.6, ,   -18.7, , -9999.9,M, -9999.9,M,    -4.4, ,    11.0, ,    -3.5, 
1953,   -33.7, ,   -21.3, ,   -18.2, ,    -8.1, ,      .9, ,     7.7, ,    13.4, ,    16.2, ,     7.9, ,     -.3, ,    -7.5, ,   -23.2, ,    -5.5, ,   -24.6, ,    -8.5, ,    12.4, ,      .0, 
1954,   -31.7, ,   -22.0, ,   -18.2, ,   -17.4, ,     1.9, ,     8.8, ,    14.6, ,    15.8, ,     7.6, ,    -1.0, ,   -10.0, ,   -19.9, ,    -6.0, ,   -25.6, ,   -11.2, ,    13.1, ,    -1.1, 
1955,   -26.6, ,   -28.4, ,   -26.9, ,    -7.9, ,     2.8, ,    12.8, ,    13.9, ,    13.5, ,     5.8, ,      .6, ,   -16.4, ,   -25.8, ,    -6.9, ,   -25.0, ,   -10.7, ,    13.4, ,    -3.3, 
1956,   -25.5, ,   -30.0, ,   -20.0, ,   -12.4, ,    -2.3, ,     9.4, ,    14.8, ,    11.8, ,     4.2, ,    -5.8, ,   -12.6, ,   -29.1, ,    -8.1, ,   -27.1, ,   -11.6, ,    12.0, ,    -4.7, 
1957,   -29.2, ,   -31.5, ,   -19.0, ,   -11.7, ,    -2.7, ,     5.9, ,    11.9, ,    14.0, ,     7.0, ,    -2.0, ,   -15.5, ,   -27.4, ,    -8.4, ,   -29.9, ,   -11.1, ,    10.6, ,    -3.5, 
1958,   -23.4, , -9999.9,M, -9999.9,M,    -9.3, ,     2.7, ,     7.6, ,    13.7, , -9999.9,M,     6.7, ,      .0, ,   -13.9, ,   -27.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.4, 
1959,   -30.1, ,   -25.9, ,   -19.3, ,   -11.7, ,    -4.1, ,     5.6, ,    10.8, ,     8.6, ,     6.2, ,    -5.2, ,   -16.6, ,   -16.0, ,    -8.1, ,   -27.9, ,   -11.7, ,     8.3, ,    -5.2, 
1960,   -28.4, ,   -25.3, ,   -23.8, ,    -8.3, ,     1.5, ,    10.4, ,    13.5, ,    13.2, ,     5.8, ,    -3.7, ,   -18.0, ,   -23.1, ,    -7.2, ,   -23.2, ,   -10.2, ,    12.4, ,    -5.3, 
1961,   -28.4, ,   -25.1, ,   -21.9, ,   -12.9, ,     -.5, ,    11.1, ,    15.2, ,    13.1, ,     2.6, ,    -6.4, ,   -13.5, ,   -29.0, ,    -8.0, ,   -25.5, ,   -11.8, ,    13.1, ,    -5.8, 
1962,   -31.4, ,   -33.0, ,   -24.0, ,   -13.1, ,    -3.6, ,    10.6, ,    12.9, ,    12.7, ,     7.1, ,      .8, ,   -16.4, ,   -22.0, ,    -8.3, ,   -31.1, ,   -13.6, ,    12.1, ,    -2.8, 
1963,   -31.5, ,   -27.5, ,   -27.6, ,    -6.6, ,     1.0, ,    11.3, ,    14.4, ,    13.6, ,     5.7, ,     3.1, ,   -11.5, ,   -23.0, ,    -6.6, ,   -27.0, ,   -11.1, ,    13.1, ,     -.9, 
1964,   -29.8, ,   -25.2, ,   -29.6, ,   -13.1, ,     2.2, ,     8.3, ,    16.0, ,    13.3, ,     5.4, ,     -.1, ,   -13.3, ,   -25.6, ,    -7.6, ,   -26.0, ,   -13.5, ,    12.5, ,    -2.7, 
1965,   -28.8, ,   -35.3, ,   -20.2, ,    -7.5, ,     3.5, ,     8.5, ,    14.4, ,    12.7, ,     3.0, ,    -1.9, ,   -16.7, ,   -23.2, ,    -7.6, ,   -29.9, ,    -8.1, ,    11.9, ,    -5.2, 
1966,   -36.1, ,   -27.2, ,   -19.4, ,   -14.8, ,     3.2, ,    11.6, ,    14.2, ,    14.0, ,     8.4, ,    -5.7, ,   -22.5, ,   -21.8, ,    -8.0, ,   -28.8, ,   -10.3, ,    13.3, ,    -6.6, 
1967,   -28.5, ,   -32.4, ,   -27.4, ,   -13.4, ,      .0, ,     6.5, ,    13.1, ,    12.4, ,     7.5, ,      .1, ,   -10.1, ,   -19.9, ,    -7.7, ,   -27.6, ,   -13.6, ,    10.7, ,     -.8, 
1968,   -30.5, ,   -23.6, ,   -18.4, ,   -13.6, ,      .6, ,     9.1, ,    10.0, ,    10.3, ,     6.5, ,      .8, ,   -10.7, ,   -23.6, ,    -6.9, ,   -24.7, ,   -10.5, ,     9.8, ,    -1.1, 
1969,   -31.8, ,   -20.2, ,   -20.7, ,    -5.5, ,     -.1, ,     5.4, ,    13.6, ,    13.3, ,     5.2, ,     -.7, ,   -14.7, ,   -15.6, ,    -6.0, ,   -25.2, ,    -8.8, ,    10.8, ,    -3.4, 
1970,   -28.8, ,   -29.7, ,   -21.2, ,    -5.7, ,     1.7, ,    11.4, ,    15.5, ,    12.5, ,     6.5, ,     -.9, ,   -13.9, ,   -26.9, ,    -6.6, ,   -24.7, ,    -8.4, ,    13.1, ,    -2.8, 
1971,   -30.7, ,   -24.4, ,   -19.7, ,    -5.5, ,     5.1, ,    12.0, ,    14.9, ,    14.1, ,     7.4, ,      .5, ,   -15.1, ,   -25.3, ,    -5.6, ,   -27.3, ,    -6.7, ,    13.7, ,    -2.4, 
1972,   -33.2, ,   -32.7, ,   -18.0, ,   -13.5, ,     1.2, ,     9.5, ,    12.7, ,    13.6, ,     2.1, ,    -5.2, ,   -15.9, ,   -27.9, ,    -8.9, ,   -30.4, ,   -10.1, ,    11.9, ,    -6.3, 
1973,   -25.0, ,   -30.3, ,   -18.3, ,    -8.3, ,     8.6, ,    13.3, ,    17.8, ,    14.1, ,     8.5, ,     2.2, ,   -13.1, ,   -23.7, ,    -4.5, ,   -27.7, ,    -6.0, ,    15.1, ,     -.8, 
1974,   -31.4, ,   -29.1, ,   -26.3, ,   -10.3, ,     3.0, ,    11.5, ,    14.8, ,    11.8, ,     3.9, ,    -5.8, ,   -10.2, ,   -19.4, ,    -7.3, ,   -28.1, ,   -11.2, ,    12.7, ,    -4.0, 
1975,   -33.3, ,   -26.7, ,   -24.1, ,    -4.1, ,     4.5, ,    12.2, ,    15.9, ,    13.6, ,     7.7, ,    -1.6, ,   -14.5, ,   -23.9, ,    -6.2, ,   -26.5, ,    -7.9, ,    13.9, ,    -2.8, 
1976,   -27.9, ,   -28.6, ,   -24.5, ,    -1.3, ,     5.8, ,    10.6, ,    15.4, ,    13.3, ,     8.3, ,    -1.3, ,   -12.7, ,   -26.8, ,    -5.8, ,   -26.8, ,    -6.7, ,    13.1, ,    -1.9, 
1977,   -25.8, ,   -17.6, ,   -19.3, ,    -7.8, ,     5.3, ,    11.1, ,    14.1, ,    10.3, ,     8.8, ,      .0, ,   -14.6, ,   -29.2, ,    -5.4, ,   -23.4, ,    -7.3, ,    11.8, ,    -1.9, 
1978,   -28.7, ,   -20.3, ,   -22.7, ,   -11.2, ,     1.6, ,     8.1, ,    11.0, ,    11.7, ,     6.4, ,    -5.4, ,   -16.1, ,   -24.3, ,    -7.5, ,   -26.1, ,   -10.8, ,    10.3, ,    -5.0, 
1979,   -26.0, ,   -37.3, ,   -24.8, ,   -12.8, ,      .5, ,     7.4, ,    15.2, ,    10.7, ,     5.7, ,    -2.7, ,   -10.4, ,   -17.2, ,    -7.6, ,   -29.2, ,   -12.4, ,    11.1, ,    -2.5, 
1980,   -27.5, ,   -20.7, ,   -19.9, ,    -3.7, ,     5.6, ,    10.1, ,    14.3, ,    13.7, ,     4.8, ,      .1, ,   -13.8, ,   -28.9, ,    -5.5, ,   -21.8, ,    -6.0, ,    12.7, ,    -3.0, 
1981,   -18.4, ,   -22.3, ,   -14.8, ,   -12.7, ,     4.5, ,     9.2, ,    14.2, ,    16.0, ,     6.3, ,    -1.5, ,    -9.2, ,   -20.3, ,    -4.1, ,   -23.2, ,    -7.7, ,    13.1, ,    -1.5, 
1982,   -35.4, ,   -25.6, ,   -23.6, ,   -13.0, ,      .1, ,     8.2, ,    12.9, ,    11.5, ,     5.9, ,      .2, ,   -19.0, ,   -27.7, ,    -8.8, ,   -27.1, ,   -12.2, ,    10.9, ,    -4.3, 
1983,   -26.6, ,   -29.3, ,   -22.2, ,    -8.4, ,    -6.0, ,     9.3, ,    14.3, ,    14.1, ,     6.9, ,     -.9, ,    -7.8, ,   -25.4, ,    -6.8, ,   -27.9, ,   -12.2, ,    12.6, ,     -.6, 
1984,   -28.3, ,   -20.4, ,   -20.4, ,    -3.4, ,     4.7, ,    10.8, ,    15.3, ,    15.3, ,     4.8, ,    -3.4, ,   -16.1, ,   -29.2, ,    -5.9, ,   -24.7, ,    -6.4, ,    13.8, ,    -4.9, 
1985,   -26.1, ,   -31.9, ,   -19.6, ,    -9.5, ,     3.8, ,     9.2, ,    11.5, ,    10.9, ,     5.6, ,    -3.7, ,   -17.8, ,   -22.6, ,    -7.5, ,   -29.1, ,    -8.4, ,    10.5, ,    -5.3, 
1986,   -28.1, ,   -23.9, ,   -20.8, ,   -10.6, ,     2.9, ,     7.5, ,    14.0, ,    13.1, ,     6.2, ,    -1.6, ,   -18.0, ,   -19.5, ,    -6.6, ,   -24.9, ,    -9.5, ,    11.5, ,    -4.5, 
1987,   -19.7, ,   -19.3, ,   -21.3, ,    -5.9, ,     1.4, ,     9.1, ,    13.9, ,    10.0, ,     9.2, ,    -2.5, ,   -12.7, ,   -15.7, ,    -4.5, ,   -19.5, ,    -8.6, ,    11.0, ,    -2.0, 
1988,   -29.8, ,   -28.5, ,   -16.4, ,    -8.9, ,    -3.7, ,     9.8, ,    13.2, ,    14.0, ,     8.1, ,    -2.0, ,   -16.4, ,   -25.1, ,    -7.1, ,   -24.7, ,    -9.7, ,    12.3, ,    -3.4, 
1989,   -28.9, ,   -21.4, ,   -26.4, ,   -11.1, ,      .8, ,    10.6, ,    15.5, ,    15.3, ,     6.5, ,    -1.5, ,   -18.9, ,   -27.7, ,    -7.3, ,   -25.1, ,   -12.2, ,    13.8, ,    -4.6, 
1990,   -30.0, ,   -30.7, ,   -16.0, ,    -9.7, ,      .2, ,     9.2, ,    14.3, ,    10.4, ,     6.4, ,    -3.9, ,   -19.0, ,   -28.7, ,    -8.1, ,   -29.5, ,    -8.5, ,    11.3, ,    -5.5, 
1991,   -29.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1992, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1993, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1994, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.2,E,   -11.1,E,   -17.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1995,   -19.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.8,E,    11.5,E,    12.9,E,     6.3,E,     -.8,E,   -13.7, ,   -22.2, , -9999.9,M, -9999.9,M, -9999.9,M,    12.1,E,    -2.7,E
