2202200,FORT SMITH     ,NT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2202200,FORT SMITH     ,NT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.8, ,     5.7, , -9999.9,M, -9999.9,M,   -17.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1914,   -25.6, ,   -29.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.2, ,     6.2, ,      .8, ,   -12.9, ,   -25.5, , -9999.9,M,   -24.0, , -9999.9,M, -9999.9,M,    -2.0, 
1915,   -25.5, ,   -20.1, ,   -12.2, ,     4.2, ,     7.1, ,     7.6, ,    15.3, ,    15.9, ,     5.1, ,    -1.9, ,   -11.5, ,   -17.7, ,    -2.8, ,   -23.7, ,     -.3, ,    12.9, ,    -2.8, 
1916,   -32.2, ,   -25.0, ,   -21.4, ,    -1.9, ,     6.0, ,    12.4, ,    14.7, ,    10.8, ,     7.0, ,    -3.3, ,   -10.6, ,   -28.0, ,    -6.0, ,   -25.0, ,    -5.8, ,    12.6, ,    -2.3, 
1917,   -32.7, ,   -28.2, ,   -17.4, ,    -5.0, ,     6.0, ,     8.9, ,    14.7, ,    11.3, ,     7.8, ,    -3.1, ,    -5.1, ,   -32.6, ,    -6.3, ,   -29.6, ,    -5.5, ,    11.6, ,     -.1, 
1918,   -29.0, ,   -27.5, ,   -17.9, ,    -4.9, ,     2.0, ,    10.2, ,    12.4, ,    12.1, ,     7.4, ,    -2.0, ,   -10.3, ,   -19.1, ,    -5.6, ,   -29.7, ,    -6.9, ,    11.6, ,    -1.6, 
1919,   -22.1, ,   -25.5, ,   -23.4, ,      .3, ,     4.8, ,    11.5, ,    13.6, ,    14.8, ,     8.1, ,    -7.9, ,   -17.3, ,   -22.0, ,    -5.4, ,   -22.2, ,    -6.1, ,    13.3, ,    -5.7, 
1920,   -25.7, ,   -13.3, ,   -16.1, ,    -6.8, ,     6.4, ,    11.0, ,    18.3, , -9999.9,M,     6.8, ,      .2, ,   -10.7, ,   -22.7, , -9999.9,M,   -20.3, ,    -5.5, , -9999.9,M,    -1.2, 
1921,   -24.9, ,   -21.3, ,   -21.5, ,     -.3, ,     7.5, ,    14.4, ,    16.4, ,    11.6, ,     7.3, ,     2.5, ,   -15.9, ,   -19.5, ,    -3.6, ,   -23.0, ,    -4.8, ,    14.1, ,    -2.0, 
1922,   -23.6, ,   -27.7, ,   -19.4, ,    -4.1, ,     6.8, ,    10.8, ,    16.0, ,    13.9, ,     6.8, ,    -1.8, ,   -10.3, ,   -26.5, ,    -4.9, ,   -23.6, ,    -5.6, ,    13.6, ,    -1.8, 
1923,   -25.5, ,   -24.3, ,   -23.2, ,    -6.8, ,     3.7, ,    15.7, ,    15.2, ,    11.5, ,     9.1, ,     3.7, ,    -7.2, ,   -22.7, ,    -4.2, ,   -25.4, ,    -8.8, ,    14.1, ,     1.9, 
1924,   -29.6, ,   -17.6, ,    -9.9, ,    -8.3, ,     6.9, ,    10.3, ,    15.6, , -9999.9,M, -9999.9,M,     2.5, ,   -13.3, ,   -26.1, , -9999.9,M,   -23.3, ,    -3.8, , -9999.9,M, -9999.9,M
