2202400,HAY RIVER      ,NT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2202400,HAY RIVER      ,NT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1893, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.2,a,   -15.6,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1894,   -31.8,a,   -23.7,a, -9999.9,M,   -10.8,a,     3.7,a,     9.3,a, -9999.9,M, -9999.9,M, -9999.9,M,      .0,a,   -15.4,a,   -22.5,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1895, -9999.9,M,   -21.9,a,   -16.1,a,      .6,a,     3.2,a,    10.4,a,    14.9,a,    11.5,a,     5.7,a,     -.1,a,   -16.7,a,   -23.3,a, -9999.9,M, -9999.9,M,    -4.1,a,    12.3,a,    -3.7,a
1896,   -32.6,a,   -23.4,a,   -16.3,a,    -9.5,a,     3.7,a,     9.3,a,    14.0,a,    13.0,a,     6.9,a,      .1,a,   -15.7,a,     -.1,a,    -4.2,a,   -26.4,a,    -7.4,a,    12.1,a,    -2.9,a
1897, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.6,a,   -17.3,a,   -20.3,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1898,   -21.4,a,   -26.4,a,   -15.3,a,     1.1,a,     7.6,a,     8.7,a,    14.0,a,    13.3,a,     8.3,a,    -4.3,a,   -20.8,a,   -19.9,a,    -4.6,a,   -22.7,a,    -2.2,a,    12.0,a,    -5.6,a
1899,   -26.9,a,   -29.9,a,   -24.7,a,    -8.1,a,     1.1,a, -9999.9,M,    13.3,a,    10.2,a,     7.4,a,    -2.7,a,    -8.5,a,   -22.1,a, -9999.9,M,   -25.6,a,   -10.6,a, -9999.9,M,    -1.3,a
1900,   -28.3,a,   -28.3,a,   -17.6,a,      .7,a,     5.8,a,    10.8,a,    13.6,a,    12.2,a,     7.2,a,    -1.0,a,   -14.9,a,   -21.1,a,    -5.1,a,   -26.2,a,    -3.7,a,    12.2,a,    -2.9,a
1901,   -27.5,a,   -22.8,a,   -16.0,a,    -5.2,a,     3.5,a,     7.9,a,    12.5,a,    13.1,a,     6.7,a,     1.6,a,   -18.1,a,   -22.1,a,    -5.5,a,   -23.8,a,    -5.9,a,    11.2,a,    -3.3,a
1902,   -25.1,a,   -16.7,a,   -20.4,a,    -8.3,a,     2.6,a,     5.1,a, -9999.9,M,    12.9,a,     5.4,a,     1.9,a,   -16.9,a,   -23.5,a, -9999.9,M,   -21.3,a,    -8.7,a, -9999.9,M,    -3.2,a
1903,   -24.8,a,   -18.3,a,   -17.4,a,    -8.0,a,      .7,a,     9.8,a,    15.0,a,    14.5,a,     1.5,a,    -1.8,a,   -12.4,a,   -20.6,a,    -5.2,a,   -22.2,a,    -8.2,a,    13.1,a,    -4.2,a
1904,   -27.4,a,   -29.7,a,   -18.9,a,     1.2,a,     3.1,a,     8.2,a,    13.5,a,    12.1,a,     4.2,a,     1.7,a,    -9.4,a,   -22.5,a,    -5.3,a,   -25.9,a,    -4.9,a,    11.3,a,    -1.2,a
1905,   -23.7,a,   -20.0,a,   -15.1,a,    -2.4,a,     5.5,a,     9.4,a,    14.3,a,    13.3,a,     6.7,a,    -3.2,a,    -9.0,a,   -23.5,a,    -4.0,a,   -22.1,a,    -4.0,a,    12.3,a,    -1.8,a
1906,   -30.2,a,   -26.4,a,   -13.9,a,    -2.2,a,     4.0,a,     8.6,a,    16.9,a,     9.3,a,     5.3,a,      .6,a,   -11.7,a,   -26.2,a,    -5.5,a,   -26.7,a,    -4.0,a,    11.6,a,    -1.9,a
1907,   -29.0,a,   -25.1,a,   -19.2,a,   -12.2,a,    -2.4,a,     5.3,a,    10.3,a,     8.9,a,     4.5,a,      .4,a,   -11.5,a,   -22.3,a,    -7.7,a,   -26.8,a,   -11.3,a,     8.2,a,    -2.2,a
1908,   -24.1,a,   -22.2,a,   -26.3,a,   -10.3,a,     3.2,a,     7.8,a, -9999.9,M,    13.1, ,     7.0, ,      .0, ,   -15.1, ,   -23.8, , -9999.9,M,   -22.9,a,   -11.1,a, -9999.9,M,    -2.7, 
1909,   -31.2, ,   -29.8, ,   -14.7, ,   -12.4, ,     1.6, ,    11.5, ,    14.8, ,    12.8, ,     8.6, ,     -.8, ,   -19.1, , -9999.9,M, -9999.9,M,   -28.3, ,    -8.5, ,    13.0, ,    -3.8, 
