2203914,TUKTOYAKTUK    ,NT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2203914,TUKTOYAKTUK    ,NT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1957, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.8, ,    -6.3, ,   -22.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.6, 
1958,   -26.3, ,   -33.7, ,   -24.7, ,   -17.4, ,    -4.5, ,     6.8, ,    11.5, ,    12.7, ,     5.8, ,    -7.2, ,   -19.4, ,   -25.0, ,   -10.1, , -9999.9,M,   -15.5, ,    10.3, ,    -6.9, 
1959,   -29.3, ,   -24.0, ,   -29.6, ,   -17.2, ,    -7.3, ,     3.1, ,     8.6, ,     5.9, ,     1.2, ,    -9.9, ,   -22.0, ,   -26.4, ,   -12.2, ,   -26.1, ,   -18.0, ,     5.9, ,   -10.2, 
1960,   -32.6, , -9999.9,M,   -26.0, ,   -18.6, ,    -4.8, ,     4.9, ,     7.6, ,     7.9, ,     1.8, ,    -7.4, ,   -23.9, ,   -22.8, , -9999.9,M, -9999.9,M,   -16.5, ,     6.8, ,    -9.8, 
1961,   -28.3, ,   -30.7, ,   -29.5, ,   -22.0, ,    -4.2, ,     6.2, ,    11.8, ,     8.2, ,     1.8, ,   -10.2, ,   -22.6, ,   -30.2, ,   -12.5, ,   -27.3, ,   -18.6, ,     8.7, ,   -10.3, 
1962, -9999.9,M,   -23.7, ,   -27.5, ,   -16.7, ,    -8.3, ,     5.8, ,    10.7, ,    12.2, ,     2.7, ,    -3.9, ,   -19.3, ,   -21.3, , -9999.9,M, -9999.9,M,   -17.5, ,     9.6, ,    -6.8, 
1963,   -29.9, ,   -28.5, ,   -27.2, ,   -12.4, ,    -2.1, ,     5.7, ,    11.8, ,     9.7, ,     1.6, ,    -7.7, ,   -22.3, ,   -20.1, ,   -10.1, ,   -26.6, ,   -13.9, ,     9.1, ,    -9.5, 
1964,   -29.1, ,   -29.7, ,   -30.3, ,   -23.1, ,    -6.6, ,     2.6, ,     8.3, ,     8.2, ,     1.1, ,    -7.0, ,   -18.5, ,   -28.1, ,   -12.7, ,   -26.3, ,   -20.0, ,     6.4, ,    -8.1, 
1965,   -30.3, ,   -34.6, ,   -20.3, ,   -13.6, ,    -4.5, ,     2.7, ,    11.6, ,     9.9, ,     1.7, ,    -9.5, ,   -16.2, ,   -24.5, ,   -10.6, ,   -31.0, ,   -12.8, ,     8.1, ,    -8.0, 
1966,   -34.0, ,   -30.2, ,   -25.3, ,   -21.1, ,    -2.9, ,     6.0, ,    11.1, ,     7.0, ,     4.5, ,    -7.9, ,   -21.1, ,   -23.2, ,   -11.4, ,   -29.6, ,   -16.4, ,     8.0, ,    -8.2, 
