2300500,BAKER LAKE     ,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2300500,BAKER LAKE     ,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1946, -9999.9,M, -9999.9,M,   -23.5, ,   -17.4, ,    -7.4, ,      .6, ,    10.2, ,    10.8, ,      .5, ,   -10.1, ,   -21.3, ,   -26.4, , -9999.9,M, -9999.9,M,   -16.1, ,     7.2, ,   -10.3, 
1947,   -32.3, , -9999.9,M,   -23.3, ,   -20.5, , -9999.9,M,      .5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1949, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -20.3, ,   -29.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1950,   -40.8, ,   -33.2, ,   -26.6, ,   -18.8, ,    -7.3, ,      .4, ,     7.7, ,     8.2, ,     4.1, ,    -9.3, ,   -20.3, ,   -24.6, ,   -13.4, ,   -34.4, ,   -17.6, ,     5.4, ,    -8.5, 
1951, -9999.9,M,   -36.0, ,   -27.1, ,   -16.7, ,    -4.4, ,     4.2, ,    10.6, ,    10.6, ,     1.8, ,    -7.9, ,   -20.6, ,   -31.2, , -9999.9,M, -9999.9,M,   -16.1, ,     8.5, ,    -8.9, 
1952,   -34.3, ,   -32.7, ,   -23.6, ,   -11.2, ,     -.3, ,     5.3, ,     9.9, ,     8.6, ,     1.9, ,   -10.8, ,   -21.9, ,   -23.8, ,   -11.1, ,   -32.7, ,   -11.7, ,     7.9, ,   -10.3, 
1953,   -35.9, ,   -26.4, ,   -24.6, ,   -12.7, ,    -5.8, ,     3.3, ,    10.0, ,    11.3, ,     2.7, ,    -7.7, ,   -16.3, ,   -30.8, ,   -11.1, ,   -28.7, ,   -14.4, ,     8.2, ,    -7.1, 
1954,   -37.4, ,   -30.6, ,   -27.0, ,   -19.1, ,    -5.2, ,     3.9, ,    12.8, ,    13.6, ,     4.1, ,    -5.9, ,   -18.0, ,   -28.4, ,   -11.4, ,   -32.9, ,   -17.1, ,    10.1, ,    -6.6, 
1955,   -31.9, ,   -37.9, ,   -29.7, ,   -12.0, ,    -5.4, ,     6.1, ,    11.4, ,     9.3, ,     2.1, ,    -4.4, ,   -19.0, ,   -28.1, ,   -11.6, ,   -32.7, ,   -15.7, ,     8.9, ,    -7.1, 
