2300707,CHESTERFIELD   ,NU, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2300707,CHESTERFIELD   ,NU, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1930, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.9, ,   -16.1, ,   -24.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1931,   -30.7, ,   -27.0, ,   -28.5, ,   -16.7, ,    -7.0, ,     3.2, ,    10.2, ,    10.3, ,     4.4, ,    -1.8, ,   -16.7, ,   -24.1, ,   -10.4, ,   -27.3, ,   -17.4, ,     7.9, ,    -4.7, 
1932,   -31.4, ,   -37.4, ,   -28.1, ,   -16.3, ,    -5.5, ,     2.2, ,    10.3, ,     9.6, ,     4.4, ,    -5.2, ,   -17.8, ,   -29.2, ,   -12.0, ,   -31.0, ,   -16.6, ,     7.4, ,    -6.2, 
1933,   -32.4, ,   -32.9, ,   -25.9, ,   -15.7, ,    -7.9, ,     1.1, ,     8.6, ,     8.9, ,     3.9, ,    -9.0, ,   -25.1, ,   -35.1, ,   -13.5, ,   -31.5, ,   -16.5, ,     6.2, ,   -10.1, 
1934,   -31.3, ,   -32.9, ,   -30.4, ,   -17.6, ,    -8.6, ,     2.2, ,     8.8, ,     7.4, ,     1.0, ,    -5.7, ,   -16.9, ,   -30.4, ,   -12.9, ,   -33.1, ,   -18.9, ,     6.1, ,    -7.2, 
1935,   -43.0, ,   -30.6, ,   -28.6, ,   -16.8, ,    -4.1, ,     4.2, ,    10.2, ,     8.6, ,     3.6, ,    -8.0, ,   -24.6, ,   -24.2, ,   -12.8, ,   -34.7, ,   -16.5, ,     7.7, ,    -9.7, 
1936,   -34.2, ,   -31.4, ,   -23.4, ,   -19.4, ,    -9.4, ,     2.8, ,     8.9, ,     8.9, ,     1.3, ,   -12.5, ,   -22.9, ,   -29.0, ,   -13.4, ,   -29.9, ,   -17.4, ,     6.9, ,   -11.4, 
1937,   -34.7, ,   -30.5, ,   -21.5, ,   -11.0, ,    -2.6, ,     3.1, ,     8.6, ,     7.5, ,     2.0, ,    -4.9, ,   -21.3, ,   -28.1, ,   -11.1, ,   -31.4, ,   -11.7, ,     6.4, ,    -8.1, 
1938,   -27.6, ,   -31.8, ,   -23.9, ,   -20.4, ,    -2.2, ,     5.0, ,    10.9, ,     7.8, ,     4.7, ,    -4.7, ,   -16.6, ,   -22.6, ,   -10.1, ,   -29.2, ,   -15.5, ,     7.9, ,    -5.5, 
1939,   -31.2, ,   -35.8, ,   -33.4, ,   -13.9, ,    -4.8, ,     3.5, ,     9.0, ,     7.5, ,     1.4, ,    -8.9, ,   -15.9, ,   -21.9, ,   -12.0, ,   -29.9, ,   -17.4, ,     6.7, ,    -7.8, 
1940,   -21.4, ,   -29.6, ,   -23.8, ,   -15.1, ,    -5.1, ,     2.1, ,     8.8, ,     7.6, ,     5.4, ,    -4.9, ,   -20.3, ,   -28.1, ,   -10.4, ,   -24.3, ,   -14.7, ,     6.2, ,    -6.6, 
1941,   -29.1, ,   -26.3, ,   -24.9, ,   -19.5, ,    -5.9, ,     4.2, ,     9.0, ,     7.5, ,     1.6, , -9999.9,M,   -21.6, ,   -28.5, , -9999.9,M,   -27.8, ,   -16.8, ,     6.9, , -9999.9,M
1942,   -31.5, ,   -35.0, ,   -19.9, ,   -16.1, ,    -7.0, ,     -.2, ,     7.2, ,     6.6, ,     1.4, ,    -2.3, ,   -18.1, ,   -26.7, ,   -11.8, ,   -31.7, ,   -14.3, ,     4.5, ,    -6.3, 
1943,   -29.7, ,   -33.7, ,   -30.0, ,   -17.4, ,    -9.4, ,     2.9, ,     7.8, , -9999.9,M,     2.1, ,    -2.4, , -9999.9,M, -9999.9,M, -9999.9,M,   -30.0, ,   -18.9, , -9999.9,M, -9999.9,M
1944, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.4, ,     9.7, ,     2.6, ,    -6.6, ,   -15.0, ,   -24.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.3, 
1945,   -29.3, ,   -28.0, ,   -22.0, ,   -19.6, ,    -7.7, ,      .5, ,     8.0, ,     7.8, , -9999.9,M, -9999.9,M,   -17.6, ,   -29.2, , -9999.9,M,   -27.2, ,   -16.4, ,     5.4, , -9999.9,M
1946,   -32.9, ,   -36.1, ,   -23.4, ,   -16.5, ,    -5.3, ,     1.6, ,     9.6, ,     9.2, ,     1.2, ,    -7.4, ,   -18.5, ,   -23.5, ,   -11.8, ,   -32.7, ,   -15.1, ,     6.8, ,    -8.2, 
1947,   -32.0, ,   -25.1, ,   -21.6, ,   -20.4, ,    -7.4, ,      .6, ,     7.6, ,     6.8, ,     1.4, ,    -2.2, ,    -8.8, ,   -21.8, ,   -10.2, ,   -26.9, ,   -16.5, ,     5.0, ,    -3.2, 
1948,   -31.5, ,   -35.0, ,   -30.0, ,   -18.6, ,    -6.5, ,     3.4, ,     9.5, ,    10.9, ,     6.0, ,    -3.0, ,   -12.0, ,   -25.2, ,   -11.0, ,   -29.4, ,   -18.4, ,     7.9, ,    -3.0, 
1949,   -33.2, ,   -39.1, ,   -24.7, ,   -15.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.4, ,   -17.9, ,   -26.8, , -9999.9,M,   -32.5, , -9999.9,M, -9999.9,M, -9999.9,M
1950,   -40.1, ,   -33.4, ,   -25.7, ,   -16.9, ,    -6.2, ,     1.0, ,     8.0, ,     8.5, ,     4.0, ,    -9.0, ,   -18.2, ,   -22.5, ,   -12.5, ,   -33.4, ,   -16.3, ,     5.8, ,    -7.7, 
1951,   -31.7, ,   -34.3, ,   -22.2, ,   -14.2, ,    -3.8, ,     3.1, ,     9.4, ,    10.6, ,     2.9, ,    -6.5, ,   -16.8, ,   -29.8, ,   -11.1, ,   -29.5, ,   -13.4, ,     7.7, ,    -6.8, 
