2301000,CORAL HARBOUR  ,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2301000,CORAL HARBOUR  ,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1945, -9999.9,M, -9999.9,M,   -21.4, ,   -17.9, ,    -6.1, ,     1.6, ,     8.4, ,     7.4, ,     -.8, ,    -9.1, ,   -17.5, ,   -25.8, , -9999.9,M, -9999.9,M,   -15.1, ,     5.8, ,    -9.1, 
1946,   -34.5, ,   -32.8, ,   -23.7, ,   -18.3, ,    -4.1, ,      .5, ,     7.5, ,     8.3, ,    -1.0, ,    -8.2, ,   -15.7, ,   -23.0, ,   -12.1, ,   -31.0, ,   -15.4, ,     5.4, ,    -8.3, 
1947,   -26.9, ,   -18.6, ,   -21.3, ,   -18.5, ,    -8.4, ,      .1, ,     6.0, ,     5.8, ,     -.8, ,    -6.4, ,    -8.3, ,   -21.8, ,    -9.9, ,   -22.8, ,   -16.1, ,     4.0, ,    -5.2, 
1948,   -32.1, ,   -33.2, ,   -30.0, ,   -19.0, ,    -6.4, ,     3.5, ,    10.6, ,     9.3, ,     4.1, ,    -5.1, ,   -12.5, ,   -26.3, ,   -11.4, ,   -29.0, ,   -18.5, ,     7.8, ,    -4.5, 
1949,   -32.5, ,   -39.4, ,   -24.7, ,   -16.0, ,    -7.8, ,     3.3, ,     7.9, ,     7.3, ,     1.1, ,    -6.5, ,   -20.2, ,   -24.0, ,   -12.6, ,   -32.7, ,   -16.2, ,     6.2, ,    -8.5, 
1950,   -39.7, ,   -30.7, ,   -22.0, , -9999.9,M,    -6.6, ,     2.6, ,     7.1, ,     6.6, ,      .3, ,   -10.7, ,   -19.2, ,   -19.5, , -9999.9,M,   -31.5, , -9999.9,M,     5.4, ,    -9.9, 
1951,   -29.0, ,   -33.2, ,   -20.6, ,   -14.4, ,    -4.8, ,     3.0, ,     8.1, ,     7.2, ,     1.0, ,    -8.0, ,   -17.8, ,   -29.7, ,   -11.5, ,   -27.2, ,   -13.3, ,     6.1, ,    -8.3, 
1952,   -30.6, ,   -31.1, ,   -22.1, ,   -13.2, ,    -1.5, ,     4.7, ,     8.4, ,     6.5, ,      .8, ,   -10.2, ,   -16.3, ,   -21.3, ,   -10.5, ,   -30.5, ,   -12.3, ,     6.5, ,    -8.6, 
1953,   -31.2, ,   -27.2, ,   -20.9, ,    -6.7, ,    -4.5, ,     2.7, ,     7.7, ,     8.6, ,     1.2, ,    -8.8, ,   -16.0, ,   -32.4, ,   -10.6, ,   -26.6, ,   -10.7, ,     6.3, ,    -7.9, 
1954,   -38.4, ,   -31.0, ,   -22.3, ,   -18.7, ,    -5.6, ,     2.1, ,    11.0, ,    10.4, ,     2.1, ,    -8.6, ,   -19.9, ,   -26.0, ,   -12.1, ,   -33.9, ,   -15.5, ,     7.8, ,    -8.8, 
