2301102,ENNADAI LAKE   ,NU, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2301102,ENNADAI LAKE   ,NU, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1949, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -14.8, ,   -26.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1950,   -38.8, ,   -31.6, ,   -24.7, ,   -14.7, ,    -3.6, ,     2.6, ,    10.5, ,     9.8, ,     5.4, ,    -7.8, ,   -18.9, ,   -24.4, ,   -11.4, ,   -32.2, ,   -14.3, ,     7.6, ,    -7.1, 
1951,   -29.4, ,   -28.9, ,   -25.4, ,   -12.8, ,    -1.1, ,     7.0, ,    12.3, ,    12.9, ,     3.8, ,    -6.7, ,   -19.5, ,   -28.8, ,    -9.7, ,   -27.6, ,   -13.1, ,    10.7, ,    -7.5, 
1952,   -33.2, ,   -28.8, ,   -18.4, ,    -5.8, ,     3.6, ,     9.1, ,    11.5, ,    10.1, ,     3.5, ,    -6.9, ,   -16.3, ,   -20.4, ,    -7.7, ,   -30.3, ,    -6.9, ,    10.2, ,    -6.6, 
1953,   -34.4, ,   -22.5, ,   -22.0, ,   -12.9, ,    -5.5, ,     4.7, ,    11.3, ,    14.5, ,     3.9, ,    -3.5, ,   -10.4, ,   -25.5, ,    -8.5, ,   -25.8, ,   -13.5, ,    10.2, ,    -3.3, 
1954,   -34.6, ,   -24.3, ,   -23.0, ,   -17.5, ,    -1.9, ,     8.5, ,    16.3, ,    13.7, ,     6.0, ,    -3.0, ,   -14.9, ,   -21.9, ,    -8.1, ,   -28.1, ,   -14.1, ,    12.8, ,    -4.0, 
1955,   -31.0, ,   -32.3, ,   -29.4, ,   -10.5, ,    -2.2, ,    10.8, ,    13.3, ,    13.0, ,     3.3, ,    -3.2, ,   -16.3, ,   -27.2, ,    -9.3, ,   -28.4, ,   -14.0, ,    12.4, ,    -5.4, 
1956,   -27.4, ,   -33.4, ,   -23.1, ,   -14.7, ,    -7.8, ,     5.5, ,    14.2, ,    10.5, ,     1.9, ,    -7.6, ,   -17.3, ,   -29.4, ,   -10.7, ,   -29.3, ,   -15.2, ,    10.1, ,    -7.7, 
1957,   -31.0, ,   -31.0, ,   -21.3, ,   -13.8, ,    -6.5, ,     3.3, ,    12.1, ,    11.9, ,     5.1, ,    -4.7, ,   -19.3, ,   -30.1, ,   -10.4, ,   -30.5, ,   -13.9, ,     9.1, ,    -6.3, 
1958,   -26.3, ,   -30.7, ,   -17.0, ,   -14.1, ,    -4.5, ,     3.6, ,    11.1, ,    10.5, ,     4.7, ,    -2.1, ,   -16.3, ,   -29.6, ,    -9.2, ,   -29.0, ,   -11.9, ,     8.4, ,    -4.6, 
1959,   -30.5, ,   -27.6, ,   -21.8, ,   -15.2, ,    -7.0, ,     4.4, ,    12.3, ,     9.2, ,     4.3, ,    -8.0, ,   -19.4, ,   -17.8, ,    -9.8, ,   -29.2, ,   -14.7, ,     8.6, ,    -7.7, 
