230N002,LUPIN          ,NU, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
230N002,LUPIN          ,NU, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1959,   -32.0, ,   -28.4, ,   -26.7, ,   -18.4, ,   -11.9, ,      .0, ,     6.6, ,     4.6, ,     2.0, ,   -11.4, ,   -21.9, ,   -22.4, ,   -13.3, , -9999.9,M,   -19.0, ,     3.7, ,   -10.4, 
1960,   -31.7, ,   -29.9, ,   -30.0, ,   -16.4, ,    -4.1, ,     7.8, ,     8.0, ,     9.0, ,     1.4, ,    -9.5, ,   -24.8, ,   -26.4, ,   -12.2, ,   -28.0, ,   -16.8, ,     8.3, ,   -11.0, 
1961,   -32.9, ,   -30.2, ,   -31.9, ,   -22.0, ,    -8.0, ,     6.8, ,    12.5, ,     8.4, ,    -1.1, ,   -11.9, ,   -20.3, ,   -32.6, ,   -13.6, ,   -29.8, ,   -20.6, ,     9.2, ,   -11.1, 
1962,   -31.1, ,   -36.1, ,   -28.2, ,   -19.8, ,   -10.6, ,     6.0, ,     9.6, ,     9.4, ,     2.8, ,    -5.9, ,   -22.5, ,   -26.2, ,   -12.7, ,   -33.3, ,   -19.5, ,     8.3, ,    -8.5, 
1963,   -32.3, ,   -29.8, ,   -31.9, ,   -13.9, ,    -6.8, ,     5.0, ,     9.2, ,     9.3, ,     1.5, ,    -4.4, ,   -19.3, ,   -24.2, ,   -11.5, ,   -29.4, ,   -17.5, ,     7.8, ,    -7.4, 
1964,   -33.7, ,   -30.4, ,   -32.4, ,   -20.3, ,    -4.1, ,     3.0, ,    10.7, ,    10.3, ,     2.0, ,    -6.6, ,   -18.0, ,   -29.0, ,   -12.4, ,   -29.4, ,   -18.9, ,     8.0, ,    -7.5, 
1965,   -31.6, ,   -38.5, ,   -23.8, ,   -15.4, ,    -5.9, ,     2.6, ,     9.4, ,     8.6, ,    -1.4, ,    -8.4, ,   -20.2, ,   -27.5, ,   -12.7, ,   -33.0, ,   -15.0, ,     6.9, ,   -10.0, 
1966,   -38.5, ,   -30.8, ,   -26.2, ,   -21.6, ,    -3.5, ,     7.8, ,    11.5, ,    10.8, ,     4.4, ,   -11.5, ,   -25.4, ,   -25.1, ,   -12.3, ,   -32.3, ,   -17.1, ,    10.0, ,   -10.8, 
1967,   -31.4, ,   -34.1, ,   -28.7, ,   -19.0, ,    -8.2, ,     1.4, ,     8.5, ,     8.1, ,     2.7, ,    -4.8, ,   -18.8, ,   -24.5, ,   -12.4, ,   -30.2, ,   -18.6, ,     6.0, ,    -7.0, 
1968,   -33.6, ,   -28.0, ,   -21.6, ,   -19.7, ,    -6.5, ,     4.7, ,     7.5, ,     7.5, ,     2.9, ,    -5.0, ,   -17.4, ,   -27.8, ,   -11.4, ,   -28.7, ,   -15.9, ,     6.6, ,    -6.5, 
1969,   -33.8, ,   -25.5, ,   -25.6, ,   -14.2, ,    -8.5, ,      .5, ,     9.3, ,     9.3, ,     1.8, ,    -4.8, ,   -20.5, ,   -20.5, ,   -11.0, ,   -29.0, ,   -16.1, ,     6.4, ,    -7.8, 
1970,   -30.3, ,   -31.9, ,   -26.1, ,   -15.2, ,    -8.3, ,     5.9, ,    10.7, ,     9.0, ,     1.7, ,    -6.5, ,   -22.2, ,   -34.0, ,   -12.3, ,   -27.6, ,   -16.5, ,     8.5, ,    -9.0, 
1971,   -32.3, ,   -29.0, ,   -25.6, ,   -15.6, ,    -3.0, ,     6.1, ,     9.6, ,     9.1, ,     3.2, ,    -5.1, ,   -22.1, ,   -29.1, ,   -11.2, ,   -31.8, ,   -14.7, ,     8.3, ,    -8.0, 
1972,   -34.5, ,   -35.2, ,   -24.9, ,   -21.4, ,    -6.8, ,     4.2, ,     8.9, ,     9.3, ,    -2.2, ,   -11.7, ,   -21.0, ,   -29.2, ,   -13.7, ,   -32.9, ,   -17.7, ,     7.5, ,   -11.6, 
1973,   -29.0, ,   -30.7, ,   -27.0, ,   -16.5, ,      .4, ,     8.7, ,    12.9, ,    10.7, ,     5.6, ,    -2.9, ,   -19.6, ,   -26.5, ,    -9.5, ,   -29.6, ,   -14.4, ,    10.8, ,    -5.6, 
1974,   -31.3, ,   -31.3, ,   -29.8, ,   -19.5, ,    -4.0, ,     6.8, ,    11.1, ,     7.8, ,     -.3, ,   -14.1, ,   -18.4, ,   -25.9, ,   -12.4, ,   -29.7, ,   -17.8, ,     8.6, ,   -10.9, 
1975,   -37.1, ,   -29.8, ,   -27.9, ,   -12.0, ,    -1.9, ,     7.4, ,    10.8, ,    10.8, ,     4.0, ,    -7.6, ,   -20.7, ,   -28.6, ,   -11.1, ,   -30.9, ,   -13.9, ,     9.7, ,    -8.1, 
1976,   -31.4, ,   -31.3, ,   -28.8, ,    -9.3, ,    -1.4, ,     5.0, ,    12.0, ,     9.0, ,     3.8, ,    -6.3, ,   -18.5, ,   -30.5, ,   -10.6, ,   -30.4, ,   -13.2, ,     8.7, ,    -7.0, 
1977,   -27.8, ,   -25.2, ,   -25.7, ,   -15.6, ,    -3.3, ,     6.1, ,    10.0, ,     7.3, ,     4.6, ,    -5.9, ,   -20.4, ,   -30.0, ,   -10.5, ,   -27.8, ,   -14.9, ,     7.8, ,    -7.2, 
1978,   -29.7, ,   -24.6, ,   -27.9, ,   -18.6, ,    -8.3, ,     1.2, ,     5.5, ,     6.4, ,     2.1, ,   -14.1, ,   -22.2, ,   -27.5, ,   -13.1, ,   -28.1, ,   -18.3, ,     4.4, ,   -11.4, 
