2400305,ALERT          ,NU, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2400305,ALERT          ,NU, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1950, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.7, ,     1.5, ,   -10.6, ,   -21.7, ,   -27.3, ,   -32.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -19.9, 
1951,   -36.4, ,   -34.3, ,   -30.4, ,   -24.1, ,   -10.9, ,      .8, ,     1.8, ,     -.5, ,    -8.3, ,   -21.2, ,   -25.3, ,   -33.8, ,   -18.6, ,   -34.4, ,   -21.8, ,      .7, ,   -18.3, 
1952,   -33.5, ,   -32.9, ,   -33.9, ,   -24.6, ,    -7.0, ,    -1.1, ,     3.7, ,      .0, ,   -10.4, ,   -19.2, ,   -26.3, ,   -25.3, ,   -17.5, ,   -33.4, ,   -21.8, ,      .9, ,   -18.6, 
1953,   -30.8, ,   -33.0, ,   -31.8, ,   -17.3, ,   -10.9, ,     1.0, ,     4.9, ,     -.3, ,    -8.4, ,   -20.5, ,   -24.7, ,   -29.8, ,   -16.8, ,   -29.7, ,   -20.0, ,     1.9, ,   -17.9, 
1954,   -34.1, ,   -35.1, ,   -35.9, ,   -24.5, ,    -9.1, ,     -.9, ,     5.6, ,     3.0, ,    -6.7, ,   -20.2, ,   -25.1, ,   -30.9, ,   -17.8, ,   -33.0, ,   -23.2, ,     2.6, ,   -17.3, 
1955,   -30.4, ,   -34.9, ,   -34.1, ,   -23.8, ,   -14.6, ,     -.2, ,      .7, ,     1.0, ,    -9.0, ,   -15.0, ,   -26.6, ,   -31.5, ,   -18.2, ,   -32.1, ,   -24.2, ,      .5, ,   -16.9, 
1956,   -33.8, ,   -31.3, ,   -35.0, ,   -21.1, ,   -17.0, ,    -1.1, ,     6.1, ,     1.0, ,   -12.9, ,   -22.3, ,   -26.4, ,   -26.5, ,   -18.4, ,   -32.2, ,   -24.4, ,     2.0, ,   -20.5, 
1957,   -34.4, ,   -29.4, ,   -28.5, ,   -27.6, ,   -12.3, ,      .2, ,     5.2, ,     1.2, ,   -10.1, ,   -18.2, ,   -27.6, ,   -35.7, ,   -18.1, ,   -30.1, ,   -22.8, ,     2.2, ,   -18.6, 
1958,   -25.3, ,   -34.4, ,   -29.9, ,   -27.6, ,    -9.1, ,      .2, ,     4.5, ,     1.5, ,    -8.1, ,   -19.1, ,   -28.7, ,   -28.6, ,   -17.1, ,   -31.8, ,   -22.2, ,     2.1, ,   -18.6, 
1959,   -31.6, ,   -32.5, ,   -32.5, ,   -22.5, ,   -12.6, ,     -.6, ,     2.2, ,      .1, ,   -12.4, ,   -22.7, ,   -21.2, ,   -30.4, ,   -18.1, ,   -30.9, ,   -22.5, ,      .6, ,   -18.8, 
1960,   -29.0, ,   -31.7, ,   -36.2, ,   -27.2, ,    -9.6, ,      .3, ,     5.0, ,      .6, ,    -8.8, ,   -19.8, ,   -26.5, ,   -30.0, ,   -17.7, ,   -30.4, ,   -24.3, ,     2.0, ,   -18.4, 
1961,   -32.4, ,   -34.5, ,   -36.6, ,   -24.5, ,   -15.3, ,    -1.8, ,     5.0, ,    -2.3, ,   -12.5, ,   -19.3, ,   -23.4, ,   -28.8, ,   -18.9, ,   -32.3, ,   -25.5, ,      .3, ,   -18.4, 
1962,   -32.0, ,   -33.5, ,   -28.9, ,   -24.3, ,   -11.7, ,     1.2, ,     5.6, ,     1.7, ,   -10.3, ,   -20.4, ,   -24.6, ,   -28.2, ,   -17.1, ,   -31.4, ,   -21.6, ,     2.8, ,   -18.4, 
