2400570,BROUGHTON      ,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2400570,BROUGHTON      ,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1957, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -19.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1959,   -18.5, ,   -27.6, ,   -27.9, ,   -15.6, ,    -8.5, ,     1.7, ,     4.4, ,     4.2, ,      .1, ,   -10.9, ,   -13.6, ,   -19.6, ,   -11.0, , -9999.9,M,   -17.3, ,     3.4, ,    -8.1, 
1960,   -22.5, ,   -21.0, ,   -25.6, ,   -19.6, ,    -6.9, ,     -.9, ,     7.1, ,     3.8, ,    -2.3, ,    -4.9, ,   -12.7, ,   -21.8, ,   -10.6, ,   -21.0, ,   -17.4, ,     3.3, ,    -6.6, 
1961,   -25.1, ,   -29.2, ,   -31.3, ,   -12.4, ,   -10.6, ,     1.1, ,     5.8, ,     2.3, ,    -3.7, ,    -8.8, ,   -17.9, ,   -18.0, ,   -12.3, ,   -25.4, ,   -18.1, ,     3.1, ,   -10.1, 
1962,   -25.3, ,   -29.0, ,   -14.4, ,   -16.5, ,    -8.5, ,     -.4, ,     7.2, ,     4.3, ,    -1.2, ,    -8.2, ,   -13.4, ,   -20.1, ,   -10.5, ,   -24.1, ,   -13.1, ,     3.7, ,    -7.6, 
1963,   -19.3, ,   -18.0, ,   -25.3, ,   -15.0, ,   -10.2, ,    -2.4, ,     2.7, ,     4.4, ,    -4.7, ,    -9.3, ,   -13.8, ,   -20.1, ,   -10.9, ,   -19.1, ,   -16.8, ,     1.6, ,    -9.3, 
1964,   -26.1, ,   -23.4, ,   -29.3, ,   -16.8, ,   -10.1, ,    -1.4, ,     3.1, ,     3.3, ,      .0, ,    -9.6, ,   -16.9, ,   -19.9, ,   -12.3, ,   -23.2, ,   -18.7, ,     1.7, ,    -8.8, 
1965,   -24.5, ,   -22.4, ,   -21.5, ,   -16.9, ,    -2.1, ,     -.9, ,     5.0, ,     1.3, ,    -1.9, ,   -10.3, ,   -14.4, ,   -21.7, ,   -10.9, ,   -22.3, ,   -13.5, ,     1.8, ,    -8.9, 
1966,   -24.0, ,   -20.2, ,   -23.5, ,   -15.4, ,    -9.5, ,    -2.0, ,     3.4, ,     8.4, ,    -1.2, ,    -4.9, ,   -14.3, ,   -21.1, ,   -10.4, ,   -22.0, ,   -16.1, ,     3.3, ,    -6.8, 
