2400600,CAMBRIDGE BAY  ,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2400600,CAMBRIDGE BAY  ,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1940,   -23.7, ,   -29.6, ,   -25.8, ,   -16.7, ,    -6.2, ,      .0, ,     8.0, ,     4.6, ,     2.3, ,   -10.0, ,   -24.0, ,   -29.9, ,   -12.6, , -9999.9,M,   -16.2, ,     4.2, ,   -10.6, 
1941,   -32.6, ,   -29.2, ,   -30.5, ,   -23.9, ,    -9.6, ,     3.3, ,    10.5, ,     5.5, ,    -3.2, ,   -11.9, ,   -27.7, ,   -29.3, ,   -14.9, ,   -30.6, ,   -21.3, ,     6.4, ,   -14.3, 
1942,   -29.5, ,   -36.5, ,   -26.1, ,   -21.8, ,    -6.8, ,     1.6, ,    10.4, ,     6.7, , -9999.9,M,    -6.1, ,   -25.3, ,   -29.8, , -9999.9,M,   -31.8, ,   -18.2, ,     6.2, , -9999.9,M
1943,   -33.7, ,   -32.1, ,   -28.0, , -9999.9,M,    -9.5, ,     2.8, ,    10.1, ,    10.3, , -9999.9,M,    -8.1, ,   -19.7, ,   -29.1, , -9999.9,M,   -31.9, , -9999.9,M,     7.7, , -9999.9,M
1944,   -30.1, ,   -33.9, ,   -29.3, , -9999.9,M, -9999.9,M,     2.9, ,     7.2, ,     6.3, ,     -.2, ,   -10.1, ,   -21.0, ,   -25.6, , -9999.9,M,   -31.0, , -9999.9,M,     5.5, ,   -10.4, 
1945,   -30.1, ,   -31.5, ,   -26.0, ,   -26.5, ,   -10.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -9.8, ,   -24.8, ,   -30.3, , -9999.9,M,   -29.1, ,   -21.1, , -9999.9,M, -9999.9,M
1946,   -34.6, ,   -37.2, ,   -25.5, ,   -20.2, ,    -7.6, ,      .8, ,     7.5, ,     7.3, ,    -2.8, ,   -15.0, ,   -23.4, ,   -30.2, ,   -15.1, ,   -34.0, ,   -17.8, ,     5.2, ,   -13.7, 
1947,   -34.3, ,   -32.1, ,   -25.3, ,   -21.9, ,   -11.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -32.2, ,   -19.4, , -9999.9,M, -9999.9,M
1948, -9999.9,M,   -34.9, ,   -31.9, ,   -24.2, ,    -7.6, ,     2.6, ,    11.0, ,     8.3, ,     1.0, ,   -11.0, ,   -22.5, ,   -33.8, , -9999.9,M, -9999.9,M,   -21.2, ,     7.3, ,   -10.8, 
1949,   -33.7, ,   -38.0, ,   -29.4, ,   -21.5, ,   -11.8, ,    -1.1, ,     5.7, ,     8.2, ,     1.1, ,   -12.2, ,   -22.2, ,   -28.5, ,   -15.3, ,   -35.2, ,   -20.9, ,     4.3, ,   -11.1, 
1950,   -39.1, ,   -35.2, ,   -26.6, ,   -23.2, ,   -10.5, ,      .2, ,     6.3, ,     4.8, ,      .3, ,   -15.4, ,   -24.6, ,   -29.1, ,   -16.0, ,   -34.3, ,   -20.1, ,     3.8, ,   -13.2, 
1951,   -30.9, ,   -37.2, ,   -31.6, ,   -22.4, ,    -7.5, ,     2.2, ,     7.0, ,     7.3, ,     -.3, ,   -11.6, ,   -24.8, ,   -33.6, ,   -15.3, ,   -32.4, ,   -20.5, ,     5.5, ,   -12.2, 
1952,   -35.6, ,   -35.6, ,   -31.3, ,   -16.8, ,    -3.5, ,     3.4, ,     8.1, ,     5.1, ,    -1.9, ,   -13.3, ,   -23.7, ,   -25.1, ,   -14.2, ,   -34.9, ,   -17.2, ,     5.5, ,   -13.0, 
1953,   -36.6, ,   -30.6, ,   -30.4, ,   -15.9, ,   -10.6, ,     1.2, ,     7.7, ,     7.4, ,      .4, ,   -12.1, ,   -21.5, ,   -32.0, ,   -14.4, ,   -30.8, ,   -19.0, ,     5.4, ,   -11.1, 
1954,   -33.7, ,   -33.2, ,   -29.0, ,   -24.8, ,    -9.7, ,      .7, ,     9.5, ,    11.1, ,     2.9, ,   -11.3, ,   -22.4, ,   -32.0, ,   -14.3, ,   -33.0, ,   -21.2, ,     7.1, ,   -10.3, 
1955,   -31.3, ,   -38.2, ,   -32.7, ,   -19.2, ,    -9.1, ,     1.8, ,     7.8, ,     6.7, ,     -.3, ,    -7.3, ,   -24.3, ,   -31.3, ,   -14.8, ,   -33.8, ,   -20.3, ,     5.4, ,   -10.6, 
1956,   -30.6, ,   -35.6, ,   -32.6, ,   -22.0, ,   -13.9, ,     1.1, ,     9.3, ,     5.4, ,    -2.3, ,   -14.0, ,   -24.5, ,   -32.6, ,   -16.0, ,   -32.5, ,   -22.8, ,     5.3, ,   -13.6, 
1957,   -34.7, ,   -36.1, ,   -27.9, ,   -21.3, ,   -12.0, ,     -.1, ,     6.7, ,     6.4, ,      .6, ,    -9.4, ,   -26.8, ,   -34.6, ,   -15.8, ,   -34.5, ,   -20.4, ,     4.3, ,   -11.9, 
1958,   -31.3, ,   -39.3, ,   -30.1, ,   -25.9, ,    -7.7, ,      .2, ,     7.8, ,     8.8, ,     1.6, ,    -9.0, ,   -27.4, ,   -28.9, ,   -15.1, ,   -35.1, ,   -21.2, ,     5.6, ,   -11.6, 
1959,   -30.3, ,   -32.5, ,   -31.6, ,   -21.2, ,   -13.7, ,     -.6, ,     6.2, ,     4.9, ,     -.5, ,   -14.4, ,   -23.4, ,   -24.7, ,   -15.2, ,   -30.6, ,   -22.2, ,     3.5, ,   -12.8, 
1960,   -34.8, ,   -34.1, ,   -33.4, ,   -22.8, ,    -5.7, ,     5.9, ,     9.1, ,     7.9, ,     -.3, ,   -10.0, ,   -25.5, ,   -26.2, ,   -14.2, ,   -31.2, ,   -20.6, ,     7.6, ,   -11.9, 
1961,   -35.2, ,   -32.5, ,   -37.7, ,   -23.9, ,   -11.1, ,     1.5, ,     9.8,a,     5.1,a,    -3.6,a,   -15.6,a,   -22.6,a,   -33.6,a,   -16.6,a,   -31.3, ,   -24.2, ,     5.5,a,   -13.9,a
