2400660,CAPE HOOPER    ,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2400660,CAPE HOOPER    ,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1957,   -29.8, ,   -24.8, ,   -20.0, ,   -17.1, , -9999.9,M, -9999.9,M, -9999.9,M,     4.4, ,      .4, ,    -8.3, ,   -17.9, ,   -24.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.6, 
1958,   -24.7, ,   -23.8, ,   -21.5, ,   -20.6, ,    -5.6, , -9999.9,M, -9999.9,M,     2.0, ,    -1.2, ,    -8.5, ,   -21.2, ,   -21.3, , -9999.9,M,   -24.2, ,   -15.9, , -9999.9,M,   -10.3, 
1959,   -20.1, ,   -27.9, ,   -27.1, ,   -17.6, ,    -9.2, ,    -1.3, , -9999.9,M,     1.6, ,    -1.9, ,   -11.2, ,   -15.3, ,   -21.0, , -9999.9,M,   -23.1, ,   -18.0, , -9999.9,M,    -9.5, 
1960,   -24.0, ,   -21.3, ,   -25.9, ,   -19.8, ,    -6.8, ,     -.5, ,     5.9, ,     2.2, ,    -1.5, ,    -4.2, ,   -13.5, ,   -22.1, ,   -11.0, ,   -22.1, ,   -17.5, ,     2.5, ,    -6.4, 
1961,   -28.3, ,   -29.1, ,   -32.6, ,   -14.0, ,   -11.4, ,      .6, ,     6.9, ,     2.1, ,    -3.6, ,    -9.0, ,   -18.1, ,   -19.7, ,   -13.0, ,   -26.5, ,   -19.3, ,     3.2, ,   -10.2, 
1962,   -26.1, ,   -29.4, ,   -16.4, ,   -16.0, ,    -9.7, ,     -.2, ,     7.0, ,     3.8, ,    -1.1, ,    -8.1, ,   -13.9, ,   -20.7, ,   -10.9, ,   -25.1, ,   -14.0, ,     3.5, ,    -7.7, 
1963,   -21.5, ,   -19.1, ,   -26.5, ,   -15.1, ,    -9.8, ,    -1.4, ,     2.8, ,     3.1, ,    -4.5, ,    -8.5, ,   -13.3, ,   -21.6, ,   -11.3, ,   -20.4, ,   -17.1, ,     1.5, ,    -8.8, 
1964,   -27.5, ,   -24.7, ,   -29.8, ,   -18.3, ,    -9.7, ,    -1.4, ,     3.0, ,     2.3, ,     -.2, ,    -9.3, ,   -16.4, ,   -20.7, ,   -12.7, ,   -24.6, ,   -19.3, ,     1.3, ,    -8.6, 
1965,   -24.5, ,   -23.8, ,   -21.6, ,   -17.7, ,    -2.9, ,     -.2, ,     3.4, ,      .6, ,    -2.7, ,   -10.1, ,   -14.9, ,   -21.8, ,   -11.4, ,   -23.0, ,   -14.1, ,     1.3, ,    -9.2, 
1966,   -25.8, ,   -22.0, ,   -24.1, ,   -16.6, ,    -8.3, ,    -1.5, ,     3.3, ,     7.7, ,     -.7, ,    -4.4, ,   -15.0, ,   -21.5, ,   -10.7, ,   -23.2, ,   -16.3, ,     3.2, ,    -6.7, 
1967,   -22.9, ,   -28.7, ,   -23.5, ,   -18.8, ,    -3.2, ,    -1.5, ,     6.2, ,     2.1, ,    -3.3, ,    -8.6, ,   -19.4, ,   -18.5, ,   -11.7, ,   -24.4, ,   -15.2, ,     2.3, ,   -10.4, 
1968,   -25.0, ,   -26.5, ,   -25.4, ,   -13.1, ,    -6.3, ,     1.2, ,     2.7, ,     1.5, ,     -.6, ,    -4.6, ,   -13.8, ,   -19.9, ,   -10.8, ,   -23.3, ,   -14.9, ,     1.8, ,    -6.3, 
1969,   -20.5, ,   -18.1, ,   -26.5, ,   -19.7, ,    -8.4, ,    -2.0, ,     5.9, ,     5.2, ,    -2.9, ,    -6.8, ,   -14.9, ,   -19.6, ,   -10.7, ,   -19.5, ,   -18.2, ,     3.0, ,    -8.2, 
1970,   -27.0, ,   -25.1, ,   -23.6, ,   -18.8, ,   -11.4, ,    -1.4, ,     2.3, ,     1.3, ,    -2.3, ,    -5.3, ,   -13.5, ,   -24.4, ,   -12.4, ,   -23.9, ,   -17.9, ,      .7, ,    -7.0, 
1971,   -25.0, ,   -28.6, ,   -20.5, ,   -16.7, ,    -8.1, ,     -.2, ,     4.0, ,     2.0, ,    -2.0, ,    -7.2, ,   -16.9, ,   -27.2, ,   -12.2, ,   -26.0, ,   -15.1, ,     1.9, ,    -8.7, 
1972,   -30.7, ,   -28.1, ,   -26.8, ,   -17.0, ,    -9.0, ,    -4.0, ,     1.1, ,     1.3, ,    -3.7, ,   -11.1, ,   -18.8, ,   -27.6, ,   -14.5, ,   -28.7, ,   -17.6, ,     -.5, ,   -11.2, 
1973,   -26.2, ,   -31.4, ,   -26.1, ,   -20.4, ,    -9.8, ,    -1.9, ,     2.1, ,     5.3, ,    -1.5, ,    -5.5, ,   -10.5, ,   -20.7, ,   -12.2, ,   -28.4, ,   -18.8, ,     1.8, ,    -5.8, 
1974,   -26.4, ,   -25.0, ,   -25.7, ,   -19.3, ,    -5.9, ,     1.9, ,     5.5, ,     4.0, ,    -2.0, ,    -7.1, ,   -16.9, ,   -25.9, ,   -11.9, ,   -24.0, ,   -17.0, ,     3.8, ,    -8.7, 
1975,   -28.8, ,   -25.4, ,   -27.2, ,   -17.7, ,    -5.8, ,     4.3, ,     5.9, ,     5.3, ,    -2.2, ,    -6.3, ,   -17.4, ,   -24.1, ,   -11.6, ,   -26.7, ,   -16.9, ,     5.2, ,    -8.6, 
1976,   -23.9, ,   -27.0, ,   -23.9, ,   -16.3, ,    -7.6, ,     -.6, ,     2.4, ,      .9, ,    -1.4, ,    -9.1, ,   -18.1, ,   -20.2, ,   -12.1, ,   -25.0, ,   -15.9, ,      .9, ,    -9.5, 
1977,   -17.1, ,   -25.8, ,   -21.9, ,   -15.2, ,    -7.3, ,     -.8, ,     3.8, ,     3.7, ,    -2.5, ,    -7.4, ,   -14.4, ,   -25.3, ,   -10.9, ,   -21.0, ,   -14.8, ,     2.2, ,    -8.1, 
1978,   -24.7, ,   -22.4, ,   -27.7, ,   -19.2, ,    -9.4, ,    -3.5, ,     1.2, ,     1.9, ,    -4.0, ,   -11.7, ,   -21.3, ,   -16.2, ,   -13.1, ,   -24.1, ,   -18.8, ,     -.1, ,   -12.3, 
1979,   -20.4, ,   -32.5, ,   -23.4, ,   -14.4, ,    -8.4, ,    -2.2, ,     2.7, ,     1.2, ,    -3.0, ,    -8.2, ,   -16.7, ,   -23.1, ,   -12.4, ,   -23.0, ,   -15.4, ,      .6, ,    -9.3, 
1980,   -19.0, ,   -21.1, ,   -20.8, ,   -18.4, ,    -4.6, ,    -1.0, ,     5.2, ,     5.2, ,     -.8, ,    -6.8, ,   -12.9, ,   -22.0, ,    -9.8, ,   -21.1, ,   -14.6, ,     3.1, ,    -6.8, 
1981,   -22.5, ,   -26.6, ,   -19.2, ,   -18.1, ,    -8.1, ,     -.3, ,     4.3, ,     3.7, ,    -1.3, ,    -6.3, ,   -11.9, ,   -18.6, ,   -10.4, ,   -23.7, ,   -15.1, ,     2.6, ,    -6.5, 
1982,   -21.6, ,   -27.4, ,   -26.1, ,   -19.2, ,    -9.5, ,     1.6, ,     3.7, ,     2.1, ,    -3.6, ,    -8.0, ,   -15.3, ,   -25.2, ,   -12.4, ,   -22.5, ,   -18.3, ,     2.5, ,    -9.0, 
1983,   -31.8, ,   -30.6, ,   -26.0, ,   -19.4, ,   -11.0, ,     -.2, ,     2.5, ,      .0, ,    -1.5, ,    -9.0, ,   -17.5, ,   -23.9, ,   -14.0, ,   -29.2, ,   -18.8, ,      .8, ,    -9.3, 
1984,   -31.2, , -9999.9,M, -9999.9,M,   -19.8, ,    -8.8, ,      .6, ,     7.4, ,     2.1, ,    -2.3, ,    -5.9, ,   -14.8, ,   -24.9, , -9999.9,M, -9999.9,M, -9999.9,M,     3.4, ,    -7.7, 
1985,   -23.0, ,   -25.5, ,   -24.0, ,   -17.9, ,    -6.7, ,     3.3, ,     5.3, ,     5.1, ,     -.3, , -9999.9,M, -9999.9,M,   -17.6, , -9999.9,M,   -24.5, ,   -16.2, ,     4.6, , -9999.9,M
1986,   -25.0, ,   -20.1, ,   -26.4, ,   -16.6, ,    -7.0, ,    -2.1, ,     5.0, ,     2.3, ,    -2.2, ,   -12.6, ,   -21.1, ,   -24.5, ,   -12.5, ,   -20.9, ,   -16.7, ,     1.7, ,   -12.0, 
1987,   -27.0, ,   -29.5, ,   -24.8, ,   -20.9, ,   -11.4, ,     -.7, ,     4.4, ,     4.8, ,     1.0, ,    -6.9, ,   -16.4,E,   -19.8, ,   -12.3,E,   -27.0, ,   -19.0, ,     2.8, ,    -7.4,E
1988,   -26.5, ,   -22.6, ,   -22.0, ,   -15.0, ,    -7.0, ,      .1, ,     3.9, ,     2.9, ,    -1.3, ,    -5.3, ,   -14.2, ,   -23.1, ,   -10.8, ,   -23.0, ,   -14.7, ,     2.3, ,    -6.9, 
1989,   -29.0, ,   -29.6, ,   -27.2, ,   -15.8, ,   -11.0, ,     -.2, ,     5.1, ,     3.0, ,    -2.3, ,    -8.0, ,   -14.2, ,   -22.0, ,   -12.6, ,   -27.2, ,   -18.0, ,     2.6, ,    -8.2, 
1990,   -26.6, ,   -28.9, ,   -24.3, ,   -18.6, ,    -6.7, ,     1.2, ,     7.1, ,     2.9, ,    -1.5, ,    -9.4,E,   -18.0, ,   -24.9, ,   -12.3,E,   -25.8, ,   -16.5, ,     3.7, ,    -9.6,E
