2401200,EUREKA         ,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2401200,EUREKA         ,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.8, ,     3.8, ,     5.6, , -9999.9,M,    -7.3, ,   -18.7, ,   -28.7, ,   -38.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -18.2, 
1948,   -38.1, ,   -42.6, ,   -37.1, ,   -28.8, ,    -8.5, ,     3.2, ,     6.2, ,     3.1, ,    -4.7, ,   -20.5, ,   -29.5, ,   -41.8, ,   -19.9, ,   -39.9, ,   -24.8, ,     4.2, ,   -18.2, 
1949,   -39.8, ,   -38.0, ,   -33.2, ,   -29.0, ,   -11.5, ,     3.7, ,     5.9, ,     3.6, ,    -6.8, ,   -21.9, ,   -30.9, ,   -37.7, ,   -19.6, ,   -39.9, ,   -24.6, ,     4.4, ,   -19.9, 
1950, -9999.9,M,   -38.2, ,   -33.9, ,   -30.4, ,   -11.2, ,     2.2, ,     6.1, ,     3.5, ,    -9.6, ,   -24.6, ,   -28.9, ,   -32.9, , -9999.9,M, -9999.9,M,   -25.2, ,     3.9, ,   -21.0, 
1951,   -39.0, ,   -40.3, ,   -35.7, ,   -27.1, ,    -7.3, ,     2.8, ,     5.7, ,     3.0, ,    -5.4, ,   -22.2, ,   -28.9, ,   -38.8, ,   -19.4, ,   -37.4, ,   -23.4, ,     3.8, ,   -18.8, 
1952,   -37.2, ,   -37.5, ,   -38.4, ,   -26.4, ,    -4.1, ,     4.1, ,     6.7, ,     3.4, ,    -8.8, ,   -23.3, ,   -31.4, ,   -28.0, ,   -18.4, ,   -37.8, ,   -23.0, ,     4.7, ,   -21.2, 
1953,   -36.5, ,   -39.6, ,   -33.9, ,   -18.7, ,    -9.1, ,     1.6, ,     4.2, ,     1.1, ,    -6.3, ,   -29.4, ,   -29.2, ,   -37.3, ,   -19.4, ,   -34.7, ,   -20.6, ,     2.3, ,   -21.6, 
1954,   -38.4, ,   -37.5, ,   -37.9, ,   -27.8, ,    -9.3, ,     3.7, ,     5.6, ,     4.5, ,    -3.2, ,   -19.0, ,   -29.4, ,   -33.3, ,   -18.5, ,   -37.7, ,   -25.0, ,     4.6, ,   -17.2, 
1955,   -34.0, ,   -36.6, ,   -40.1, ,   -26.4, ,   -12.9, ,     1.2, ,     3.8, ,     3.8, ,    -6.9, ,   -15.9, ,   -29.9, ,   -37.1, ,   -19.3, ,   -34.6, ,   -26.5, ,     2.9, ,   -17.6, 
1956,   -36.5, ,   -35.7, ,   -37.7, ,   -22.8, ,   -13.8, ,      .9, ,     5.5, ,     3.0, ,   -11.6, ,   -24.4, ,   -32.6, ,   -36.9, ,   -20.2, ,   -36.4, ,   -24.8, ,     3.1, ,   -22.9, 
