2402684,LONGSTAFF BLUFF,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2402684,LONGSTAFF BLUFF,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.0, ,     7.8, ,      .7, ,    -8.4, ,   -24.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.8, 
1959,   -21.0, ,   -31.4, ,   -29.5, ,   -19.1, ,    -8.2, ,      .6, ,     8.0, ,     5.9, ,     -.8, ,   -15.1, ,   -16.6, ,   -23.9, ,   -12.6, , -9999.9,M,   -18.9, ,     4.8, ,   -10.8, 
1960,   -24.5, ,   -21.4, ,   -27.2, ,   -22.1, ,    -6.1, ,     3.4, ,     9.6, ,     9.2, ,     -.6, ,    -4.6, ,   -16.2, ,   -24.8, ,   -10.4, ,   -23.3, ,   -18.5, ,     7.4, ,    -7.1, 
1961,   -29.9, ,   -33.7, ,   -36.6, ,   -15.0, ,   -11.8, ,     2.4, ,     8.5, ,     3.4, ,    -2.8, ,   -12.0, ,   -21.4, ,   -23.3, ,   -14.4, ,   -29.5, ,   -21.1, ,     4.8, ,   -12.1, 
1962,   -30.7, ,   -35.4, ,   -16.7, ,   -17.5, ,    -9.4, ,     2.1, ,     9.9, ,     5.8, ,    -1.1, ,    -9.0, ,   -17.1, ,   -22.9, ,   -11.8, ,   -29.8, ,   -14.5, ,     5.9, ,    -9.1, 
1963,   -24.2, ,   -20.4, ,   -30.1, ,   -16.0, ,    -8.9, ,      .5, ,     5.3, ,     5.9, ,    -2.4, ,   -10.1, ,   -15.2, ,   -22.8, ,   -11.5, ,   -22.5, ,   -18.3, ,     3.9, ,    -9.2, 
1964,   -31.5, ,   -28.3, ,   -35.3, ,   -20.5, ,    -8.6, ,     -.6, ,     4.2, ,     5.6, ,     1.0, ,   -11.7, ,   -18.2, ,   -22.9, ,   -13.9, ,   -27.5, ,   -21.5, ,     3.1, ,    -9.6, 
1965,   -29.2, ,   -26.5, ,   -22.9, ,   -18.4, ,    -1.6, ,     -.7, ,     6.2, ,     4.9, ,    -1.1, ,   -11.6, ,   -16.8, ,   -24.7, ,   -11.9, ,   -26.2, ,   -14.3, ,     3.5, ,    -9.8, 
1966,   -28.7, ,   -25.3, ,   -27.6, ,   -19.3, ,    -7.3, ,      .0, ,     7.7, ,     8.7, ,     1.8, ,    -3.4, ,   -17.5, ,   -25.2, ,   -11.3, ,   -26.2, ,   -18.1, ,     5.5, ,    -6.4, 
1967,   -25.9, ,   -34.4, ,   -27.6, ,   -20.4, ,    -3.6, ,      .6, ,     6.8, ,     4.6, ,    -3.2, ,   -12.1, ,   -23.4, ,   -22.9, ,   -13.5, ,   -28.5, ,   -17.2, ,     4.0, ,   -12.9, 
1968,   -29.2, ,   -30.1, ,   -29.7, ,   -16.1, ,    -9.1, ,    -2.3, ,     3.7, ,     5.7, ,     -.2, ,    -4.5, ,   -17.6, ,   -23.2, ,   -12.7, ,   -27.4, ,   -18.3, ,     2.4, ,    -7.4, 
