2403500,RESOLUTE       ,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2403500,RESOLUTE       ,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -11.9, ,   -17.8, ,   -25.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1948,   -31.0, ,   -37.7, ,   -34.0, ,   -23.2, ,   -10.1, ,      .7, ,     5.1, ,     1.8, ,    -4.4, ,   -14.9, ,   -22.3, ,   -33.6, ,   -17.0, ,   -31.2, ,   -22.4, ,     2.5, ,   -13.9, 
1949,   -35.3, ,   -36.9, ,   -30.1, ,   -24.7, ,   -11.8, ,      .6, ,     4.5, ,     4.4, ,    -5.5, ,   -14.3, ,   -24.0, ,   -28.5, ,   -16.8, ,   -35.3, ,   -22.2, ,     3.2, ,   -14.6, 
1950,   -36.9, ,   -35.2, ,   -28.3, ,   -26.9, ,    -9.7, ,     -.2, ,     4.5, ,     3.1, ,    -5.2, ,   -16.5, ,   -23.7, ,   -26.0, ,   -16.8, ,   -33.5, ,   -21.6, ,     2.5, ,   -15.1, 
1951,   -32.2, ,   -36.8, ,   -28.0, ,   -21.3, ,    -8.8, ,     2.1, ,     4.8, ,     2.8, ,    -3.5, ,   -14.3, ,   -25.1, ,   -32.8, ,   -16.1, ,   -31.7, ,   -19.4, ,     3.2, ,   -14.3, 
1952,   -33.7, ,   -33.3, ,   -30.5, ,   -20.6, ,    -4.8, ,     3.0, ,     4.5, ,     2.2, ,    -5.8, ,   -15.7, ,   -22.3, ,   -24.6, ,   -15.1, ,   -33.3, ,   -18.6, ,     3.2, ,   -14.6, 
1953,   -34.4, ,   -30.9, ,   -30.3, ,   -14.4, ,    -8.7, ,    -1.1, ,     3.5, ,     2.0, ,    -5.2, ,   -16.9, ,   -23.9, ,   -33.1, ,   -16.1, ,   -30.0, ,   -17.8, ,     1.5, ,   -15.3, 
1954,   -33.3, ,   -33.8, ,   -30.9, ,   -22.4, ,   -10.0, ,     -.8, ,     4.9, ,     4.4, ,    -2.3, ,   -13.5, ,   -23.7, ,   -30.9, ,   -16.0, ,   -33.4, ,   -21.1, ,     2.8, ,   -13.2, 
1955,   -30.4, ,   -38.2, ,   -31.8, ,   -21.7, ,   -11.7, ,     -.6, ,     2.8, ,     2.0, ,    -5.0, ,    -9.2, ,   -27.0, ,   -29.5, ,   -16.7, ,   -33.2, ,   -21.7, ,     1.4, ,   -13.7, 
1956,   -30.9, ,   -32.0, ,   -36.4, ,   -20.9, ,   -14.7, ,     -.8, ,     4.0, ,     1.6, ,    -6.7, ,   -18.7, ,   -24.1, ,   -30.3, ,   -17.5, ,   -30.8, ,   -24.0, ,     1.6, ,   -16.5, 
