2503648,SACHS HARBOUR  ,NT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
2503648,SACHS HARBOUR  ,NT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1955, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -25.7, ,   -31.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1956,   -29.7, , -9999.9,M,   -28.2, ,   -20.3, ,   -10.4, ,     2.8, ,     4.3, ,     1.7, ,    -2.2, ,   -15.2, ,   -24.5, ,   -29.0, , -9999.9,M, -9999.9,M,   -19.6, ,     2.9, ,   -14.0, 
1957,   -29.5, ,   -35.3, ,   -26.1, ,   -17.9, ,    -9.5, ,      .2, ,     6.7, ,     4.9, ,    -1.4, ,   -11.0, ,   -26.3, ,   -30.7, ,   -14.7, ,   -31.3, ,   -17.8, ,     3.9, ,   -12.9, 
1958,   -27.2, ,   -34.5, ,   -28.0, ,   -22.7, ,    -8.2, ,     2.1, ,     6.4, ,     8.7, ,      .7, ,    -9.4, ,   -22.3, ,   -25.3, ,   -13.3, ,   -30.8, ,   -19.6, ,     5.7, ,   -10.3, 
1959,   -29.2, ,   -28.2, ,   -30.1, ,   -20.1, ,    -9.9, ,     -.3, ,     4.4, ,     3.6, ,    -2.2, ,   -14.6, ,   -22.2, ,   -26.5, ,   -14.6, ,   -27.6, ,   -20.0, ,     2.6, ,   -13.0, 
1960,   -33.0, ,   -26.5, ,   -28.3, ,   -18.9, ,    -5.8, , -9999.9,M, -9999.9,M, -9999.9,M,    -3.1, ,   -12.4, ,   -25.0, ,   -23.8, , -9999.9,M,   -28.7, ,   -17.7, , -9999.9,M,   -13.5, 
1961,   -30.1, ,   -30.9, ,   -31.5, ,   -23.8, ,    -7.8, ,     4.5, ,     5.4, ,     2.9, ,    -3.7, ,   -15.1, ,   -22.8, ,   -31.7, ,   -15.4, ,   -28.3, ,   -21.0, ,     4.3, ,   -13.9, 
1962,   -28.3, ,   -29.1, ,   -25.4, ,   -19.4, ,   -10.6, ,     5.4, ,     7.3, ,     6.1, ,     -.9, ,    -8.9, ,   -21.1, ,   -23.5, ,   -12.4, ,   -29.7, ,   -18.5, ,     6.3, ,   -10.3, 
1963,   -32.7, ,   -28.1, ,   -31.9, ,   -16.0, ,    -5.5, ,     3.6, ,     7.3, ,     3.5, ,    -2.5, ,   -14.2, ,   -22.5, ,   -21.5, ,   -13.4, ,   -28.1, ,   -17.8, ,     4.8, ,   -13.1, 
1964,   -32.7, ,   -31.9, ,   -33.3, ,   -26.1, ,    -9.7, ,    -1.0, ,     2.4, ,     4.8, ,    -2.7, ,   -11.6, ,   -21.0, ,   -30.7, ,   -16.1, ,   -28.7, ,   -23.0, ,     2.1, ,   -11.8, 
1965,   -31.4, ,   -36.0, ,   -24.9, ,   -17.4, ,    -8.2, ,     -.5, ,     7.4, ,     4.7, ,    -5.9, ,   -11.3, ,   -19.2, ,   -26.8, ,   -14.1, ,   -32.7, ,   -16.8, ,     3.9, ,   -12.1, 
1966,   -33.6, ,   -31.9, ,   -24.7, ,   -23.1, ,    -4.7, ,     2.2, ,     5.6, ,     2.7, ,      .4, ,   -14.2, ,   -23.1, ,   -25.7, ,   -14.2, ,   -30.8, ,   -17.5, ,     3.5, ,   -12.3, 
1967,   -28.5, ,   -32.6, ,   -31.6, ,   -19.4, ,    -9.4, ,    -1.4, ,     1.8, ,      .9, ,    -2.6, ,   -10.8, ,   -21.2, ,   -25.3, ,   -15.0, ,   -28.9, ,   -20.1, ,      .4, ,   -11.5, 
1968,   -30.8, ,   -32.4, ,   -23.8, ,   -19.5, ,    -7.4, ,     3.5, ,     8.1, ,     3.9, ,    -1.9, ,    -8.9, ,   -23.0, ,   -27.5, ,   -13.3, ,   -29.5, ,   -16.9, ,     5.2, ,   -11.3, 
1969,   -30.2, ,   -27.5, ,   -26.3, ,   -15.1, ,    -7.8, ,      .6, ,     3.1, ,     3.4, ,      .0, ,    -7.2, ,   -24.0, ,   -20.5, ,   -12.6, ,   -28.4, ,   -16.4, ,     2.4, ,   -10.4, 
1970,   -27.3, ,   -33.2, ,   -26.6, ,   -19.8, ,    -7.9, ,     1.2, ,     8.4, ,     6.2, ,    -1.7, ,   -12.1, ,   -20.3, ,   -29.3, ,   -13.5, ,   -27.0, ,   -18.1, ,     5.3, ,   -11.4, 
1971,   -32.0, ,   -31.8, ,   -24.8, ,   -20.8, ,    -6.8, ,     5.4, ,     7.0, ,     2.1, ,    -1.3, ,    -7.8, ,   -23.2, ,   -29.5, ,   -13.6, ,   -31.0, ,   -17.5, ,     4.8, ,   -10.8, 
1972,   -34.0, ,   -35.1, ,   -28.5, ,   -21.2, ,    -9.2, ,     1.4, ,     5.8, ,     3.6, ,    -4.0, ,   -11.9, ,   -24.0, ,   -26.8, ,   -15.3, ,   -32.9, ,   -19.6, ,     3.6, ,   -13.3, 
1973,   -31.4, ,   -30.2, ,   -32.1, ,   -17.8, ,    -6.4, ,     5.8, ,     6.6, ,     5.1, ,     1.2, ,    -8.3, ,   -17.2, ,   -21.8, ,   -12.2, ,   -29.5, ,   -18.8, ,     5.8, ,    -8.1, 
