250M001,MOULD BAY      ,NT, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
250M001,MOULD BAY      ,NT, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.1, ,     3.9, ,     -.2, ,    -8.0, ,   -18.2, ,   -26.6, ,   -37.1, , -9999.9,M, -9999.9,M, -9999.9,M,      .9, ,   -17.6, 
1949,   -34.1, ,   -33.6, ,   -29.6, ,   -23.7, ,   -12.0, ,    -2.4, ,     2.3, ,     2.9, ,    -7.8, ,   -17.7, , -9999.9,M, -9999.9,M, -9999.9,M,   -34.9, ,   -21.8, ,      .9, , -9999.9,M
1950, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -21.2, ,   -25.3, ,   -30.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1951,   -35.5, ,   -36.8, ,   -29.7, ,   -22.2, ,    -9.9, ,      .3, ,     4.1, ,     2.3, ,    -4.7, ,   -15.2, ,   -25.3, ,   -31.5, ,   -17.0, ,   -34.4, ,   -20.6, ,     2.2, ,   -15.1, 
1952,   -34.3, ,   -36.3, ,   -35.4, ,   -20.8, ,    -6.7, ,     1.4, ,     4.8, ,     -.1, ,    -8.6, ,   -15.3, ,   -26.5, ,   -25.7, ,   -17.0, ,   -34.0, ,   -21.0, ,     2.0, ,   -16.8, 
1953,   -32.1, ,   -32.2, , -9999.9,M,   -16.7, ,    -9.3, ,     -.9, ,     1.2, ,     -.2, ,    -6.7, ,   -18.1, ,   -25.0, ,   -35.9, , -9999.9,M,   -30.0, , -9999.9,M,      .0, ,   -16.6, 
1954,   -33.6, ,   -39.2, ,   -32.9, ,   -24.2, ,   -12.4, ,     -.5, ,     4.2, ,     3.9, ,    -3.3, ,   -16.5, ,   -24.4, ,   -33.0, ,   -17.7, ,   -36.2, ,   -23.2, ,     2.5, ,   -14.7, 
1955,   -32.2, ,   -39.6, ,   -34.2, ,   -19.8, ,   -11.6, ,      .0, ,     3.1, ,      .7, ,    -6.6, ,   -15.3, ,   -29.6, ,   -33.4, ,   -18.2, ,   -34.9, ,   -21.9, ,     1.3, ,   -17.2, 
1956,   -33.5, ,   -34.5, ,   -34.3, ,   -23.6, ,   -13.2, ,     -.6, ,     2.8, ,     -.2, ,    -7.5, ,   -20.7, ,   -27.3, ,   -29.4, ,   -18.5, ,   -33.8, ,   -23.7, ,      .7, ,   -18.5, 
1957,   -33.0, ,   -35.5, ,   -31.5, ,   -22.0, ,   -12.4, ,      .4, ,     5.2, ,     1.5, ,    -6.2, ,   -15.2, ,   -29.0, ,   -36.8, ,   -17.9, ,   -32.6, ,   -22.0, ,     2.4, ,   -16.8, 
