3011120,CALMAR         ,AB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3011120,CALMAR         ,AB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.6, ,    -7.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1916,   -26.0, ,    -9.6, ,    -6.0, ,     5.0, ,     7.9, ,    12.2, ,    14.5, ,    13.2, ,     9.3, ,     4.2, ,    -2.3, ,   -15.1, ,      .6, ,   -14.5, ,     2.3, ,    13.3, ,     3.7, 
1917,   -15.6, ,   -15.9, ,    -6.5, ,      .8, ,     8.6, ,    11.6, , -9999.9,M,    14.1, ,     9.9, , -9999.9,M,     3.7, ,   -21.1, , -9999.9,M,   -15.5, ,     1.0, , -9999.9,M, -9999.9,M
1918,   -15.2, ,   -11.6, ,    -5.0, ,     4.2, ,     7.1, ,    13.4, ,    14.7, ,    14.6, ,    10.3, ,     4.3, ,    -1.2, , -9999.9,M, -9999.9,M,   -16.0, ,     2.1, ,    14.2, ,     4.5, 
1919,    -6.2, ,   -15.9, ,   -11.3, ,     5.8, ,     8.5, ,    13.1, ,    15.3, ,    14.7, ,    10.2, ,    -3.0, ,   -10.4, ,   -12.2, ,      .7, , -9999.9,M,     1.0, ,    14.4, ,    -1.1, 
1920,   -16.9, ,    -6.8, ,    -8.3, ,    -3.9, ,     7.9, ,    11.6, ,    16.9, ,    13.6, ,     8.7, ,     3.1, ,    -3.7, ,   -11.1, ,      .9, ,   -12.0, ,    -1.4, ,    14.0, ,     2.7, 
1921,   -13.5, ,    -7.6, ,    -7.9, ,     3.9, ,     9.0, ,    14.3, ,    14.8, ,    13.0, ,     7.7, ,     6.2, ,    -8.1, ,   -10.4, ,     1.8, ,   -10.7, ,     1.7, ,    14.0, ,     1.9, 
1922,   -12.8, ,   -18.8, ,    -6.6, ,     2.9, ,     9.5, ,    13.6, ,    15.0, ,    15.4, ,    10.5, ,     5.0, ,    -2.1, ,   -14.1, ,     1.5, ,   -14.0, ,     1.9, ,    14.7, ,     4.5, 
1923,   -14.0, ,   -10.9, ,    -6.5, ,     3.1, ,     8.8, ,    14.4, ,    15.7, ,    14.5, ,    10.5, ,     5.7, ,      .8, ,    -6.6, ,     3.0, ,   -13.0, ,     1.8, ,    14.9, ,     5.7, 
1924,   -14.6, ,    -5.9, ,    -4.6, ,     2.0, ,     9.8, ,    11.7, ,    16.2, ,    13.7, ,    10.3, ,     5.3, ,    -5.1, ,   -16.5, ,     1.9, ,    -9.0, ,     2.4, ,    13.9, ,     3.5, 
