3011240,CAMROSE        ,AB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3011240,CAMROSE        ,AB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1946, -9999.9,M, -9999.9,M,    -2.1,a,     6.8,a,     8.8,a,    11.8,a,    16.4,a,    14.4,a,     9.9,a,     2.4,a,    -9.2,a,   -15.3,a, -9999.9,M, -9999.9,M,     4.5,a,    14.2,a,     1.0,a
1947,   -12.2,a,   -18.4,a,    -8.8,a,     3.6,a,     8.9,a,    12.7,a,    17.4,a,    12.8,a,     9.0,a,     5.4,a,    -5.5,a,    -9.6,a,     1.3,a,   -15.3,a,     1.2,a,    14.3,a,     3.0,a
1948,    -9.5,a,   -18.1,a,   -11.6,a,    -3.9,a,    11.1,a,    15.1,a,    15.9,a,    14.3,a,     9.9,a,     4.8,a,    -4.5,a,   -16.5,a,      .6,a,   -12.4,a,    -1.5,a,    15.1,a,     3.4,a
1949,   -18.5,a,   -20.9,a,    -4.9,a,     7.2,a,    10.7,a,    13.2,a,    16.0,a,    15.6,a,    10.2,a,     1.9,a,     1.3,a,   -17.5,a,     1.2,a,   -18.6,a,     4.3,a,    14.9,a,     4.5,a
1950,   -29.7,a,   -14.9,a,    -9.7,a,      .6,a,     8.9,a,    14.1,a,    16.1,a,    13.2,a,    10.5,a,     1.4,a,   -11.1,a,   -13.1,a,    -1.1,a,   -20.7,a,     -.1,a,    14.5,a,      .3,a
1951,   -19.1,a,   -15.6,a,   -12.6,a,     2.2,a,    10.4,a,    11.0,a,    16.5,a,    13.0,a,     7.8,a,     -.1,a,    -7.4,a,   -16.2,a,     -.8,a,   -15.9,a,      .0,a,    13.5,a,      .1,a
1952,   -20.3,a,   -11.5,a,    -9.6,a,     7.0,a,    11.0,a,    12.6,a,    15.0,a,    14.1,a,    11.0,a,     5.7,a,    -1.9,a,    -8.7,a,     2.0,a,   -16.0,a,     2.8,a,    13.9,a,     4.9,a
1953,   -18.1,a,    -8.5,a,    -7.0,a,      .0,a,     9.6,a,    12.9,a,    15.6,a,    15.4,a,    10.0,a,     6.0,a,    -1.5,a,    -6.6,a,     2.3,a,   -11.8,a,      .9,a,    14.6,a,     4.8,a
1954,   -23.7,a,    -5.5,a,    -6.5,a,    -4.8,a,     7.5,a,    11.3,a,    15.9,a,    13.4,a,     9.4,a,     3.1,a,     -.6,a,    -6.1,a,     1.1,a,   -11.9,a,    -1.3,a,    13.5,a,     4.0,a
1955,   -10.5,a,   -14.0,a,   -10.7,a,     2.5,a,     9.2,a,    14.2,a,    16.5,a,    14.9,a,     8.6,a,     4.2,a,   -16.6,a,   -18.7,a,      .0,a,   -10.2,a,      .3,a,    15.2,a,    -1.3,a
1956,   -20.0,a,   -15.6,a,    -8.6,a,      .8,a,     9.2,a,    14.0,a,    16.9,a,    15.8,a,    10.0,a,     3.4,a,    -1.0,a,   -12.5,a,     1.0,a,   -18.1,a,      .5,a,    15.6,a,     4.1,a
1957,   -16.6,a,   -13.4,a,    -6.1,a,     3.6,a,    11.0,a,    13.3,a,    15.7,a,    13.7,a,    11.8,a,      .9,a,    -2.7,a,    -8.9,a,     1.9,a,   -14.2,a,     2.8,a,    14.2,a,     3.3,a
1958,    -9.7,a,   -14.9,a,    -7.5,a,     4.0,a,    12.1,a,    13.2,a,    15.9,a,    16.9,a,     9.8,a,     5.1,a,    -6.5,a,   -11.1,a,     2.3,a,   -11.2,a,     2.9,a,    15.3,a,     2.8,a
1959,   -20.9,a,   -13.7,a,     -.4,a,     4.1,a,     7.3,a,    13.2,a,    17.0,a,    12.7,a,     8.1,a,     1.8,a,    -7.2,a,    -5.3,a,     1.4,a,   -15.2,a,     3.7,a,    14.3,a,      .9,a
