3011887,CORONATION     ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3011887,CORONATION     ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1924, -9999.9,M, -9999.9,M, -9999.9,M,     -.9,a,     6.4,a,     8.9,a,    14.5,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1925, -9999.9,M, -9999.9,M, -9999.9,M,     2.6,a,     9.1,a,    12.1,a,    16.6,a,    13.8,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.2,a, -9999.9,M
1926, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1927, -9999.9,M, -9999.9,M, -9999.9,M,     2.8,a,     6.6,a,    11.8,a,    14.8,a,    12.7,a,     8.6,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.1,a, -9999.9,M
1928, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.1,a,    10.2,a,    12.7,a,     9.3,a,     6.0,a,    -1.9,a,    -5.0,a,    -8.5,a, -9999.9,M, -9999.9,M, -9999.9,M,    10.7,a,     -.3,a
1929, -9999.9,M,   -18.5,a,    -4.0,a,    -3.1,a,     4.7,a,     9.7,a, -9999.9,M,    11.6,a,     5.5,a,     1.9,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.8,a, -9999.9,M, -9999.9,M
1930, -9999.9,M, -9999.9,M,    -5.9,a,     3.4,a,     7.4,a,    12.3,a,    15.8,a,    16.1,a,     7.6,a,     -.5,a,    -3.3,a,    -6.5,a, -9999.9,M, -9999.9,M,     1.6,a,    14.7,a,     1.3,a
1931,    -5.8,a, -9999.9,M,    -3.6,a,     3.9,a,     7.2,a,    12.7,a,    14.2,a,    13.8,a,     7.7,a,     2.5,a,    -7.8,a,    -8.8,a, -9999.9,M, -9999.9,M,     2.5,a,    13.6,a,      .8,a
1932,   -16.3,a,   -15.4,a,   -10.0,a,     2.8,a,     8.2,a,    12.0,a,    13.9,a,    13.8,a,     9.2,a,     -.8,a,    -8.0,a,   -12.4,a,     -.3,a,   -13.5,a,      .3,a,    13.2,a,      .1,a
1933,   -15.9,a,   -16.3,a,    -9.1,a,     1.0,a,     8.1,a,    13.0,a,    14.7,a,    14.6,a,     8.0,a,     -.1,a, -9999.9,M, -9999.9,M, -9999.9,M,   -14.9,a,      .0,a,    14.1,a, -9999.9,M
