3023722,LACOMBE        ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3023722,LACOMBE        ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1907, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1908,    -8.0, ,    -8.5, ,    -8.4, ,     4.9, ,    10.5, ,    12.0, ,    16.3, ,    13.3, ,     9.9, ,     2.6, ,    -1.8, ,    -9.3, ,     2.8, ,    -8.3, ,     2.3, ,    13.9, ,     3.6, 
1909,   -20.5, ,   -14.8, ,    -5.3, ,     -.7, ,     8.4, ,    13.6, ,    15.8, ,    13.6, ,    11.8, ,     3.1, ,    -8.6, ,   -12.2, ,      .4, ,   -14.9, ,      .8, ,    14.3, ,     2.1, 
1910,   -10.1, ,   -14.6, ,     1.8, ,     6.6, ,     9.7, ,    12.6, ,    14.9, ,    12.7, ,     8.8, ,     5.2, ,    -6.0, ,    -9.0, ,     2.7, ,   -12.3, ,     6.0, ,    13.4, ,     2.7, 
1911,   -21.8, ,   -12.3, ,    -1.4, ,     1.8, ,     8.5, ,    14.0, ,    13.7, ,    12.0, ,     8.8, ,     3.8, ,    -9.1, ,    -9.7, ,      .7, ,   -14.4, ,     3.0, ,    13.2, ,     1.2, 
1912,   -14.6, ,    -6.9, ,    -7.0, ,     5.5, ,    10.0, ,    15.2, ,    13.6, ,    14.2, ,     8.0, ,     4.1, ,     -.8, ,    -5.6, ,     3.0, ,   -10.4, ,     2.8, ,    14.3, ,     3.8, 
1913,   -17.5, ,   -11.1, ,    -7.5, ,     5.9, ,     8.4, ,    13.9, ,    14.2, ,    14.2, ,    10.6, ,     2.0, ,    -1.5, ,    -6.6, ,     2.1, ,   -11.4, ,     2.3, ,    14.1, ,     3.7, 
1914,   -12.6, ,   -12.8, ,    -3.0, ,     4.5, ,     8.9, ,    13.3, ,    16.8, ,    14.5, ,    12.1, ,     5.8, ,    -2.2, ,   -12.0, ,     2.8, ,   -10.7, ,     3.5, ,    14.9, ,     5.2, 
1915,    -9.6, ,    -8.8, ,    -1.8, ,     8.5, ,    10.1, ,    11.5, ,    14.2, ,    17.7, ,     8.9, ,     5.6, ,    -4.5, ,    -8.0, ,     3.7, ,   -10.1, ,     5.6, ,    14.5, ,     3.3, 
1916,   -25.3, ,    -8.5, ,    -4.1, ,     5.0, ,     7.6, ,    12.0, ,    15.4, ,    14.0, ,     9.9, ,     4.2, ,    -3.2, ,   -14.2, ,     1.1, ,   -13.9, ,     2.8, ,    13.8, ,     3.6, 
