3024925,OLDS           ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3024925,OLDS           ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1914, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.5, ,    12.4, ,    16.9, ,    12.7, ,     9.3, ,     6.2, ,    -2.0, ,   -12.4, , -9999.9,M, -9999.9,M, -9999.9,M,    14.0, ,     4.5, 
1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.6, ,    -4.5, ,    -5.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1916,   -25.7, ,   -10.6, ,    -2.8, ,     5.2, ,     6.6, ,    10.0, ,    13.8, ,    12.0, ,     8.8, ,     4.0, ,    -1.2, ,   -11.1, ,      .8, ,   -13.8, ,     3.0, ,    11.9, ,     3.9, 
1917,   -10.9, ,   -13.2, , -9999.9,M, -9999.9,M,     7.8, ,    11.3, ,    15.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -11.7, , -9999.9,M, -9999.9,M, -9999.9,M
1918,   -11.8, ,   -10.5, ,    -3.9, ,     3.6, ,     6.7, ,    13.1, ,    14.6, ,    14.2, ,    10.3, ,     6.3, ,     -.1, , -9999.9,M, -9999.9,M, -9999.9,M,     2.1, ,    14.0, ,     5.5, 
1919, -9999.9,M,   -13.1, ,    -9.6, , -9999.9,M,     8.2, ,    12.9, ,    15.2, ,    14.4, ,     9.2, ,    -1.8, ,    -9.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.2, ,     -.6, 
1920,   -15.7, ,    -6.6, ,    -8.1, ,    -4.2, ,     6.4, ,    11.9, ,    16.7, ,    14.7, ,    10.1, ,     3.6, ,    -3.4, ,    -9.7, ,     1.3, , -9999.9,M,    -2.0, ,    14.4, ,     3.4, 
1921,   -11.3, ,    -6.1, ,    -7.6, ,     2.6, ,     8.3, ,    14.0, ,    14.8, ,    13.2, ,     7.1, ,     7.1, ,    -8.7, ,    -9.0, ,     2.0, ,    -9.0, ,     1.1, ,    14.0, ,     1.8, 
1922,   -11.5, ,   -17.5, ,    -4.7, ,     2.2, ,     9.2, ,    13.8, ,    15.5, ,    15.3, ,    11.4, ,     6.4, ,    -1.4, ,   -14.0, ,     2.1, ,   -12.7, ,     2.2, ,    14.9, ,     5.5, 
1923,   -11.2, ,   -11.2, ,    -5.6, ,     3.2, ,     8.5, ,    13.1, ,    14.7, ,    13.1, ,     9.6, ,     5.1, ,     1.9, ,    -6.4, ,     2.9, ,   -12.1, ,     2.0, ,    13.6, ,     5.5, 
1924,    -9.6, ,    -4.5, ,    -4.0, ,      .8, ,     9.1, ,    10.5, ,    15.4, ,    12.8, ,    10.3, ,     5.7, ,    -4.7, ,   -14.1, ,     2.3, ,    -6.8, ,     2.0, ,    12.9, ,     3.8, 
1925,   -12.5, ,   -10.2, ,    -5.9, ,     4.8, ,    10.1, ,    13.2, ,    15.8, ,    13.7, ,     7.7, ,      .4, ,    -1.7, ,    -1.7, ,     2.8, ,   -12.3, ,     3.0, ,    14.2, ,     2.1, 
1926,    -3.7, ,    -4.1, ,      .4, ,     5.5, ,    10.0, ,    12.2, ,    16.7, ,    12.5, ,     4.5, ,     5.3, ,    -6.0, ,    -9.4, ,     3.7, ,    -3.2, ,     5.3, ,    13.8, ,     1.3, 
