3031400,CARWAY         ,AB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3031400,CARWAY         ,AB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1914, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.6, ,     5.3, ,      .9, ,   -10.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.6, 
1915,    -5.9, ,    -4.0, ,     -.3, ,     7.8, ,     7.7, ,    10.3, ,    13.0, ,    16.9, ,     7.7, ,     7.3, ,    -2.0, ,    -4.2, ,     4.5, ,    -6.8, ,     5.1, ,    13.4, ,     4.3, 
1916,   -22.6, ,    -8.1, ,     -.3, ,     4.6, ,     5.7, ,    11.3, ,    14.7, ,    14.0, ,     9.1, ,     2.8, ,    -1.6, ,   -11.9, ,     1.5, ,   -11.6, ,     3.3, ,    13.3, ,     3.4, 
1917,   -10.8, ,   -11.3, ,    -6.4, ,      .6, ,     8.0, ,    11.6, ,    17.0, ,    14.5, ,    10.5, ,     4.8, ,     5.8, ,   -11.7, ,     2.7, ,   -11.3, ,      .7, ,    14.4, ,     7.0, 
1918,    -8.4, ,    -7.4, ,      .0, ,     3.5, ,     6.5, ,    14.9, ,    16.2, ,    14.0, ,    10.6, ,     7.1, ,     -.1, ,    -2.3, ,     4.6, ,    -9.2, ,     3.3, ,    15.0, ,     5.9, 
1919,     -.3, ,   -10.6, ,    -6.4, ,     6.0, ,     8.8, ,    14.1, ,    17.5, ,    16.4, ,     9.9, ,     -.7, ,    -5.6, ,    -7.0, ,     3.5, ,    -4.4, ,     2.8, ,    16.0, ,     1.2, 
1920,    -9.0, ,    -4.5, ,    -4.2, ,    -1.3, ,     6.5, ,    11.9, ,    17.5, ,    15.4, ,    11.0, ,     4.4, ,     -.7, ,    -5.4, ,     3.5, ,    -6.8, ,      .3, ,    14.9, ,     4.9, 
1921,    -4.2, ,    -3.1, ,    -4.5, ,     3.3, ,     8.3, ,    13.8, ,    16.0, ,    15.5, ,     7.2, ,     7.9, ,    -3.9, ,    -6.4, ,     4.2, ,    -4.2, ,     2.4, ,    15.1, ,     3.7, 
1922,   -10.1, ,   -14.9, ,    -3.7, ,     1.6, ,     8.7, ,    14.4, ,    15.2, ,    16.8, ,    13.1, ,     7.2, ,    -1.0, ,   -11.1, ,     3.0, ,   -10.5, ,     2.2, ,    15.5, ,     6.4, 
1923,    -6.4, ,    -8.8, ,    -4.0, ,     3.2, ,     9.0, ,    12.8, ,    16.4, ,    14.8, ,    10.9, ,     4.7, ,     2.9, ,    -5.8, ,     4.1, ,    -8.8, ,     2.7, ,    14.7, ,     6.2, 
1924,    -8.5, ,    -1.7, ,    -4.4, ,     3.2, ,    10.2, ,    10.5, ,    15.9, ,    13.3, ,    11.2, ,     6.1, ,    -2.9, ,   -12.3, ,     3.4, ,    -5.3, ,     3.0, ,    13.2, ,     4.8, 
1925,    -6.6, ,    -3.1, ,    -2.4, ,     4.8, , -9999.9,M,    15.0, ,    17.3, ,    15.1, ,     8.6, ,     -.2, ,     -.3, ,      .1, , -9999.9,M,    -7.3, , -9999.9,M,    15.8, ,     2.7, 
