3032801,GLEICHEN       ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3032801,GLEICHEN       ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1903, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.2,a,     9.9,a,     7.3,a,    -5.0,a,    -2.7,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.1,a
1904,    -7.6,a,   -18.6,a,    -9.6,a,     6.9,a,    10.2,a,    14.0,a,    17.3,a,    16.3,a,    11.1,a,     6.9,a,     2.7,a,    -6.7,a,     3.6,a,    -9.6,a,     2.5,a,    15.9,a,     6.9,a
1905,   -12.3,a,   -12.2,a,     2.3,a,     5.3,a,     9.5,a,    12.7,a,    17.4,a,    17.0,a,    12.1,a,     3.2,a,      .0,a,    -6.3,a,     4.1,a,   -10.4,a,     5.7,a,    15.7,a,     5.1,a
1906,   -10.4,a,    -4.9,a,    -3.8,a,     8.0,a,     9.1,a,    14.2,a,    19.8,a,    16.5,a,    11.9,a,     7.5,a,    -5.3,a,   -13.0,a,     4.1,a,    -7.2,a,     4.4,a,    16.8,a,     4.7,a
1907,   -24.6,a,   -11.4,a,    -8.1,a,     1.8,a,     6.6,a,    13.8,a,    16.4,a,    14.5,a, -9999.9,M,     7.8,a,      .1,a,    -8.1,a, -9999.9,M,   -16.3,a,      .1,a,    14.9,a, -9999.9,M
1908,    -5.6,a, -9999.9,M,    -2.5,a,     6.4,a,    10.8,a,    13.5,a,    17.9,a,    14.9,a,    11.4,a,     4.1,a,      .1,a,    -8.7,a, -9999.9,M, -9999.9,M,     4.9,a,    15.4,a,     5.2,a
1909,   -16.1,a,   -13.1,a,    -1.6,a,      .0,a,     9.1,a,    14.4,a,    17.4,a,    16.5,a,    13.5,a,     4.6,a,    -6.7,a,   -11.7,a,     2.2,a,   -12.6,a,     2.5,a,    16.1,a,     3.8,a
1910,    -8.2,a,   -14.0,a,     4.7,a,     9.9,a,    12.2,a,    16.4,a,    19.3,a,    15.4,a,    11.1,a,     6.8,a,    -4.0, ,    -7.4, ,     5.2,a,   -11.3,a,     8.9,a,    17.0,a,     4.6,a
1911,   -20.0, ,   -12.5, ,      .7, ,     3.2, ,     9.1, ,    15.3, ,    15.2, ,    12.4, ,     7.9, ,     4.4, , -9999.9,M, -9999.9,M, -9999.9,M,   -13.3, ,     4.3, ,    14.3, , -9999.9,M
1912, -9999.9,M, -9999.9,M,    -7.9, ,     5.5, ,    10.1, ,    16.3, ,    15.0, ,    14.5, ,     8.3, ,     4.7, ,      .9, ,    -4.4, , -9999.9,M, -9999.9,M,     2.6, ,    15.3, ,     4.6, 
1913,   -16.8, ,   -11.3, ,    -6.7, ,     6.1, ,     9.1, ,    15.6, ,    15.3, ,    16.0, , -9999.9,M,     2.8, ,      .1, ,    -4.7, , -9999.9,M,   -10.8, ,     2.8, ,    15.6, , -9999.9,M
1914,   -10.7, , -9999.9,M, -9999.9,M,     5.5, , -9999.9,M,    14.0, ,    18.4, ,    15.8, , -9999.9,M,     6.5, ,     -.1, ,   -10.3, , -9999.9,M, -9999.9,M, -9999.9,M,    16.1, , -9999.9,M
1915,    -8.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1916,   -25.2, ,    -8.7, ,    -3.5, ,     5.3, ,     7.4, ,    12.6, ,    16.8, ,    15.0, ,    10.3, ,     4.2, ,    -1.3, ,   -13.3, ,     1.6, ,   -13.2, ,     3.1, ,    14.8, ,     4.4, 
1917,   -13.7, ,   -14.7, ,    -5.6, ,     2.7, ,     9.3, ,    12.8, ,    18.8, ,    16.1, ,    11.4, ,     3.0, ,     5.1, ,   -16.7, ,     2.4, ,   -13.9, ,     2.1, ,    15.9, ,     6.5, 
1918,   -12.0, ,   -10.8, ,    -2.8, ,     4.9, ,     9.2, ,    16.5, ,    17.8, ,    16.7, ,    11.6, ,     5.7, ,     -.3, ,    -6.5, ,     4.2, ,   -13.2, ,     3.8, ,    17.0, ,     5.7, 
1919,    -3.4, ,   -11.7, ,   -10.2, ,     7.1, ,    10.6, ,    15.4, ,    18.1, ,    17.0, ,    10.9, ,    -1.3, ,    -9.7, ,   -10.0, ,     2.7, ,    -7.2, ,     2.5, ,    16.8, ,      .0, 
1920,   -14.4, ,    -7.4, ,    -6.4, ,    -1.0, ,     8.4, ,    13.5, ,    18.2, ,    17.2, ,    11.2, ,     5.3, ,    -2.0, ,    -8.8, ,     2.8, ,   -10.6, ,      .3, ,    16.3, ,     4.8, 
