3033250,HIGH RIVER     ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3033250,HIGH RIVER     ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1902, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.1, ,     6.3, ,    -5.8, ,   -10.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.2, 
1903,    -5.2, ,    -5.9, , -9999.9,M,     3.7, ,     8.1, ,    14.3, ,    13.4, ,    14.1, ,     9.4, ,     7.2, ,    -3.8, ,    -1.7, , -9999.9,M,    -7.1, , -9999.9,M,    13.9, ,     4.3, 
1904,    -7.4, ,   -15.4, ,    -8.3, ,     4.9, ,     9.3, ,    14.8, ,    16.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.2, ,     2.0, , -9999.9,M, -9999.9,M
1905, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1906, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -11.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1907,   -23.4, ,    -8.7, ,    -6.9, ,     1.1, ,     6.8, ,    12.6, ,    14.7, ,    12.6, ,     8.2, ,     7.5, ,      .4, ,    -5.4, ,     1.6, ,   -14.5, ,      .3, ,    13.3, ,     5.4, 
1908,    -4.4, ,    -8.0, ,    -6.4, ,     5.3, ,     9.2, ,    12.5, ,    17.0, ,    13.7, ,    10.5, ,     3.5, ,      .5, ,    -7.4, ,     3.8, ,    -5.9, ,     2.7, ,    14.4, ,     4.8, 
1909,   -16.7, ,   -10.0, ,    -2.8, ,     -.7, ,     7.6, ,    13.3, ,    16.4, ,    15.1, ,    12.7, ,     4.3, ,    -7.2, ,   -11.1, ,     1.7, ,   -11.4, ,     1.4, ,    14.9, ,     3.3, 
1910,    -7.7, ,   -16.2, ,     4.0, ,     8.4, ,     9.6, ,    14.4, ,    17.5, ,    13.5, ,    10.4, ,     7.0, ,    -2.5, ,    -5.5, ,     4.4, ,   -11.7, ,     7.3, ,    15.1, ,     5.0, 
1911,   -17.8, ,   -11.7, ,     1.4, ,     2.3, ,     7.8, ,    14.2, ,    14.0, ,    12.3, ,     8.5, ,     4.1, ,    -8.1, ,    -7.4, ,     1.6, ,   -11.7, ,     3.8, ,    13.5, ,     1.5, 
1912,   -11.7, ,    -5.0, ,    -8.3, ,     5.4, , -9999.9,M,    15.9, , -9999.9,M, -9999.9,M,     8.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.0, , -9999.9,M, -9999.9,M, -9999.9,M
1913,   -14.6, , -9999.9,M,    -6.7, ,     6.0, ,     8.2, ,    14.2, ,    14.6, ,    15.7, , -9999.9,M,     2.7, ,      .0, ,    -3.0, , -9999.9,M, -9999.9,M,     2.5, ,    14.8, , -9999.9,M
1914,    -9.8, ,   -11.3, ,    -1.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.0, , -9999.9,M, -9999.9,M, -9999.9,M
1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.4, ,     7.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
