3033890,LETHBRIDGE     ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3033890,LETHBRIDGE     ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1902,    -4.2,a,    -7.4,a,    -1.3,a,     5.5,a,    11.0,a,    11.6,a,    15.3,a,    16.1,a,    11.3,a,     8.5,a,    -3.1,a,    -7.7,a,     4.6,a, -9999.9,M,     5.1,a,    14.3,a,     5.6,a
1903,    -5.1,a,    -5.8,a,    -7.8,a,     5.0,a,     8.6,a,    15.8,a,    16.0,a,    15.0,a,    10.1,a,     9.4,a,    -3.1,a,     -.3,a,     4.8,a,    -6.2,a,     1.9,a,    15.6,a,     5.5,a
1904,    -5.9,a,   -16.0,a,    -8.9,a,     7.5,a,    11.0,a,    14.4,a,    18.6,a,    17.1,a,    12.9,a,     8.8,a,     5.7,a,    -4.0,a,     5.1,a,    -7.4,a,     3.2,a,    16.7,a,     9.1,a
1905,    -9.9,a,    -9.2,a,     3.8,a,     6.2,a,     9.7,a,    13.7,a,    18.4,a,    18.8,a,    13.2,a,     4.3,a,     2.2,a,    -1.4,a,     5.8,a,    -7.7,a,     6.6,a,    17.0,a,     6.6,a
1906,    -6.2,a,    -3.4,a,    -3.5,a,     9.7,a,     9.0,a,    14.2,a,    19.6,a,    17.1,a,    13.1,a,     9.2,a,    -1.2,a,    -9.2,a,     5.7,a,    -3.7,a,     5.1,a,    17.0,a,     7.0,a
1907,   -19.4,a,    -4.1,a,    -2.8,a,     3.1,a,     8.6,a,    13.8,a,    17.0,a,    15.1,a,    10.7,a,    10.7,a,     3.3,a,    -1.9,a,     4.5,a,   -10.9,a,     3.0,a,    15.3,a,     8.2,a
1908,    -2.1,a,    -5.0,a,    -5.6,a,     7.0,a,    10.3,a,    12.9,a,    17.6,a,    15.2,a,    12.6,a,     5.7,a,     1.9,a,    -4.4,a,     5.5,a,    -3.0,a,     3.9,a,    15.2,a,     6.7,a
1909,   -14.1, ,    -7.4, ,      .2, ,      .6, ,     8.5, ,    14.3, ,    17.3, ,    16.9, ,    14.4, ,     6.7, ,    -4.1, ,   -10.1, ,     3.6, ,    -8.6,a,     3.1, ,    16.2, ,     5.7, 
1910,    -4.4, ,   -12.7, ,     5.9, ,    10.1, ,    12.0, ,    15.3, ,    19.1, ,    14.9, ,    11.1, ,     9.0, ,    -1.2, ,    -3.7, ,     6.3, ,    -9.1, ,     9.3, ,    16.4, ,     6.3, 
1911,    -9.5, ,    -9.0, ,     3.5, ,     3.2, ,     9.4, ,    16.6, ,    15.6, ,    14.5, ,    10.2, ,     6.1, ,    -6.0, ,    -5.0, ,     4.1, ,    -7.4, ,     5.4, ,    15.6, ,     3.4, 
1912,    -9.9, ,    -2.2, ,    -7.2, ,     6.9, ,    11.2, ,    16.9, ,    14.8, ,    15.9, ,     8.5, ,     5.8, ,     1.4, ,    -2.7, ,     5.0, ,    -5.7, ,     3.6, ,    15.9, ,     5.2, 
1913,   -13.7, ,   -10.0, ,    -7.3, ,     6.6, ,     9.2, ,    16.1, ,    16.3, ,    17.4, ,    12.7, ,     4.0, ,     1.7, ,    -2.2, ,     4.2, ,    -8.8, ,     2.8, ,    16.6, ,     6.1, 
1914,    -8.3, ,   -11.7, ,    -1.5, ,     5.8, ,    10.7, ,    14.4, ,    19.7, ,    16.7, ,    11.6, ,     6.1, ,     2.2, ,   -12.6, ,     4.4, ,    -7.4, ,     5.0, ,    16.9, ,     6.6, 
