3035206,PINCHER CREEK  ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3035206,PINCHER CREEK  ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1893, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.0, ,    10.5, ,     4.0, ,    -6.2, ,    -5.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.8, 
1894,   -10.9, ,    -7.7, ,    -3.2, ,     5.2, ,    10.0, ,    12.3, ,    17.1, ,    17.4, , -9999.9,M,     5.6, ,      .9, ,    -3.8, , -9999.9,M,    -7.9, ,     4.0, ,    15.6, , -9999.9,M
1895,   -13.0, ,    -7.3, ,    -1.8, ,     6.2, ,     8.8, ,    12.1, ,    15.0, ,    14.8, , -9999.9,M,     7.7, ,    -1.9, ,    -4.2, , -9999.9,M,    -8.0, ,     4.4, ,    14.0, , -9999.9,M
1896,   -10.3, , -9999.9,M,    -1.6, ,     1.6, ,     7.3, ,    14.7, ,    18.2, , -9999.9,M, -9999.9,M,     6.6, , -9999.9,M,     -.8, , -9999.9,M, -9999.9,M,     2.4, , -9999.9,M, -9999.9,M
1897,    -7.3, ,    -5.5, ,    -8.4, ,     6.5, ,    13.6, , -9999.9,M,    15.0, ,    16.5, ,    11.8, ,     7.0, ,    -7.2, ,    -5.6, , -9999.9,M,    -4.5, ,     3.9, , -9999.9,M,     3.9, 
1898,    -4.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1899, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1900, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.9, ,    13.6, ,     9.5, ,     4.9, ,    -2.9, ,     1.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.8, 
1901,    -5.4, ,    -7.4, ,      .2, ,     3.7, ,    10.8, ,     9.7, ,    15.4, ,    16.5, ,     8.0, ,    10.2, ,     1.7, ,    -1.1, ,     5.2, ,    -3.6, ,     4.9, ,    13.9, ,     6.6, 
1902,    -5.3, ,    -5.6, ,    -3.0, ,     3.9, ,     9.3, ,    11.1, ,    14.5, ,    14.5, ,    10.4, ,     8.3, ,    -3.5, ,    -7.3, ,     3.9, ,    -4.0, ,     3.4, ,    13.4, ,     5.1, 
1903,    -3.9, ,    -6.4, ,    -8.6, ,     3.5, ,     7.8, ,    15.2, ,    14.3, ,    13.5, ,     8.7, ,     8.5, ,    -3.3, ,     -.4, ,     4.1, ,    -5.9, ,      .9, ,    14.3, ,     4.6, 
1904,    -5.8, ,   -14.6, ,    -9.0, ,     6.4, ,     9.1, ,    12.7, ,    16.8, , -9999.9,M,    11.2, ,     7.9, ,     4.6, ,    -2.8, , -9999.9,M,    -6.9, ,     2.2, , -9999.9,M,     7.9, 
1905,    -8.3, ,    -8.3, ,     2.7, ,     4.2, , -9999.9,M,    11.3, ,    16.6, ,    16.7, ,    12.0, ,     2.8, ,     2.7, ,     -.9, , -9999.9,M,    -6.5, , -9999.9,M,    14.9, ,     5.8, 
1906,    -4.9, ,    -2.4, ,    -4.6, ,     7.5, ,     7.4, ,    12.7, ,    18.3, ,    15.6, ,    11.7, ,     7.9, ,      .3, ,    -7.1, ,     5.2, ,    -2.7, ,     3.4, ,    15.5, ,     6.6, 
1907,   -17.3, , -9999.9,M,    -3.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
