3036682,VAUXHALL       ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3036682,VAUXHALL       ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.4, ,    -3.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1914,    -9.8, ,   -14.4, ,      .3, ,     7.1, ,    10.5, ,    15.4, ,    20.8, ,    17.2, ,    12.7, ,     6.8, ,     1.3, ,   -14.8, ,     4.4, ,    -9.2, ,     6.0, ,    17.8, ,     6.9, 
1915,   -12.4, ,    -9.1, ,    -3.5, ,     9.9, ,    10.8, ,    12.8, ,    15.4, ,    19.7, ,    10.2, ,     8.9, ,    -2.4, ,    -4.2, ,     4.7, ,   -12.1, ,     5.7, ,    16.0, ,     5.6, 
1916,   -25.1, ,    -9.4, ,    -1.4, ,     6.1, ,     8.1, ,    13.4, ,    17.4, ,    15.6, ,    10.8, , -9999.9,M,    -1.0, ,   -13.6, , -9999.9,M,   -12.9, ,     4.3, ,    15.5, , -9999.9,M
1917,   -13.3, ,   -14.7, ,    -5.3, ,     2.7, ,    10.0, ,    13.2, ,    20.7, ,    16.3, ,    11.5, ,     4.0, ,     5.3, ,   -14.3, ,     3.0, ,   -13.9, ,     2.5, ,    16.7, ,     6.9, 
1918, -9999.9,M,   -10.4, ,    -1.2, ,     5.1, ,     9.1, ,    16.6, ,    18.6, ,    17.2, ,    11.4, ,     7.3, ,     -.5, ,    -6.4, , -9999.9,M, -9999.9,M,     4.3, ,    17.5, ,     6.1, 
1919,     -.8, ,   -11.8, ,    -8.8, ,     7.2, ,    11.5, ,    16.8, ,    19.0, ,    19.2, ,    12.0, ,     -.8, ,    -8.5, ,   -10.0, ,     3.8, ,    -6.3, ,     3.3, ,    18.3, ,      .9, 
1920,   -13.1, ,    -5.9, ,    -4.0, ,      .1, ,     9.6, ,    14.6, ,    19.7, ,    17.3, ,    12.0, ,     5.4, ,      .1, ,    -7.7, ,     4.0, ,    -9.7, ,     1.9, ,    17.2, ,     5.8, 
1921,    -8.2, ,    -6.5, ,    -5.4, ,     4.7, ,     9.9, ,    16.4, ,    18.5, ,    17.1, ,     9.8, ,     9.0, ,    -6.2, ,    -9.8, ,     4.1, ,    -7.5, ,     3.1, ,    17.3, ,     4.2, 
1922,   -12.6, ,   -18.9, ,    -4.3, ,     3.9, ,    10.5, ,    15.9, ,    17.4, ,    18.5, ,    14.5, ,     7.3, ,    -1.6, ,   -12.8, ,     3.2, ,   -13.8, ,     3.4, ,    17.3, ,     6.7, 
